,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,Photo,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,3,879,75000.0,3.50,,,,2/3/2026,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/mega-cash-crossword-0,Mega Cash Crossword,594168,372028,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-879-front.jpg,3,2,2079588.0,1302098.0,1485420.0,930070.0,693196.0,693196.0,0.0,3.5,0.0,6.96,6.8545492900180625,0.015053330009350106,0.2857142857142857,0.2857142857142857,0.0,0.1437249730819032,0.14588851253229004,0.002163539450386831,0.046015226832370866,0.026600980750680625,7.24383787440588,12.530027312857309,9.0,0.39,-0.0021814013280486615,0.3876162418906513,-0.0021814013280486615,0.64,0.6363979619030564,1.0,,,,2026-04-03,59,29.0,29.333333333333332,18.0,53.333333333333336,31.666666666666668,32.266666666666666,37.0,5.0,/arkansas-statistics-for-each-scratcher-game
1,1,878,7000.0,4.72,,,,2/3/2026,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/lucky-7s-1,Lucky 7s,292522,184677,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-878-front.jpg,3,3,1380703.8399999999,871675.44,1088181.8399999999,686998.44,460234.6133333333,460234.6133333333,0.0,4.72,-5.04775034012527e-07,8.04,7.943109121870398,0.012611757667248782,0.21186451372357817,0.2118645356749424,2.1951364226335812e-08,0.1243273008862248,0.12589528667642497,0.0015679857902001632,0.03355873706002627,0.026106607071830802,9.93229886461424,12.766655765590343,10.0,0.4,-0.009346935268208014,0.4029919408036252,-0.009346935268208014,0.64,0.6419517415960703,1.0000001774255534,,,,2026-04-03,59,39.0,30.333333333333332,26.0,56.0,31.833333333333332,36.63333333333333,53.0,10.0,/arkansas-statistics-for-each-scratcher-game
2,20,877,50000.0,3.03,,,,1/6/2026,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/50000-stacked,"$50,000 Stacked",517105,378594,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-877-front.jpg,80,54,1566828.15,1147139.8199999998,1049723.15,768545.8199999998,19585.351875,19585.351875,0.0,3.03,-7.148213195546568e-07,5.27,5.264029995162071,0.0010671272944311496,0.3300332392151256,0.3300330348959809,-2.0431914471430446e-07,0.18976601789321085,0.18996852239046022,0.0002025044972493728,0.05103300018047069,0.03649549036939235,6.531608594351457,9.133165354393096,7.0,0.44,-0.001031421884416129,0.44124469658864357,-0.001031421884416129,0.74,0.7418570133528408,0.9999983078451338,,,,2026-04-03,87,27.333333333333332,23.666666666666668,43.0,40.0,31.833333333333332,33.16666666666667,40.0,4.0,/arkansas-statistics-for-each-scratcher-game
3,10,876,10000.0,2.98,,,,1/6/2026,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/10000-stacked-0,"$10,000 Stacked",336179,178938,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-876-front.jpg,120,60,1001813.42,533235.24,665634.42,354297.24,8348.445166666666,8348.445166666666,0.0,2.98,-4.5008278148458775e-07,7.84,7.753910573447574,0.011231590733035654,0.33557062083321615,0.335570610483194,-1.0350022172644913e-08,0.12753476422215346,0.12896718249813088,0.0014324182759774262,0.08218658484604978,0.03875942805115626,4.055720027661163,8.598970676124328,11.0,0.41,-0.0027274393953665666,0.41119018819094777,-0.0027274393953665666,0.52,0.5200104024050691,0.9999999649010509,,,,2026-04-03,87,20.333333333333332,23.0,28.0,47.0,31.833333333333332,30.03333333333333,31.0,8.0,/arkansas-statistics-for-each-scratcher-game
4,5,875,500.0,3.84,,,,1/6/2026,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/500-stacked-0,$500 Stacked,504846,275681,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-875-front.jpg,3887,2063,1938608.64,1058615.04,1433762.64,782934.04,498.74161049652685,498.74161049652685,0.0,3.84,-3.778521789436311e-08,6.44,6.363728277211342,0.012134457356897837,0.2604166765065675,0.26041675263900693,7.613243940829406e-08,0.15525663248678698,0.15714058747307347,0.0018839549862864902,0.05640360728894982,0.05322143106560029,5.909660814696467,6.262902459267776,10.0,0.45,-0.00425608346048449,0.45414905324409727,-0.00425608346048449,0.54,0.5369984348187151,1.0000003516897025,,,,2026-04-03,87,24.333333333333332,20.333333333333332,49.0,52.666666666666664,42.666666666666664,37.8,55.0,12.0,/arkansas-statistics-for-each-scratcher-game
5,2,874,200.0,4.10,,,,1/6/2026,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/200-stacked-0,$200 Stacked,266590,153388,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-874-front.jpg,1619,859,1093019.0,628890.7999999999,826429.0,475502.79999999993,675.1198270537369,675.1198270537369,0.0,4.1,-1.272080939880131e-06,8.65,8.516854195237501,0.015396435153614345,0.2439027492884288,0.24390243902439024,-3.1026403857215e-07,0.11563389463976212,0.11741424440014309,0.001780349760380967,0.04821996378795865,0.024563410116352623,6.912454623138282,13.567788051230345,11.0,0.39,-0.021050912137990343,0.3898122088123519,-0.021050912137990343,0.56,0.559130928438221,0.9999982763412761,,,,2026-04-03,87,28.0,31.666666666666668,19.0,35.0,22.333333333333332,27.2,18.0,2.0,/arkansas-statistics-for-each-scratcher-game
6,1,873,100.0,4.56,,,,1/6/2026,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/100-stacked-1,$100 Stacked,276574,153594,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-873-front.jpg,1891,958,1261177.44,700388.6399999999,984603.44,546794.6399999999,666.9367741935483,666.9367741935483,0.0,4.56,-9.137783845381583e-07,8.53,8.377353101377652,0.018739903460097684,0.2192984460042148,0.21929832212290581,-1.2388130898877137e-07,0.11717362376282861,0.11936944616021383,0.002195822397385222,0.04176083535750917,0.029831725197841875,7.981545597465487,11.17226551556034,11.0,0.38,-0.05378679669175375,0.37583025408773424,-0.05378679669175375,0.54,0.5315315073091689,0.9999992944794194,,,,2026-04-03,87,35.333333333333336,26.666666666666668,15.0,37.666666666666664,25.666666666666668,28.066666666666663,21.0,7.0,/arkansas-statistics-for-each-scratcher-game
7,10,872,100.0,8.86,,,,12/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/50-or-100-2026-ed,$50 or $100! 2026 Ed.,224560,129411,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-872-front.jpg,78608,45172,1989601.5999999999,1146581.46,1765041.5999999999,1017170.46,25.31042133116222,25.31042133116222,0.0,8.86,-4.011926024902761e-07,8.86,8.859997328108301,-9.96247207828926e-08,0.11286686243710649,0.11286685119277684,-1.124432964794142e-08,0.11286686243710649,0.11286685119277684,-1.124432964794142e-08,0.024092969114798562,0.024092969114798562,13.833815955950621,13.833815955950621,11.0,0.65,-8.650877187820489e-05,0.6484530966412316,-8.650877187820489e-05,0.58,0.5759090485062762,0.9999998645016449,,,,2026-04-03,122,39.666666666666664,32.0,59.0,47.333333333333336,40.0,43.6,59.0,14.0,/arkansas-statistics-for-each-scratcher-game
8,10,871,200000.0,3.06,,,,12/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/200000-bonus-multiplier-1,"$200,000 Bonus Multiplier",370321,129809,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-871-front.jpg,3,2,1133182.26,397215.54,762861.26,267406.54,377727.42,377727.42,0.0,3.06,-1.3594634288301473e-06,7.2,7.12495913080657,0.010124720815700981,0.3267978298906134,0.32679746060209214,-3.692885212625008e-07,0.1389449038933575,0.14035168225404215,0.0014067783606846462,0.05158003246802707,0.01717188007562952,6.462127366869567,19.404755581900357,8.0,0.46,0.007877339518338744,0.4612476870208829,0.007877339518338744,0.35,0.3512799099202541,0.9999993901058971,,,,2026-04-03,122,27.0,35.333333333333336,51.0,28.333333333333332,31.5,34.63333333333334,46.0,11.0,/arkansas-statistics-for-each-scratcher-game
9,5,870,100000.0,3.78,,,,12/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/x-cash-0,X the Cash,418041,240862,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-870-front.jpg,3,2,1580194.98,910458.36,1162153.98,669596.36,526731.66,526731.66,0.0,3.78,-3.954052329531965e-07,5.55,5.516397048042617,0.006161918410297673,0.2645503691548649,0.2645504286182583,5.946339337592477e-08,0.18016756401723089,0.18127774184688716,0.001110177829656278,0.0385189739593155,0.0348537942631703,8.653432929991054,9.563202719337317,7.0,0.46,-0.0003279986493208842,0.45551469699865343,-0.0003279986493208842,0.6,0.603602166854942,1.000000305560697,,,,2026-04-03,122,37.0,24.666666666666668,50.0,54.666666666666664,39.833333333333336,41.233333333333334,58.0,13.0,/arkansas-statistics-for-each-scratcher-game
