price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,gamePhoto,dateexported,gameURL
2,$200 Stacked,874,200.0,4.10,1619,896,,,,1/6/2026,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-874-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/200-stacked-0
1,$100 Stacked,873,100.0,4.56,1891,994,,,,1/6/2026,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-873-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/100-stacked-1
10,$50 or $100! 2026 Ed.,872,100.0,8.86,78608,46591,,,,12/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-872-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/50-or-100-2026-ed
10,"$200,000 Bonus Multiplier",871,200000.0,3.06,3,2,,,,12/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-871-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/200000-bonus-multiplier-1
5,X the Cash,870,100000.0,3.78,3,2,,,,12/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-870-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/x-cash-0
2,Money Multiplier,869,20000.0,4.20,2,1,,,,12/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-869-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/money-multiplier-1
20,Instant Million,868,1000000.0,2.96,3,2,,,,10/28/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-868-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/instant-million
5,Winter Winnings,867,20000.0,3.84,12,5,,,,10/28/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-867-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/winter-winnings
3,Peppermint Cash Multiplier,866,10000.0,3.64,13,5,,,,10/28/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-866-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/peppermint-cash-multiplier
2,Elf,865,2000.0,4.12,15,5,,,,10/28/2025,05/20/2026,08/18/2026,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-865-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/elf
1,Holiday Cash,864,500.0,4.56,55,15,,,,10/28/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-864-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/holiday-cash
10,"$200,000 Platinum Jackpot",863,200000.0,3.01,3,1,,,,9/30/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-863-front.jpg,2026-03-28,https://www.myarkansaslottery.com/games/200000-platinum-jackpot
