gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported
879,Mega Cash Crossword,75000.0,3,2,2026-04-04
879,Mega Cash Crossword,1000.0,18,14,2026-04-04
879,Mega Cash Crossword,500.0,143,91,2026-04-04
879,Mega Cash Crossword,200.0,171,99,2026-04-04
879,Mega Cash Crossword,100.0,1308,799,2026-04-04
879,Mega Cash Crossword,50.0,6390,3916,2026-04-04
879,Mega Cash Crossword,30.0,8688,5512,2026-04-04
879,Mega Cash Crossword,20.0,24923,15126,2026-04-04
879,Mega Cash Crossword,10.0,95504,58521,2026-04-04
879,Mega Cash Crossword,5.0,166240,102685,2026-04-04
879,Mega Cash Crossword,3.0,290780,184561,2026-04-04
878,Lucky 7s,7000.0,3,3,2026-04-04
878,Lucky 7s,100.0,167,110,2026-04-04
878,Lucky 7s,50.0,419,247,2026-04-04
878,Lucky 7s,40.0,116,63,2026-04-04
878,Lucky 7s,30.0,343,201,2026-04-04
878,Lucky 7s,20.0,4141,2466,2026-04-04
878,Lucky 7s,15.0,1394,835,2026-04-04
878,Lucky 7s,10.0,12409,7477,2026-04-04
878,Lucky 7s,5.0,41474,25269,2026-04-04
878,Lucky 7s,2.0,113358,71514,2026-04-04
878,Lucky 7s,1.0,118698,76188,2026-04-04
877,"$50,000 Stacked",50000.0,80,54,2026-04-04
877,"$50,000 Stacked",10000.0,17,13,2026-04-04
877,"$50,000 Stacked",5000.0,50,39,2026-04-04
877,"$50,000 Stacked",1000.0,56,45,2026-04-04
877,"$50,000 Stacked",500.0,7238,5307,2026-04-04
877,"$50,000 Stacked",100.0,28769,21009,2026-04-04
877,"$50,000 Stacked",50.0,41875,30426,2026-04-04
877,"$50,000 Stacked",40.0,41875,30522,2026-04-04
877,"$50,000 Stacked",30.0,177688,130136,2026-04-04
877,"$50,000 Stacked",20.0,219457,160796,2026-04-04
876,"$10,000 Stacked",10000.0,120,60,2026-04-04
876,"$10,000 Stacked",500.0,97,51,2026-04-04
876,"$10,000 Stacked",100.0,12912,6761,2026-04-04
876,"$10,000 Stacked",50.0,22191,11581,2026-04-04
876,"$10,000 Stacked",20.0,93881,49485,2026-04-04
876,"$10,000 Stacked",10.0,206978,110814,2026-04-04
875,$500 Stacked,500.0,3887,2062,2026-04-04
875,$500 Stacked,100.0,242,132,2026-04-04
875,$500 Stacked,50.0,16524,8784,2026-04-04
875,$500 Stacked,20.0,38726,20715,2026-04-04
875,$500 Stacked,10.0,245255,132412,2026-04-04
875,$500 Stacked,5.0,200212,111150,2026-04-04
874,$200 Stacked,200.0,1619,858,2026-04-04
874,$200 Stacked,20.0,5836,3258,2026-04-04
874,$200 Stacked,10.0,29023,16176,2026-04-04
874,$200 Stacked,5.0,69973,39691,2026-04-04
874,$200 Stacked,3.0,21885,12665,2026-04-04
874,$200 Stacked,2.0,138254,80589,2026-04-04
873,$100 Stacked,100.0,1891,958,2026-04-04
873,$100 Stacked,10.0,8846,4583,2026-04-04
873,$100 Stacked,5.0,25143,13393,2026-04-04
873,$100 Stacked,3.0,18871,10335,2026-04-04
873,$100 Stacked,2.0,95795,52711,2026-04-04
873,$100 Stacked,1.0,126028,71453,2026-04-04
872,$50 or $100! 2026 Ed.,100.0,78608,45129,2026-04-04
872,$50 or $100! 2026 Ed.,50.0,145952,84149,2026-04-04
871,"$200,000 Bonus Multiplier",200000.0,3,2,2026-04-04
871,"$200,000 Bonus Multiplier",10000.0,2,1,2026-04-04
871,"$200,000 Bonus Multiplier",5000.0,2,0,2026-04-04
871,"$200,000 Bonus Multiplier",1000.0,84,29,2026-04-04
871,"$200,000 Bonus Multiplier",500.0,283,85,2026-04-04
871,"$200,000 Bonus Multiplier",200.0,279,95,2026-04-04
871,"$200,000 Bonus Multiplier",100.0,19370,6412,2026-04-04
871,"$200,000 Bonus Multiplier",50.0,25852,8675,2026-04-04
871,"$200,000 Bonus Multiplier",40.0,6905,2388,2026-04-04
871,"$200,000 Bonus Multiplier",30.0,8171,2802,2026-04-04
871,"$200,000 Bonus Multiplier",20.0,60385,21443,2026-04-04
871,"$200,000 Bonus Multiplier",15.0,37708,13188,2026-04-04
871,"$200,000 Bonus Multiplier",10.0,211277,74521,2026-04-04
870,X the Cash,100000.0,3,2,2026-04-04
870,X the Cash,5000.0,2,2,2026-04-04
870,X the Cash,1000.0,11,6,2026-04-04
870,X the Cash,500.0,200,105,2026-04-04
870,X the Cash,100.0,2413,1349,2026-04-04
870,X the Cash,75.0,430,236,2026-04-04
870,X the Cash,50.0,21259,11925,2026-04-04
870,X the Cash,40.0,6601,3682,2026-04-04
870,X the Cash,25.0,2515,1424,2026-04-04
870,X the Cash,20.0,26417,15059,2026-04-04
870,X the Cash,15.0,31681,17929,2026-04-04
870,X the Cash,10.0,194922,112247,2026-04-04
870,X the Cash,5.0,131587,76788,2026-04-04
869,Money Multiplier,20000.0,2,1,2026-04-04
869,Money Multiplier,1000.0,3,1,2026-04-04
869,Money Multiplier,500.0,35,16,2026-04-04
869,Money Multiplier,100.0,393,190,2026-04-04
869,Money Multiplier,50.0,1977,899,2026-04-04
869,Money Multiplier,20.0,20474,9531,2026-04-04
869,Money Multiplier,10.0,20443,9594,2026-04-04
869,Money Multiplier,5.0,20426,9963,2026-04-04
869,Money Multiplier,4.0,58507,28877,2026-04-04
869,Money Multiplier,2.0,138670,69709,2026-04-04
868,Instant Million,1000000.0,3,2,2026-04-04
868,Instant Million,50000.0,2,1,2026-04-04
868,Instant Million,10000.0,4,2,2026-04-04
868,Instant Million,5000.0,6,5,2026-04-04
868,Instant Million,1000.0,260,161,2026-04-04
868,Instant Million,500.0,12315,7500,2026-04-04
