price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,topprizeodds,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
2.0,Rock Out,1484,10000,4.28,5,2,Available,478140.0,,,2025-03-04,2099-12-31,2099-12-31,2026-04-17,https://www.arizonalottery.com/scratchers/1484-rock-out/,https://www.arizonalottery.com/media/s10l1jc3/1484-rock-out-final-art-1_16_25.gif?anchor=top&mode=crop&width=282
1.0,Happy Holidays,1504,500,4.29,64,15,Available,56920.31,,,2025-09-30,2026-01-06,2026-07-05,2026-04-17,https://www.arizonalottery.com/scratchers/1504-happy-holidays/,https://www.arizonalottery.com/media/vgyllwuf/1504-happy-holiday-gif.gif?anchor=top&mode=crop&width=282
10.0,Money,1489,100000,3.44,7,5,Available,305082.9,,,2025-05-06,2099-12-31,2099-12-31,2026-04-17,https://www.arizonalottery.com/scratchers/1489-money/,https://www.arizonalottery.com/media/rinlhsxu/az-money-1489-money-stack.png?rmode=max&width=49&height=36
20.0,Strike It Rich,1496,500000,3.06,7,4,Available,310958.6,,,2025-07-01,2099-12-31,2099-12-31,2026-04-17,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,https://www.arizonalottery.com/media/wtapusdx/az-strike-it-rich-1496-game-image.jpg?anchor=top&mode=crop&width=282
1.0,MONOPOLY 5X,1471,1000,4.38,14,4,Available,555428.6,,,2024-12-30,2099-12-31,2099-12-31,2026-04-17,https://www.arizonalottery.com/scratchers/1471-monopoly-5x/,https://www.arizonalottery.com/media/kurbnt0s/1471-5x-monopoly-1-game-image.jpg?anchor=top&mode=crop&width=282
2.0,Double Bingo,1441,10000,3.63,16,5,Available,398850.0,,,2024-07-02,2026-01-06,2026-07-05,2026-04-17,https://www.arizonalottery.com/scratchers/1441-double-bingo/,https://www.arizonalottery.com/media/ksoo2gd1/002044-01-azl-1441-double-bingo-game-image.jpg?anchor=top&mode=crop&width=282
5.0,Candy Cane Cash,1507,50000,3.67,6,1,Available,398630.0,,,2025-09-30,2026-01-06,2026-07-05,2026-04-17,https://www.arizonalottery.com/scratchers/1507-candy-cane-cash/,https://www.arizonalottery.com/media/daij1us5/1507-candy-cane-cash-scented-banner.jpg?anchor=top&mode=crop&width=282
5.0,Instant Cash,1492,50000,3.67,7,1,Available,317708.6,,,2025-07-01,2026-01-06,2026-07-05,2026-04-17,https://www.arizonalottery.com/scratchers/1492-instant-cash/,https://www.arizonalottery.com/media/5qbkipzs/1492-instant-cash-scratchers-game-image.jpg?anchor=top&mode=crop&width=282
5.0,2026,1526,50000,3.58,4,0,Top Prize Claimed,486773.9,,,2025-12-02,2026-03-11,2026-09-07,2026-04-17,https://www.arizonalottery.com/scratchers/1526-2026/,https://www.arizonalottery.com/media/vpneiclh/1526-2026-game-image.jpg?anchor=top&mode=crop&width=282
5.0,PAC-MAN,1481,50000,3.67,8,4,Available,330277.5,,,2025-04-01,2099-12-31,2099-12-31,2026-04-17,https://www.arizonalottery.com/scratchers/1481-pac-man/,https://www.arizonalottery.com/media/5lbdjhry/1481-pac-man-game-image.jpg?anchor=top&mode=crop&width=282
