,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1400,$230 Million CASH EXPLOSION®,2500000,8.0,0.0,0.0,0.0,1.2658995085485611,0.0,2026-03-26
1,1400,$230 Million CASH EXPLOSION®,50000,12.0,4.0,1.433370660694289e-06,0.3333333333333333,0.03796209815913953,0.07163986562150056,2026-03-26
2,1400,$230 Million CASH EXPLOSION®,10000,60.0,10.0,3.5834266517357223e-06,0.16666666666666666,0.03790133449661989,0.035762597984322506,2026-03-26
3,1400,$230 Million CASH EXPLOSION®,5000,200.0,39.0,1.3975363941769317e-05,0.195,0.06304229986411726,0.0695973124300112,2026-03-26
4,1400,$230 Million CASH EXPLOSION®,1000,2119.0,370.0,0.00013258678611422173,0.1746106654082114,0.13144066339741284,0.12993505039193728,2026-03-26
5,1400,$230 Million CASH EXPLOSION®,500,52731.0,8988.0,0.0032207838745800673,0.1704500199123855,1.6020643441613336,1.5459762597984323,2026-03-26
6,1400,$230 Million CASH EXPLOSION®,200,143730.0,24506.0,0.008781545352743562,0.17050024351214083,1.6375427276149832,1.5806781634938412,2026-03-26
7,1400,$230 Million CASH EXPLOSION®,100,402358.0,68499.0,0.024546114221724525,0.1702439121379468,2.037395477006144,1.963689137737962,2026-03-26
8,1400,$230 Million CASH EXPLOSION®,50,585106.0,101012.0,0.03619690929451288,0.1726388039090353,1.1110369850691022,1.0859072788353863,2026-03-26
9,1400,$230 Million CASH EXPLOSION®,40,632553.0,109904.0,0.03938329227323628,0.17374670580963175,0.800754937870421,0.7876658454647256,2026-03-26
10,1400,$230 Million CASH EXPLOSION®,30,922647.0,162280.0,0.0581518477043673,0.17588525188940082,0.5839938638828133,0.581518477043673,2026-03-26
11,1400,$230 Million CASH EXPLOSION®,20,2371394.0,427503.0,0.15319256438969764,0.18027497750268406,0.0,0.0,2026-03-26
12,1400,$230 Million CASH EXPLOSION®,0,10685998.62,1887510.35,0.6763754893617021,0.1766339690955341,-13.527508621477573,-13.527509787234042,2026-03-26
13,1400,$230 Million CASH EXPLOSION®,Total,15798916.62,2790625.35,1.0000001254199329,0.1766339690955341,,,2026-03-26
0,1401,SET FOR LIFE,5000000,6.0,3.0,2.1112992513332854e-06,0.5,5.63410092465911,10.55639069170386,2026-03-26
1,1401,SET FOR LIFE,10000,392.0,102.0,7.178417454533171e-05,0.2602040816326531,0.7325155667070135,0.7142525367260505,2026-03-26
2,1401,SET FOR LIFE,1000,4925.0,1315.0,0.0009254528385010902,0.267005076142132,0.8786937769793969,0.8791801965760356,2026-03-26
3,1401,SET FOR LIFE,500,93517.0,24265.0,0.017076892111200725,0.25947153993391575,7.90334227599295,7.684601450040327,2026-03-26
4,1401,SET FOR LIFE,100,275755.0,72128.0,0.05076126413338907,0.2615655201174956,2.5894117282495706,2.5380632066694537,2026-03-26
5,1401,SET FOR LIFE,60,516983.0,137937.0,0.09707542827705314,0.2668114812285897,0.9709211753227667,0.9707542827705313,2026-03-26
6,1401,SET FOR LIFE,50,1550929.0,416051.0,0.29280272160548826,0.268259217539939,0.0,0.0,2026-03-26
7,1401,SET FOR LIFE,0,2882158.2600000007,769125.1800000002,0.5412844722385263,0.266857372363723,-27.064221505014874,-27.064223611926312,2026-03-26
8,1401,SET FOR LIFE,Total,5324665.260000001,1420926.1800000002,1.0000001266779552,0.26685737236372303,,,2026-03-26
0,1420,Crossword,10000,20.0,1.0,1.0511102351859152e-06,0.05,0.026460890325061635,0.010509000131388781,2026-03-26
1,1420,Crossword,2500,28.0,2.0,2.1022204703718304e-06,0.07142857142857142,0.0092557537152236,0.0052513467349888324,2026-03-26
2,1420,Crossword,500,63.0,2.0,2.1022204703718304e-06,0.031746031746031744,0.004151750215335486,0.0010469057942451715,2026-03-26
3,1420,Crossword,100,1573.0,100.0,0.00010511102351859151,0.06357279084551812,0.02039934030390854,0.010300880304821968,2026-03-26
4,1420,Crossword,50,12134.0,804.0,0.0008450926290894758,0.0662600955991429,0.07707376112125575,0.04056444619629484,2026-03-26
5,1420,Crossword,10,302148.0,23483.0,0.024683221652870846,0.0777201901055112,0.3198681772329155,0.19746577322296677,2026-03-26
6,1420,Crossword,5,604350.0,57795.0,0.06074891604256996,0.09563167038967486,0.23992257053337168,0.18224674812770988,2026-03-26
7,1420,Crossword,2,1133166.0,176339.0,0.1853517277624491,0.15561621157006122,0.0,0.0,2026-03-26
8,1420,Crossword,0,5503331.760000001,692849.68,0.728261390093286,0.12589640425384785,-1.4565218856150075,-1.456522780186572,2026-03-26
9,1420,Crossword,Total,7556813.760000001,951375.68,1.0000007147549599,0.12589640425384785,,,2026-03-26
0,1431,Millionaire Extraordinaire,1000000,4.0,1.0,2.7309421204127e-06,0.25,1.9553349002553744,2.7308601921490876,2026-03-26
1,1431,Millionaire Extraordinaire,50000,7.0,2.0,5.4618842408254e-06,0.2857142857142857,0.1709942785184374,0.27293035551404526,2026-03-26
2,1431,Millionaire Extraordinaire,5000,20.0,4.0,1.09237684816508e-05,0.2,0.04859153001724657,0.05429112935380448,2026-03-26
3,1431,Millionaire Extraordinaire,1000,203.0,41.0,0.0001119686269369207,0.2019704433497537,0.09625913657641874,0.10860956812881307,2026-03-26
4,1431,Millionaire Extraordinaire,500,12661.0,2269.0,0.006196507671216416,0.17921175262617486,2.908975451989222,2.9123586054717157,2026-03-26
5,1431,Millionaire Extraordinaire,100,100953.0,17699.0,0.04833494458918438,0.17531920794825315,3.454549809740206,3.3834461212429066,2026-03-26
6,1431,Millionaire Extraordinaire,50,204266.0,36575.0,0.0998842080540945,0.17905574104354127,1.997102106741024,1.9976841610818898,2026-03-26
7,1431,Millionaire Extraordinaire,40,459690.0,82639.0,0.22568232588878512,0.17977115012290892,2.2471871663609737,2.2568232588878514,2026-03-26
8,1431,Millionaire Extraordinaire,0,1267820.52,226944.89999999997,0.6197733864228481,0.17900396500917967,-18.593160619937976,-18.593201592685443,2026-03-26
9,1431,Millionaire Extraordinaire,Total,2045624.52,366174.89999999997,1.0000024578479083,0.17900396500917967,,,2026-03-26
0,1440,500X FORTUNE,5000000,4.0,0.0,0.0,0.0,3.918691050051198,0.0,2026-03-26
1,1440,500X FORTUNE,500000,11.0,3.0,2.6045238843521942e-06,0.2727272727272727,1.077543050190705,1.3021317159818795,2026-03-26
2,1440,500X FORTUNE,25000,20.0,5.0,4.34087314058699e-06,0.25,0.0977723194219716,0.1083047848576454,2026-03-26
3,1440,500X FORTUNE,5000,934.0,214.0,0.00018578937041712317,0.2291220556745182,0.9058732753178385,0.9196573835647597,2026-03-26
4,1440,500X FORTUNE,1000,9459.0,2218.0,0.001925611325164389,0.2344856750185009,1.7606952924685533,1.8293307589061696,2026-03-26
5,1440,500X FORTUNE,500,94622.0,21108.0,0.018325430050302037,0.22307708566718099,8.342957081674568,8.246443522635916,2026-03-26
6,1440,500X FORTUNE,100,335788.0,75375.0,0.06543866259434888,0.22447198827831846,3.289656472351203,3.271933129717444,2026-03-26
7,1440,500X FORTUNE,75,425450.0,95732.0,0.08311209349893475,0.22501351510165707,2.0840297243525963,2.077802337473369,2026-03-26
8,1440,500X FORTUNE,50,1135161.0,257048.0,0.22316255180832092,0.22644188797888581,0.0,0.0,2026-03-26
9,1440,500X FORTUNE,0,3102245.9499999993,700139.6499999999,0.6078434802689952,0.2256879890519319,-30.392162519931638,-30.392174013449758,2026-03-26
10,1440,500X FORTUNE,Total,5103694.949999999,1151842.65,1.0000005643135081,0.22568798905193188,,,2026-03-26
0,1441,Double Bingo,10000,16.0,5.0,2.3292529480189937e-06,0.3125,0.025098984307643304,0.023287870974293898,2026-03-26
1,1441,Double Bingo,1000,20.0,9.0,4.192655306434188e-06,0.45,0.003131724637305964,0.0041842699958213195,2026-03-26
2,1441,Double Bingo,250,109.0,39.0,1.816817299454815e-05,0.3577981651376147,0.0042413216631089585,0.004505706902647941,2026-03-26
3,1441,Double Bingo,100,1334.0,403.0,0.0001877377876103309,0.3020989505247376,0.020511854974162486,0.01839830318581243,2026-03-26
4,1441,Double Bingo,50,2664.0,810.0,0.000377338977579077,0.30405405405405406,0.0200631208828451,0.018112270923795696,2026-03-26
5,1441,Double Bingo,40,7416.0,2155.0,0.0010039080205961862,0.2905879180151025,0.044215684197891736,0.03814850478265507,2026-03-26
6,1441,Double Bingo,25,21285.0,6303.0,0.0029362562662727434,0.2961240310077519,0.0768111951310782,0.0675338941242731,2026-03-26
7,1441,Double Bingo,20,42544.0,13373.0,0.0062298199347716006,0.31433339601353893,0.12015278925109261,0.1121367588258888,2026-03-26
8,1441,Double Bingo,10,170176.0,53806.0,0.025065556824221995,0.31617854456562616,0.2136049586686091,0.20052445459377596,2026-03-26
9,1441,Double Bingo,5,191435.0,65358.0,0.030447062835325077,0.341410922767519,0.09010847283707422,0.09134118850597522,2026-03-26
10,1441,Double Bingo,4,361563.0,113802.0,0.05301472879809151,0.31475012653396506,0.11345849248880323,0.10602945759618301,2026-03-26
11,1441,Double Bingo,2,957219.0,335290.0,0.15619504418825766,0.35027511990464044,0.0,0.0,2026-03-26
12,1441,Double Bingo,0,4617704.03,1555258.3900000001,0.7245180379677548,0.33680339404515713,-1.4490358194927893,-1.4490360759355096,2026-03-26
13,1441,Double Bingo,Total,6373485.03,2146611.39,1.00000018168173,0.33680339404515713,,,2026-03-26
0,1444,Cactus Crossword,50000,24.0,5.0,2.9300611972581658e-06,0.20833333333333334,0.14892789121218947,0.146488409556922,2026-03-26
1,1444,Cactus Crossword,2500,134.0,26.0,1.5236318225742462e-05,0.19402985074626866,0.041496701227598846,0.038014613973227446,2026-03-26
2,1444,Cactus Crossword,100,13391.0,2311.0,0.0013542742853727243,0.1725785975655291,0.15789734987342965,0.1286560571104088,2026-03-26
3,1444,Cactus Crossword,50,31298.0,5478.0,0.0032101750477160464,0.17502715828487445,0.17481042376084255,0.14445787714722208,2026-03-26
