,gameName,gameNumber,price,gameURL,gamePhoto
0,Strike It Rich,1496,$20,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,https://www.arizonalottery.com/media/wtapusdx/az-strike-it-rich-1496-game-image.jpg
1,NASCAR®,1495,$10,https://www.arizonalottery.com/scratchers/1495-nascar/,https://www.arizonalottery.com/media/voqklbwr/1495-nascar-scratchers-game-image.jpg
2,Instant Cash,1492,$5,https://www.arizonalottery.com/scratchers/1492-instant-cash/,https://www.arizonalottery.com/media/5qbkipzs/1492-instant-cash-scratchers-game-image.jpg
3,Million Dollar Crossword,1491,$30,https://www.arizonalottery.com/scratchers/1491-million-dollar-crossword/,https://www.arizonalottery.com/media/v1mmvmrv/1491-million-dollar-xword.gif
4,Ka-Pow,1493,$10,https://www.arizonalottery.com/scratchers/1493-ka-pow/,https://www.arizonalottery.com/media/ousmhyei/1493-ka-pow.jpg
5,Cosmic Cash Lines,1498,$3,https://www.arizonalottery.com/scratchers/1498-cosmic-cash-lines/,https://www.arizonalottery.com/media/xxfjfhs5/1498-cosmic-cash.jpg
6,JURASSIC PARK,1500,$5,https://www.arizonalottery.com/scratchers/1500-jurassic-park/,https://www.arizonalottery.com/media/3mfk4fxs/1500-jurassic-park.jpg
7,Easy $100s,1487,$2,https://www.arizonalottery.com/scratchers/1487-easy-100s/,https://www.arizonalottery.com/media/5qqpa1h4/az-1487-easy-100s_v6.png
8,State Forty Eight,1488,$5,https://www.arizonalottery.com/scratchers/1488-state-forty-eight/,https://www.arizonalottery.com/media/3mfk4fxs/1500-jurassic-park.jpg
9,PAC-MAN,1481,$5,https://www.arizonalottery.com/scratchers/1481-pac-man/,https://www.arizonalottery.com/media/5lbdjhry/1481-pac-man-game-image.jpg
10,"$100,000 Max",1485,$10,https://www.arizonalottery.com/scratchers/1485-100-000-max/,https://www.arizonalottery.com/media/o3jmgd1v/1485-100-000-max-game-image.jpg
11,Loaded CASH EXPLOSION® ,1490,$20,https://www.arizonalottery.com/scratchers/1490-loaded-cash-explosion/,https://www.arizonalottery.com/media/pztfxxfo/1490-loaded-cash-explosion-game-image.jpg
12,Loteria Grande,1483,$5,https://www.arizonalottery.com/scratchers/1483-loteria-grande/,https://www.arizonalottery.com/media/ioidniir/1483-loteria-grande-final-art-1_16_25.gif
13,Rock Out,1484,$2,https://www.arizonalottery.com/scratchers/1484-rock-out/,https://www.arizonalottery.com/media/s10l1jc3/1484-rock-out-final-art-1_16_25.gif
