,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,30,1408,10000000.0,3.12,,,,09/21/2020,06/13/2024,12/10/2024,2024-08-22,/scratchers/$30/$400-million-money-mania-1408,$400 Million Money Mania,5847705,664490,6.0,2.0,18244839.6,2073208.8,12397134.600000001,1408718.8,1036604.4,1036604.4,0.0,3.12,-3.8587526735165636e-07,8.4,8.289947151972498,0.012694768149866174,0.32051294419083853,0.3205128310532091,-1.1313762943165884e-07,0.11911588224625798,0.12062803075434099,0.001512148508083011,0.05147079932576793,0.013484255417791576,6.476100799724549,24.71771405123284,9.0,0.67,0.013775923907169,0.6736513332638758,0.013775923907169,0.13,0.12696471594879047,0.9999999547466528,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1408_30_400-Million-Money-Mania_Feature.jpg?rev=cedfe7cbf1894bb89568992a75062c3c,,,,2024-08-22,1431,28.0,45.333333333333336,77.0,8.333333333333334,41.166666666666664,39.96666666666667,41.0,3.0,/california-statistics-for-each-scratcher-game
1,30,1532,10000000.0,2.71,Top Prize Claimed,,,08/22/2022,05/15/2024,11/11/2024,2024-08-22,/scratchers/$30/california-200x-1532,California 200X,10085450,1451633,9.0,0.0,27331569.5,3933925.43,17246119.5,2482292.43,inf,inf,,2.71,-1.093055797575643e-07,4.97,4.948860007811254,0.0052117155692342305,0.36900373037106704,0.3690036967874036,-3.3583663461289603e-08,0.2010190839937213,0.20206673828348456,0.001047654289763278,0.05160496960310686,0.03139886902780675,6.459297479902239,10.615951110574594,6.0,0.33,-0.00748887618231493,0.3318490650770753,-0.00748887618231493,0.15,0.1451591319667587,0.9999999846978909,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1532-30-California-200X-thumbnail.jpg?rev=0575925101d240df80129a9f7f10bfc5,,,,2024-08-22,731,27.666666666666668,27.666666666666668,57.0,18.333333333333332,,32.66666666666667,13.0,1.0,/california-statistics-for-each-scratcher-game
2,20,1537,2000000.0,5.29,,,,09/19/2022,06/13/2024,12/10/2024,2024-08-22,/scratchers/$20/instant-prize-crossword-1537,Instant Prize Crossword,12704684,3076649,32.0,6.0,67207778.36,16275473.21,54503094.36,13198824.21,2712578.8683333336,2712578.8683333336,0.0,5.29,-1.290285064257895e-08,9.11,9.018897502967034,0.0106326273888024,0.18903591926329882,0.18903591783677182,-1.4265270076307957e-09,0.10971177304647306,0.11087829744944104,0.0011665244029679805,0.026423051422622097,0.01866345296176483,12.615195771068203,17.860039080089354,11.0,0.26,-0.0023297224005335375,0.25781118619409715,-0.0023297224005335375,0.24,0.23731978997450318,0.9999999975885628,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1537-20-Instant-Prize-Crossword--thumbnail.jpg?rev=5df4ce582cc84e29ac592a58de910b98,,,,2024-08-22,703,34.0,36.666666666666664,27.0,29.333333333333332,40.0,33.4,18.0,1.0,/california-statistics-for-each-scratcher-game
3,3,1543,20000.0,4.17,,,,11/28/2022,04/15/2024,10/12/2024,2024-08-22,/scratchers/$3/tripling-bonus-crossword-1543,Tripling Bonus Crossword,10988511,1770569,30.0,3.0,45822090.87,7383272.7299999995,34833579.87,5612703.7299999995,2461090.9099999997,2461090.9099999997,0.0,4.17,-9.887214329969364e-08,5.56,5.213589850279401,0.06570665787991357,0.2398081771875667,0.23980815803032993,-1.915723676915171e-08,0.17998050186963177,0.19180641913103483,0.011825917261403057,0.027510225541571932,0.025645317661506767,12.116623751880281,12.997697175498148,6.0,0.24,-0.04605217731703687,0.24271515393175272,-0.04605217731703687,0.14,0.1310974842630529,0.9999999846556761,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1543-3-Tripling-Bonus-Crossword-thumbnail.jpg?rev=ce7c38d052164f26b32854a5c98440c4,,,,2024-08-22,633,31.333333333333332,31.333333333333332,20.0,16.666666666666668,30.833333333333332,26.03333333333333,3.0,3.0,/california-statistics-for-each-scratcher-game
4,3,1552,30000.0,6.08,,,,01/23/2023,04/15/2024,10/12/2024,2024-08-22,/scratchers/$3/$30000-lucky-win-1552,"$30,000 Lucky Win",5474109,2006477,34.0,12.0,33282582.72,12199380.16,27808473.72,10192903.16,1016615.0133333333,1016615.0133333333,0.0,6.08,-1.3115420445592761e-08,9.95,9.775714110741907,0.017583072593136326,0.16447368636766788,0.16447368776857516,1.4009072790699406e-09,0.10052674808064016,0.10229431718969399,0.001767569109053832,0.026950049799646117,0.02266302419551761,12.368484698604655,14.708069528286371,13.0,0.24,-0.010747867293822301,0.23696390035122003,-0.010747867293822301,0.35,0.35015534947520843,1.0000000049284932,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1552330000LuckyWinthumbnail.jpg?rev=62f7920b1a2e4e8095281f6f7d1b261b,,,,2024-08-22,577,33.333333333333336,32.666666666666664,16.0,40.666666666666664,41.0,32.733333333333334,14.0,4.0,/california-statistics-for-each-scratcher-game
5,1,1555,1000.0,8.52,,,,02/20/2023,,,2024-08-22,/scratchers/$1/the-lucky-spot-1555,The Lucky Spot!,6440068,2382949,125.0,39.0,54869379.36,20302725.48,48429311.36,17919776.48,520582.70461538463,520582.70461538463,0.0,8.52,-2.3642145935290492e-08,15.57,15.17370983290755,0.026044781047717465,0.11737089479367917,0.11737089278885406,-2.004825111479036e-09,0.06423058973610685,0.06590346138234952,0.0016728716462426768,0.017174117572736562,0.010357022585854138,19.40889346734875,32.183487489833894,19.0,0.22,-0.07828112424476037,0.221518934034717,-0.07828112424476037,0.34,0.33221916133938223,0.9999999899674097,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1555-1-The-Lucky-Spot-thumbnail.jpg?rev=f5454020afe041b7a8ca068f6f66ea81,,,,2024-08-22,549,49.0,50.0,10.0,33.666666666666664,33.5,35.233333333333334,29.5,4.0,/california-statistics-for-each-scratcher-game
6,3,1556,30000.0,5.99,,,,02/20/2023,04/15/2024,10/12/2024,2024-08-22,/scratchers/$3/loteria-1556,LOTERIA™,11214472,921934,69.0,7.0,67174687.28,5522384.66,55960215.28,4600450.66,788912.0942857143,788912.0942857143,0.0,5.99,-1.1951358708100814e-07,10.87,9.575643014373723,0.13560099365648484,0.1669449281324877,0.1669449088761664,-1.9256321315275216e-08,0.09196155138795128,0.10443162913434938,0.012470077746398092,0.027645653105880207,0.020298641457139287,12.057192958065608,16.42092924804932,14.0,0.18,-0.08740233046562951,0.18042352723026867,-0.08740233046562951,0.06,0.06097134576745061,0.9999999896681655,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1556-3-LOTERIA-thumbnail.jpg?rev=406f38b83b9f4f1c8929fffa0388fe89,,,,2024-08-22,549,30.666666666666668,35.0,2.0,15.333333333333334,24.0,21.4,1.0,1.0,/california-statistics-for-each-scratcher-game
7,5,1557,75000.0,5.31,,,,02/20/2023,06/13/2024,12/10/2024,2024-08-22,/scratchers/$5/jokers-wild-poker-1557,Joker's Wild Poker,13005547,907789,39.0,1.0,69059454.57,4820359.59,56053907.56999999,3912570.59,4820359.59,4820359.59,0.0,5.31,-1.2239750757181987e-07,8.23,7.776255344247277,0.05800469949138777,0.18832394018785736,0.18832391869185644,-2.1496000923715286e-08,0.12154634125798514,0.12859660025693223,0.007050258998947095,0.0223009311450161,0.015849604224403152,14.946812884532479,21.030264472430108,9.0,0.25,-0.030153957817407196,0.24535097904533668,-0.030153957817407196,0.06,0.05743661618020322,0.9999999914349054,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/15575JokersWildPokerthumbnail.jpg?rev=6c4d8920a15f433480897dc5ae59100b,,,,2024-08-22,549,40.0,43.0,24.0,15.0,30.166666666666668,30.43333333333333,7.0,2.0,/california-statistics-for-each-scratcher-game
8,30,1559,7000000.0,3.73,,,,02/20/2023,06/13/2024,12/10/2024,2024-08-22,/scratchers/$30/crosswordxtreme-1559,Crossword&nbsp;Xtreme,9087539,2222301,5.0,1.0,33896520.47,8289182.7299999995,24808981.47,6066881.7299999995,8289182.7299999995,8289182.7299999995,0.0,3.73,-8.80665831591178e-08,5.16,5.122147037636837,0.007140296319021105,0.2680965383556544,0.26809651846266225,-1.989299214244511e-08,0.19384650982449173,0.19523063134504662,0.001384121520554893,0.026269179178695912,0.021936259950391206,12.689069109200327,15.195397111159295,6.0,0.31,-0.001050595408587219,0.30535023439787745,-0.001050595408587219,0.24,0.23484221083569887,0.9999999759809304,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1559-30-Crossword-Xtreme-thumbnail.jpg?rev=76f0da644b854969a6a9e85bcfef8d80,,,,2024-08-22,549,35.0,34.0,45.0,20.0,34.833333333333336,33.766666666666666,20.0,2.0,/california-statistics-for-each-scratcher-game
9,5,1566,250000.0,5.24,,,,04/24/2023,08/08/2024,02/04/2025,2024-08-22,/scratchers/$5/greetings-from-california-1566,Greetings from California,5577713,2725957,17.0,9.0,29227216.12,14284014.68,23649503.12,11558057.68,1587112.7422222223,1587112.7422222223,0.0,5.24,-4.760566377067135e-08,7.31,7.299313079951699,0.0018293873502477917,0.19083970374153933,0.19083969544003096,-8.30150836961252e-09,0.13674902586905893,0.13699919280714248,0.0002501669380835514,0.01991349624368597,0.016646846610544407,16.73896348453803,20.023607120270846,8.0,0.31,-0.0028437096620723143,0.3094166247666797,-0.0028437096620723143,0.48,0.4803534838174189,0.9999999584190034,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1566-5-Greetings-from-California-thumbnail.jpg?rev=4c5194bfad704e1eb5a9ddd83e85ec61,,,,2024-08-22,486,45.0,40.333333333333336,49.0,31.666666666666668,33.666666666666664,39.93333333333333,39.0,8.0,/california-statistics-for-each-scratcher-game
10,10,1567,1000000.0,4.43,,,,04/24/2023,06/13/2024,12/10/2024,2024-08-22,/scratchers/$10/show-me-$1000000-1567,"Show Me $1,000,000",4910883,1282862,7.0,2.0,21755211.689999998,5683078.659999999,16844328.689999998,4400216.659999999,2841539.3299999996,2841539.3299999996,0.0,4.43,-1.1613423621315839e-07,5.67,5.606940889936985,0.011256226438846724,0.22573366052691868,0.22573364147100206,-1.9055916622434665e-08,0.17636516690427265,0.17835037315887214,0.0019852062545994975,0.025487453230565945,0.024653392188661416,13.078197030342466,13.520607397227028,7.0,0.36,-0.0011815960386260013,0.35867262423637325,-0.0011815960386260013,0.26,0.25739517550323604,0.9999999701500467,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/156710ShowMe1000000thumbnail.jpg?rev=89dd1ae5e74f4fadb0151f213abae9d9,,,,2024-08-22,486,36.333333333333336,32.333333333333336,62.0,20.666666666666668,41.666666666666664,38.6,35.0,7.0,/california-statistics-for-each-scratcher-game
11,20,1568,200.0,7.94,,,,04/24/2023,06/13/2024,12/10/2024,2024-08-22,/scratchers/$20/win-$100-or-$200-1568,Win $100 or $200,2333007,390084,481458.0,80943.0,18524075.580000002,3097266.96,16191068.580000002,2707182.96,38.26479077869612,38.26479077869612,0.0,7.94,-3.0995067995545737e-07,7.94,7.939999751393802,-2.7864008430474054e-07,0.1259446234194932,0.1259445883262727,-3.5093220496218436e-08,0.1259446234194932,0.1259445883262727,-3.5093220496218436e-08,0.05209767364288627,0.05209767364288627,6.398133404299019,6.398133404299019,14.0,0.63,5.632815490484086e-05,0.6344469606420631,5.632815490484086e-05,0.17,0.16754201446437889,0.999999944056953,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1568-20-Win-100-or-200-thumbnail.jpg?rev=45ef1789d49b41e280e62075729bbece,,,,2024-08-22,486,27.333333333333332,27.333333333333332,76.0,10.0,33.666666666666664,34.86666666666666,25.0,3.0,/california-statistics-for-each-scratcher-game
