,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,1,The Lucky Spot!,1555,1000.0,8.52,125.0,36.0,,,,02/20/2023,,,2025-05-12
0,20,100X,1577,5000000.0,3.00,8.0,1.0,,,,06/19/2023,,,2025-05-12
0,3,Prize Box Bingo,1579,20000.0,5.07,57.0,14.0,,,,07/24/2023,04/10/2025,10/07/2025,2025-05-12
0,5,MEGA Crossword,1583,75000.0,5.75,30.0,4.0,,,,08/21/2023,02/10/2025,08/09/2025,2025-05-12
0,20,Millionaire Maker,1585,5000000.0,3.94,4.0,3.0,,,,08/21/2023,04/10/2025,10/07/2025,2025-05-12
0,30,"$10,000,000 Super Bonus",1586,10000000.0,2.98,7.0,2.0,,,,08/21/2023,,,2025-05-12
0,20,Instant Prize Crossword,1590,2000000.0,5.29,27.0,9.0,,,,09/18/2023,,,2025-05-12
0,3,Tripling Bonus Crossword,1596,20000.0,4.17,25.0,4.0,,,,11/20/2023,04/10/2025,10/07/2025,2025-05-12
0,10,Mystery Crossword,1598,750000.0,7.79,80.0,4.0,,,,11/20/2023,,,2025-05-12
0,20,Year of Fortune,1599,5000000.0,4.29,5.0,2.0,,,,11/20/2023,04/10/2025,10/07/2025,2025-05-12
0,5,LOTERIA&trade; Extra!,1602,100000.0,5.40,14.0,1.0,,,,12/18/2023,02/10/2025,08/09/2025,2025-05-12
0,20,Lucky 7's Multiplier,1603,5000000.0,5.79,6.0,2.0,,,,12/18/2023,02/10/2025,08/09/2025,2025-05-12
0,10,Red Hot Cash,1606,1000000.0,3.61,5.0,3.0,,,,01/22/2024,02/10/2025,08/09/2025,2025-05-12
0,30,Crossword&nbsp;Xtreme,1607,7000000.0,3.73,5.0,1.0,,,,01/22/2024,,,2025-05-12
0,1,Lucky 333,1608,1000.0,8.92,42.0,9.0,,,,02/19/2024,,,2025-05-12
0,2,Double Match,1609,20000.0,6.45,33.0,21.0,,,,02/19/2024,02/10/2025,08/09/2025,2025-05-12
0,3,LOTERIA™,1610,30000.0,5.99,72.0,12.0,,,,02/19/2024,04/10/2025,10/07/2025,2025-05-12
0,20,California State Riches,1612,5000000.0,4.96,6.0,3.0,,,,02/19/2024,,,2025-05-12
0,2,Ms PAC-MAN,1613,30000.0,6.62,34.0,23.0,,,,03/25/2024,02/10/2025,08/09/2025,2025-05-12
0,5,Ms PAC-MAN,1614,250000.0,5.24,20.0,10.0,,,,03/25/2024,02/10/2025,08/09/2025,2025-05-12
0,10,Power 10's,1615,1000000.0,3.96,8.0,1.0,,,,03/25/2024,02/10/2025,08/09/2025,2025-05-12
0,20,Win $100 or $200,1616,200.0,7.94,477197.0,167749.0,,,,03/25/2024,,,2025-05-12
0,1,Crossword Express,1617,100.0,9.32,34715.0,9856.0,,,,04/22/2024,,,2025-05-12
0,5,High 5,1619,555555.0,5.22,10.0,4.0,,,,04/22/2024,02/10/2025,08/09/2025,2025-05-12
0,10,Multiplier Craze,1620,1000000.0,6.12,13.0,1.0,,,,04/22/2024,02/10/2025,08/09/2025,2025-05-12
0,2,Dominoes,1621,30000.0,6.95,15.0,6.0,,,,05/20/2024,02/10/2025,08/09/2025,2025-05-12
0,3,Toad-ally Awesome Crossword,1622,20000.0,4.17,15.0,5.0,,,,05/20/2024,,,2025-05-12
0,5,The Big Spin,1623,500000.0,5.34,27.0,13.0,,,,05/20/2024,,,2025-05-12
0,10,$1 Million Ultimate Cash!,1624,1000000.0,4.11,13.0,4.0,,,,05/20/2024,04/10/2025,10/07/2025,2025-05-12
0,30,Royal Riches,1625,10000000.0,2.71,6.0,1.0,,,,05/20/2024,,,2025-05-12
0,1,Taco Tripler,1626,1000.0,8.93,75.0,10.0,,,,06/24/2024,04/10/2025,10/07/2025,2025-05-12
0,2,Beach Bucks,1627,20000.0,6.86,20.0,11.0,,,,06/24/2024,02/10/2025,08/09/2025,2025-05-12
0,5,MEGA Crossword,1628,75000.0,5.75,32.0,8.0,,,,06/24/2024,,,2025-05-12
0,10,$50 or $100,1629,100.0,8.13,445377.0,149687.0,,,,06/24/2024,,,2025-05-12
