,price,gameName,gameNumber,topprize,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto
0,5.0,Mega Crossword,1398.0,75000.0,01/27/2020,10/17/2022,04/15/2023,/scratchers/$5/mega-crossword-1398,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1398_5_MEGA_Crosswrod.jpg?rev=937e563beed24b5bbd4104d80204ca32
1,2.0,PAC-MAN,1405.0,20000.0,09/21/2020,11/21/2022,05/20/2023,/scratchers/$2/pac-man-1405,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1405_2_Pac-Man.jpg?rev=7956b745c57e4e7ca5b6f890e78f0ce0
2,5.0,PAC-MAN,1406.0,100000.0,09/14/2020,11/21/2022,05/20/2023,/scratchers/$5/pac-man-1406,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1406_5_Pac-Man.jpg?rev=d01adbaec4c44e54957f0bbea19d2eb2
3,10.0,PAC-MAN,1407.0,1000000.0,09/14/2020,11/21/2022,05/20/2023,/scratchers/$10/pac-man-1407,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1407_10_Pac-Man-feature.jpg?rev=ef9fba0e2ee14340a5dab73858745501
4,30.0,$400 Million Money Mania,1408.0,10000000.0,09/21/2020,,,/scratchers/$30/$400-million-money-mania-1408,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1408_30_400-Million-Money-Mania_Feature.jpg?rev=cedfe7cbf1894bb89568992a75062c3c
5,1.0,2 FOR $1,1409.0,5000.0,06/01/2020,10/17/2022,04/15/2023,/scratchers/$1/2-for-$1-1409,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1409_1_2_for_1.jpg?rev=78d313f290034ca0b296781f1c9df93d
6,3.0,Diamond Mine 9X,1415.0,19000.0,12/13/2021,11/21/2022,05/20/2023,/scratchers/$3/diamond-mine-9x-1415,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1415-3-Diamond-Mine-9X-thumbnail.jpg?rev=b744d49fe8dd4e9d923362632a28110b
7,20.0,100X,1421.0,5000000.0,01/25/2021,01/16/2023,07/15/2023,/scratchers/$20/100x-1421,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1421-20-100X-thumbnail.jpg?rev=5f1a86605ba749d7bce94ab112ceb115
8,1.0,California Jackpot,1422.0,5000.0,09/08/2020,01/16/2023,07/15/2023,/scratchers/$1/california-jackpot-1422,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1422-California-Jackpot-Feature.jpg?rev=ea6b25b4d9054bc4b203463bd63932ce
9,10.0,Gold Rush,1429.0,1000000.0,11/29/2021,10/17/2022,04/15/2023,/scratchers/$10/gold-rush-1429,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1429-10-Gold-Rush-thumbnail.jpg?rev=a5ee487e883d40b6bb397b6c081e186f
10,5.0,Mega Crossword,1441.0,75000.0,11/30/2020,10/17/2022,04/15/2023,/scratchers/$5/mega-crossword-1441,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1441-5-MEGA-Crossword-thumbnail.jpg?rev=7f26f424a7ef4015ae8c18f20f085f9e
11,5.0,MONOPOLY,1456.0,100000.0,03/22/2021,10/17/2022,04/15/2023,/scratchers/$5/monopoly-1456,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1456-5-MONOPOLY--thumbnail.jpg?rev=c9e8da8af3ac482ea7659e4577c70596
12,10.0,MONOPOLY,1457.0,1000000.0,03/22/2021,11/21/2022,05/20/2023,/scratchers/$10/monopoly-1457,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1457-10-MONOPOLY--thumbnail.jpg?rev=126b35ace30340e0939c4074afb3d618
13,20.0,Instant Prize Crossword,1463.0,2000000.0,04/26/2021,11/21/2022,05/20/2023,/scratchers/$20/instant-prize-crossword-1463,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1463-20-Instant-Prize-Crossword-thumbnail.jpg?rev=e37966ce6ae149afb232b6661f40444b
14,30.0,200X,1467.0,10000000.0,02/22/2021,10/17/2022,04/15/2023,/scratchers/$30/200x-1467,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1467-30-200X-thumbnail.jpg?rev=202b2a1a5261460891c34ce365e6ed63
15,5.0,Lucky Cherries,1468.0,500000.0,05/24/2021,10/17/2022,04/15/2023,/scratchers/$5/lucky-cherries-1468,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1468-5-Lucky-Cherries-Thumbnail.jpg?rev=83836365ec3f4f0ea67e24b99f58bfea
16,2.0,Orange Twist Lime Twist,1469.0,30000.0,06/21/2021,10/17/2022,04/15/2023,/scratchers/$2/orange-twist-lime-twist-1469,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1469-2-orange-twist-lime-twist_thumbnail.jpg?rev=80ecc1579b9241fcae66ca8720535545
17,3.0,Money Maze,1470.0,20000.0,06/21/2021,10/17/2022,04/15/2023,/scratchers/$3/money-maze-1470,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1470-3-Money-Maze-thumbnail.jpg?rev=0b6333d19e8f4cfba7a6239b48d111e4
18,2.0,3 Ways to Win,1478.0,30000.0,08/23/2021,11/21/2022,05/20/2023,/scratchers/$2/3-ways-to-win-1478,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1478-2-3-ways-to-win-thumbnail.jpg?rev=ef91925ed7ee451cafd893b137466c7c
19,30.0,$10 Million Dollar Titanium Black,1481.0,10000000.0,08/23/2021,11/08/2022,05/07/2023,/scratchers/$30/$10-million-dollar-titanium-black-1481,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1481-30-10-million-dollar-titanium-black-thumbnail.jpg?rev=5547ecf9dfac41868acd6703f890571d
20,2.0,Fall into Money,1482.0,20000.0,09/20/2021,10/17/2022,04/15/2023,/scratchers/$2/fall-into-money-1482,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1482-2-Fall-Into-Money-thumbnail.jpg?rev=bcc8ed02623840a594d7829f8ce42b69
21,3.0,Tetris&reg;&nbsp;,1483.0,30000.0,09/20/2021,01/16/2023,07/15/2023,/scratchers/$3/tetris-1483,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1483-3-TETRIS-thumbnail.jpg?rev=d90eaaf219f840d2ab0c9d5ec586da5e
22,5.0,Tetris&reg;&nbsp;,1484.0,250000.0,09/20/2021,01/16/2023,07/15/2023,/scratchers/$5/tetris-1484,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1484-5-TETRIS-thumbnail.jpg?rev=2b05f242d2a94307a4666b4a402262ee
23,10.0,Bonu$ Money,1485.0,1000000.0,09/20/2021,10/17/2022,04/15/2023,/scratchers/$10/bonu$-money-1485,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1485-10-Bonus-Money-thumbnail.jpg?rev=86a9c3fb856a4b5384ac80635573324d
24,20.0,West Coast Winnings,1486.0,5000000.0,09/20/2021,09/07/2022,03/06/2023,/scratchers/$20/west-coast-winnings-1486,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1486-20-West-Coast-Winnings-thumbnail.jpg?rev=d760e5f10a1b400e8ddd96e923eb36f5
25,20.0,$5 Million Roaring 2022,1490.0,5000000.0,10/25/2021,01/16/2023,07/15/2023,/scratchers/$20/$5-million-roaring-2022-1490,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1490-20-5-Million-Roaring-2022-thumbnail.jpg?rev=d622af269d1e45688d524e8457081d64
26,2.0,"$30,000 Multiplier",1491.0,30000.0,11/29/2021,11/21/2022,05/20/2023,/scratchers/$2/$30000-multiplier-1491,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1491230000Multiplierthumbnail.jpg?rev=b54bae215a09451b85b4bf226f14b055
27,3.0,Tripling Bonus Crossword,1492.0,20000.0,11/29/2021,,,/scratchers/$3/tripling-bonus-crossword-1492,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1492-3-Tripling-Bonus-Crossword-thumbnail.jpg?rev=8c4e49e91a4944729e303f7b577c4170
28,20.0,Year of Fortune,1494.0,5000000.0,11/29/2021,,,/scratchers/$20/year-of-fortune-1494,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1494-20-Year-of-Fortun-thumbnail.jpg?rev=423be77f0228448b910a71e3450fcf6b
29,1.0,Year of the Tiger,1495.0,888.0,12/13/2021,10/17/2022,04/15/2023,/scratchers/$1/year-of-the-tiger-1495,https://static.www.calottery.com/-/media/Project/calottery/PWS/obsolete-scratchers-images-jan-1-2023/1495-1-Year-of-the-Tiger-thumbnail.jpg?rev=7a4293cc9afb45f48a76afc9b50903e7
30,5.0,7,1496.0,77777.0,12/13/2021,,,/scratchers/$5/7-1496,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1496-5-7-thumbnail.jpg?rev=13ff54248d1548fc98dafffe07a9ac10
31,10.0,Mystery Crossword,1497.0,750000.0,12/13/2021,,,/scratchers/$10/mystery-crossword-1497,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1497-10-Mystery-Crossword-thumbnail.jpg?rev=35da2766fa7d43848279ed9f7540c724
32,2.0,Lucky Dog Doubler,1498.0,20000.0,01/24/2022,,,/scratchers/$2/lucky-dog-doubler-1498,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1498-2-Lucky-Dog-Doubler-thumbnail.jpg?rev=25a5800ea37a497ebd1c52bf9e0c57b1
33,3.0,Classic Bingo,1499.0,20000.0,01/24/2022,01/16/2023,07/15/2023,/scratchers/$3/classic-bingo-1499,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1499-3-Classic-Bingo-thumbnail.jpg?rev=4a2dcc31582c46c7bf6b5a6870027d5c
34,5.0,MEGA Crossword,1500.0,75000.0,01/24/2022,,,/scratchers/$5/mega-crossword-1500,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1500-5-Mega-Crossword-thumbnail.jpg?rev=8c2804da62bf4f228dee38a41387781c
