,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto_x,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,gamePhoto_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,10.0,340,250000,3.64,,Yes,Yes,"Sept. 16, 2024",,Not Set,2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,https://static.coloradolottery.com/media/cache/e3/32/e3324e8c0e1d1d46aac72273637b337a.jpg,"$250,000 Golden Casino➞",594196,594196,2,2,https://static.coloradolottery.com/media/cache/e3/32/e3324e8c0e1d1d46aac72273637b337a.jpg,2162873.44,2162873.44,1568677.44,1568677.44,1081436.72,1081436.72,0.0,3.64,-2.0343307746542735e-07,7.06,7.063687964571712,0.0,0.2747253306134942,0.2747253306134942,0.0,0.1415691073863329,0.1415691073863329,0.0,0.0387456930547102,0.02004473821969011,8.602982188070651,16.628564931604075,8.0,0.43,0.0,0.43431306415124693,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/e3/32/e3324e8c0e1d1d46aac72273637b337a.jpg,,,,2026-04-18,579,114.0,118.66666666666667,94.0,,107.0,108.41666666666667,165.0,17.0,/colorado-statistics-for-each-scratcher-game
1,5.0,408,100000,3.93,,Yes,Yes,"Feb. 16, 2026",,Not Set,2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,https://static.coloradolottery.com/media/cache/c6/41/c6418d604e952507bbe8df29be0663d2.jpg,LADY LUCK➞,305382,305382,2,2,https://static.coloradolottery.com/media/cache/c6/41/c6418d604e952507bbe8df29be0663d2.jpg,1200151.26,1200151.26,894769.26,894769.26,600075.63,600075.63,0.0,3.93,-2.166393593213658e-07,9.57,9.571956102151825,0.0,0.2544529813331822,0.2544529813331822,0.0,0.10447185395837691,0.10447185395837691,0.0,0.04564046786165578,0.01865111475735017,7.303285378128354,17.869485598501072,12.0,0.43,0.0,0.43046083367842874,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/c6/41/c6418d604e952507bbe8df29be0663d2.jpg,,,,2026-04-18,61,104.0,124.0,89.0,,105.16666666666667,105.54166666666667,130.0,15.0,/colorado-statistics-for-each-scratcher-game
2,1.0,412,10000,4.56,,Yes,Yes,"March 30, 2026",,Not Set,2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/10x-2919/,https://static.coloradolottery.com/media/cache/b1/84/b1847a9c3c91838e8f1a6c500b79142f.jpg,10X®➞,789110,789110,5,5,https://static.coloradolottery.com/media/cache/b1/84/b1847a9c3c91838e8f1a6c500b79142f.jpg,3598341.5999999996,3598341.5999999996,2809231.5999999996,2809231.5999999996,719668.32,719668.32,0.0,4.56,-1.6674347964751703e-07,8.88,8.882380094295376,0.0,0.21929828218059377,0.21929828218059377,0.0,0.11258243729540919,0.11258243729540919,0.0,0.030645832110875647,0.01340878604050909,10.876804962646949,24.857796879565853,10.0,0.38,0.0,0.380950554713964,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/b1/84/b1847a9c3c91838e8f1a6c500b79142f.jpg,,,,2026-04-18,19,128.33333333333334,129.33333333333334,35.0,,88.66666666666667,95.33333333333334,49.0,5.0,/colorado-statistics-for-each-scratcher-game
3,20.0,280,1000000,3.02,,Yes,Yes,"April 3, 2023",,Not Set,2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-chips-2775/,https://static.coloradolottery.com/media/cache/84/b3/84b324d64b6a305de7b7730b03dfcd55.jpg,Casino Ca$h Chips➞,716336,716336,2,2,https://static.coloradolottery.com/media/cache/84/b3/84b324d64b6a305de7b7730b03dfcd55.jpg,2163334.72,2163334.72,1446998.7200000002,1446998.7200000002,1081667.36,1081667.36,0.0,3.02,-3.328195092590735e-07,6.6,6.604873968052367,0.0,0.3311259380197418,0.3311259380197418,0.0,0.15140334317308377,0.15140334317308377,0.0,0.055141698814016496,0.025344805911211413,6.044980977838094,13.151410601155227,8.0,0.39,0.0,0.38960419426681225,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/84/b3/84b324d64b6a305de7b7730b03dfcd55.jpg,,,,2026-04-18,1111,72.66666666666667,110.0,48.0,,88.0,79.66666666666667,6.0,1.0,/colorado-statistics-for-each-scratcher-game
4,10.0,284,250000,3.32,,Yes,Yes,"May 15, 2023",,"Oct. 30, 2026",2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,https://static.coloradolottery.com/media/cache/e0/af/e0afac12f0ab2ff12472f75a4b281e85.jpg,"$250,000 Gold Rush➞",722044,722044,2,2,https://static.coloradolottery.com/media/cache/e0/af/e0afac12f0ab2ff12472f75a4b281e85.jpg,2397186.08,2397186.08,1675142.08,1675142.08,1198593.04,1198593.04,0.0,3.32,-3.337246142082797e-08,7.44,7.443659872563997,0.0,0.30120482932905496,0.30120482932905496,0.0,0.13434251660071433,0.13434251660071433,0.0,0.047274151661043415,0.020113127825452007,7.0510007374013295,16.57207089901416,9.0,0.4,0.0,0.39753110522087143,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/e0/af/e0afac12f0ab2ff12472f75a4b281e85.jpg,,,,2026-04-18,1069,102.0,117.66666666666667,60.0,,102.83333333333333,95.625,54.0,6.0,/colorado-statistics-for-each-scratcher-game
5,10.0,310,250000,3.48,,Yes,Yes,"Jan. 8, 2024",,Not Set,2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,https://static.coloradolottery.com/media/cache/20/72/20726c19d8f1ea656d9904d97467f229.jpg,Monopoly™ Secret Vault 100X➞,690343,690343,2,2,https://static.coloradolottery.com/media/cache/20/72/20726c19d8f1ea656d9904d97467f229.jpg,2402393.64,2402393.64,1712050.6400000001,1712050.6400000001,1201196.82,1201196.82,0.0,3.48,-2.6640097165279525e-07,7.27,7.272419878732106,0.0,0.2873563983911042,0.2873563983911042,0.0,0.13750581191337138,0.13750581191337138,0.0,0.04290831866204894,0.02003282870431163,7.768413975068753,16.6385161637274,9.0,0.41,0.0,0.411571712038788,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/20/72/20726c19d8f1ea656d9904d97467f229.jpg,,,,2026-04-18,831,107.66666666666667,119.0,70.0,,96.66666666666667,98.33333333333334,72.5,8.0,/colorado-statistics-for-each-scratcher-game
6,1.0,329,10000,4.56,,Yes,Yes,"June 24, 2024",,"June 5, 2026",2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,https://static.coloradolottery.com/media/cache/5d/51/5d51f95084857a42ab116a08b8b0b3de.jpg,"$10,000 Super Bonus➞",1052264,1052264,4,4,https://static.coloradolottery.com/media/cache/5d/51/5d51f95084857a42ab116a08b8b0b3de.jpg,4798323.84,4798323.84,3746059.84,3746059.84,1199580.96,1199580.96,0.0,4.56,-1.750611312831907e-07,8.88,8.88144129536671,0.0,0.2192982840046408,0.2192982840046408,0.0,0.11259433764671532,0.11259433764671532,0.0,0.03749464893193113,0.022740455408386196,8.89008236248096,14.657766687802974,11.0,0.38,0.0,0.38091141425868996,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/5d/51/5d51f95084857a42ab116a08b8b0b3de.jpg,,,,2026-04-18,663,125.33333333333333,114.0,34.0,,88.16666666666667,90.375,31.0,2.0,/colorado-statistics-for-each-scratcher-game
7,3.0,338,30000,3.32,,Yes,Yes,"Sept. 16, 2024",,"Oct. 30, 2026",2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,https://static.coloradolottery.com/media/cache/db/fd/dbfdb51a7f39289e5aad3547f55bfa7a.jpg,"$30,000 Golden Casino➞",325286,325286,2,2,https://static.coloradolottery.com/media/cache/db/fd/dbfdb51a7f39289e5aad3547f55bfa7a.jpg,1079949.52,1079949.52,754663.52,754663.52,539974.76,539974.76,0.0,3.32,-4.815039872842694e-07,8.25,8.25106581299757,0.0,0.30120496430849975,0.30120496430849975,0.0,0.1211964639070919,0.1211964639070919,0.0,0.054869425669927106,0.022316649819620494,6.074915202036544,14.934826724634211,10.0,0.33,0.0,0.32877848861381415,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/db/fd/dbfdb51a7f39289e5aad3547f55bfa7a.jpg,,,,2026-04-18,579,73.66666666666667,115.0,2.0,,71.16666666666667,65.45833333333334,1.0,1.0,/colorado-statistics-for-each-scratcher-game
8,2.0,330,20000,4.36,,Yes,Yes,"June 24, 2024",,"June 5, 2026",2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,https://static.coloradolottery.com/media/cache/66/24/6624da79241b074171ff1e48c8f5f96b.jpg,"$20,000 Super Bonus➞",825848,825848,2,2,https://static.coloradolottery.com/media/cache/66/24/6624da79241b074171ff1e48c8f5f96b.jpg,3600697.2800000003,3600697.2800000003,2774849.2800000003,2774849.2800000003,1800348.6400000001,1800348.6400000001,0.0,4.36,-7.776271614402336e-08,12.6,12.596544317259523,0.0,0.22935781600062433,0.22935781600062433,0.0,0.07938685204559007,0.07938685204559007,0.0,0.046411764824577796,0.013488075744624212,7.18202455228287,24.7110502321647,15.0,0.39,0.0,0.3904943959461182,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/66/24/6624da79241b074171ff1e48c8f5f96b.jpg,,,,2026-04-18,663,103.0,128.66666666666666,50.0,,96.0,94.41666666666666,46.0,7.0,/colorado-statistics-for-each-scratcher-game
9,5.0,339,100000,3.96,,Yes,Yes,"Sept. 16, 2024",,"Oct. 30, 2026",2026-04-18,https://www.coloradolottery.com/en/games/scratch/game/100000-golden-casino-2843/,https://static.coloradolottery.com/media/cache/1b/88/1b889da8adf21812910121b7908a5f6c.jpg,"$100,000 Golden Casino➞",546080,546080,2,2,https://static.coloradolottery.com/media/cache/1b/88/1b889da8adf21812910121b7908a5f6c.jpg,2162476.8,2162476.8,1616396.7999999998,1616396.7999999998,1081238.4,1081238.4,0.0,3.96,-3.6994616539637596e-07,7.73,7.731965102974828,0.0,0.25252534594603593,0.25252534594603593,0.0,0.12933322728206,0.12933322728206,0.0,0.039795718587055495,0.023058312805141392,8.375981949193648,14.4553553290775,9.0,0.43,0.0,0.43167184283201293,0.0,1.0,1.0,,https://static.coloradolottery.com/media/cache/1b/88/1b889da8adf21812910121b7908a5f6c.jpg,,,,2026-04-18,579,113.33333333333333,112.66666666666667,90.0,,101.16666666666667,104.29166666666667,95.0,14.0,/colorado-statistics-for-each-scratcher-game
