,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
0,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
1,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
2,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
3,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
4,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
5,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
6,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
7,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
8,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
9,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
10,408.0,LADY LUCK➞,$5,100000,3.93,2,2,,eXTRA Chances,2nd Chance,"Feb. 16, 2026",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/lady-luck-2915/,
11,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
12,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
13,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
14,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
15,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
16,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
17,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
18,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
19,277.0,Casino Ca$h Poker➞,$3,50000,3.52,3,3,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/,
