,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,267,MONOPOLY™ 100X➞,250000,2.0,2.0,8.343070391736355e-07,1.0,0.20856841672301715,0.20856841672301715,2026-04-18
1,267,MONOPOLY™ 100X➞,50000,3.0,3.0,1.2514605587604533e-06,1.0,0.06256051333243506,0.06256051333243506,2026-04-18
2,267,MONOPOLY™ 100X➞,10000,7.0,7.0,2.9200746371077244e-06,1.0,0.029171545624706165,0.029171545624706165,2026-04-18
3,267,MONOPOLY™ 100X➞,5000,24.0,24.0,1.0011684470083627e-05,1.0,0.049958305505717296,0.049958305505717296,2026-04-18
4,267,MONOPOLY™ 100X➞,1000,72.0,72.0,3.0035053410250882e-05,1.0,0.029734702876148374,0.029734702876148374,2026-04-18
5,267,MONOPOLY™ 100X➞,500,1780.0,1780.0,0.0007425332648645357,1.0,0.36384129978362245,0.36384129978362245,2026-04-18
6,267,MONOPOLY™ 100X➞,200,6420.0,6420.0,0.0026781255957473702,1.0,0.5088438631920004,0.5088438631920004,2026-04-18
7,267,MONOPOLY™ 100X➞,100,16340.0,16340.0,0.0068162885100486025,1.0,0.6134659659043742,0.6134659659043742,2026-04-18
8,267,MONOPOLY™ 100X➞,50,17400.0,17400.0,0.007258471240810629,1.0,0.2903388496324252,0.2903388496324252,2026-04-18
9,267,MONOPOLY™ 100X➞,40,40000.0,40000.0,0.016686140783472712,1.0,0.5005842235041814,0.5005842235041814,2026-04-18
10,267,MONOPOLY™ 100X➞,30,80000.0,80000.0,0.033372281566945425,1.0,0.6674456313389086,0.6674456313389086,2026-04-18
11,267,MONOPOLY™ 100X➞,20,160000.0,160000.0,0.06674456313389085,1.0,0.6674456313389086,0.6674456313389086,2026-04-18
12,267,MONOPOLY™ 100X➞,10,400000.0,400000.0,0.1668614078347271,1.0,0.0,0.0,2026-04-18
13,267,MONOPOLY™ 100X➞,0,1675151.3599999999,1675151.3599999999,0.6987952856646444,1.0,-6.987952856646444,-6.987952856646444,2026-04-18
14,267,MONOPOLY™ 100X➞,Total,2397199.36,2397199.36,1.0000001501752669,1.0,,,2026-04-18
0,268,MONOPOLY™ 200X➞,1000000,2.0,2.0,9.244989446844547e-07,1.0,0.9244804547055611,0.9244804547055611,2026-04-18
1,268,MONOPOLY™ 200X➞,10000,4.0,4.0,1.8489978893689094e-06,1.0,0.018452998935901715,0.018452998935901715,2026-04-18
2,268,MONOPOLY™ 200X➞,5000,8.0,8.0,3.6979957787378188e-06,1.0,0.01841601897811434,0.01841601897811434,2026-04-18
3,268,MONOPOLY™ 200X➞,1000,84.0,84.0,3.88289556767471e-05,1.0,0.038052376563212156,0.038052376563212156,2026-04-18
4,268,MONOPOLY™ 200X➞,500,2700.0,2700.0,0.0012480735753240138,1.0,0.5990753161555267,0.5990753161555267,2026-04-18
5,268,MONOPOLY™ 200X➞,400,2250.0,2250.0,0.0010400613127700114,1.0,0.3952232988526043,0.3952232988526043,2026-04-18
6,268,MONOPOLY™ 200X➞,200,5688.0,5688.0,0.002629274998682589,1.0,0.47326949976286603,0.47326949976286603,2026-04-18
7,268,MONOPOLY™ 200X➞,100,72000.0,72000.0,0.033281962008640364,1.0,2.662556960691229,2.662556960691229,2026-04-18
8,268,MONOPOLY™ 200X➞,50,86400.0,86400.0,0.03993835441036844,1.0,1.1981506323110533,1.1981506323110533,2026-04-18
9,268,MONOPOLY™ 200X➞,40,158400.0,158400.0,0.07322031641900881,1.0,1.4644063283801763,1.4644063283801763,2026-04-18
10,268,MONOPOLY™ 200X➞,20,388800.0,388800.0,0.17972259484665798,1.0,0.0,0.0,2026-04-18
11,268,MONOPOLY™ 200X➞,0,1446998.7200000002,1446998.7200000002,0.6688743947998784,1.0,-13.377487895997568,-13.377487895997568,2026-04-18
12,268,MONOPOLY™ 200X➞,Total,2163334.72,2163334.72,1.00000033281962,1.0,,,2026-04-18
0,280,Casino Ca$h Chips➞,1000000,2.0,2.0,9.244989446844547e-07,1.0,0.9244804547055611,0.9244804547055611,2026-04-18
1,280,Casino Ca$h Chips➞,10000,4.0,4.0,1.8489978893689094e-06,1.0,0.018452998935901715,0.018452998935901715,2026-04-18
2,280,Casino Ca$h Chips➞,5000,8.0,8.0,3.6979957787378188e-06,1.0,0.01841601897811434,0.01841601897811434,2026-04-18
3,280,Casino Ca$h Chips➞,1000,84.0,84.0,3.88289556767471e-05,1.0,0.038052376563212156,0.038052376563212156,2026-04-18
4,280,Casino Ca$h Chips➞,500,2700.0,2700.0,0.0012480735753240138,1.0,0.5990753161555267,0.5990753161555267,2026-04-18
5,280,Casino Ca$h Chips➞,400,2250.0,2250.0,0.0010400613127700114,1.0,0.3952232988526043,0.3952232988526043,2026-04-18
6,280,Casino Ca$h Chips➞,200,5688.0,5688.0,0.002629274998682589,1.0,0.47326949976286603,0.47326949976286603,2026-04-18
7,280,Casino Ca$h Chips➞,100,72000.0,72000.0,0.033281962008640364,1.0,2.662556960691229,2.662556960691229,2026-04-18
8,280,Casino Ca$h Chips➞,50,86400.0,86400.0,0.03993835441036844,1.0,1.1981506323110533,1.1981506323110533,2026-04-18
9,280,Casino Ca$h Chips➞,40,158400.0,158400.0,0.07322031641900881,1.0,1.4644063283801763,1.4644063283801763,2026-04-18
10,280,Casino Ca$h Chips➞,20,388800.0,388800.0,0.17972259484665798,1.0,0.0,0.0,2026-04-18
11,280,Casino Ca$h Chips➞,0,1446998.7200000002,1446998.7200000002,0.6688743947998784,1.0,-13.377487895997568,-13.377487895997568,2026-04-18
12,280,Casino Ca$h Chips➞,Total,2163334.72,2163334.72,1.00000033281962,1.0,,,2026-04-18
0,282,"$20,000 Gold Rush➞",20000,3.0,3.0,1.562976219316823e-06,1.0,0.031256398433897825,0.031256398433897825,2026-04-18
1,282,"$20,000 Gold Rush➞",5000,3.0,3.0,1.562976219316823e-06,1.0,0.007811755144145482,0.007811755144145482,2026-04-18
2,282,"$20,000 Gold Rush➞",1000,48.0,48.0,2.500761950906917e-05,1.0,0.02495760427005103,0.02495760427005103,2026-04-18
3,282,"$20,000 Gold Rush➞",200,224.0,224.0,0.00011670222437565612,1.0,0.023107040426379913,0.023107040426379913,2026-04-18
4,282,"$20,000 Gold Rush➞",100,1168.0,1168.0,0.0006085187413873498,1.0,0.05963483665596028,0.05963483665596028,2026-04-18
5,282,"$20,000 Gold Rush➞",50,1440.0,1440.0,0.0007502285852720751,1.0,0.036010972093059604,0.036010972093059604,2026-04-18
6,282,"$20,000 Gold Rush➞",30,1552.0,1552.0,0.0008085796974599031,1.0,0.022640231528877286,0.022640231528877286,2026-04-18
7,282,"$20,000 Gold Rush➞",20,19200.0,19200.0,0.010003047803627667,1.0,0.180054860465298,0.180054860465298,2026-04-18
8,282,"$20,000 Gold Rush➞",15,15360.0,15360.0,0.008002438242902135,1.0,0.10403169715772775,0.10403169715772775,2026-04-18
9,282,"$20,000 Gold Rush➞",10,34560.0,34560.0,0.018005486046529802,1.0,0.14404388837223842,0.14404388837223842,2026-04-18
10,282,"$20,000 Gold Rush➞",5,42240.0,42240.0,0.02200670516798087,1.0,0.06602011550394261,0.06602011550394261,2026-04-18
11,282,"$20,000 Gold Rush➞",4,57600.0,57600.0,0.030009143410883003,1.0,0.060018286821766006,0.060018286821766006,2026-04-18
12,282,"$20,000 Gold Rush➞",2,288000.0,288000.0,0.15004571705441502,1.0,0.0,0.0,2026-04-18
13,282,"$20,000 Gold Rush➞",0,1458017.6800000002,1458017.6800000002,0.7596156537278286,1.0,-1.5192313074556572,-1.5192313074556572,2026-04-18
14,282,"$20,000 Gold Rush➞",Total,1919415.6800000002,1919415.6800000002,1.0000003542746099,1.0,,,2026-04-18
0,284,"$250,000 Gold Rush➞",250000,2.0,2.0,8.343115636417033e-07,1.0,0.2085695477947894,0.2085695477947894,2026-04-18
1,284,"$250,000 Gold Rush➞",50000,3.0,3.0,1.2514673454625548e-06,1.0,0.06256085259967312,0.06256085259967312,2026-04-18
2,284,"$250,000 Gold Rush➞",10000,3.0,3.0,1.2514673454625548e-06,1.0,0.012502158781170922,0.012502158781170922,2026-04-18
3,284,"$250,000 Gold Rush➞",5000,24.0,24.0,1.0011738763700438e-05,1.0,0.04995857643086519,0.04995857643086519,2026-04-18
4,284,"$250,000 Gold Rush➞",1000,72.0,72.0,3.0035216291101318e-05,1.0,0.029734864128190305,0.029734864128190305,2026-04-18
5,284,"$250,000 Gold Rush➞",500,1780.0,1780.0,0.0007425372916411159,1.0,0.3638432729041468,0.3638432729041468,2026-04-18
6,284,"$250,000 Gold Rush➞",200,6420.0,6420.0,0.0026781401192898673,1.0,0.5088466226650747,0.5088466226650747,2026-04-18
7,284,"$250,000 Gold Rush➞",100,16340.0,16340.0,0.006816325474952715,1.0,0.6134692927457444,0.6134692927457444,2026-04-18
8,284,"$250,000 Gold Rush➞",50,17400.0,17400.0,0.007258510603682818,1.0,0.29034042414731276,0.29034042414731276,2026-04-18
9,284,"$250,000 Gold Rush➞",40,40000.0,40000.0,0.016686231272834064,1.0,0.5005869381850219,0.5005869381850219,2026-04-18
10,284,"$250,000 Gold Rush➞",30,80000.0,80000.0,0.03337246254566813,1.0,0.6674492509133625,0.6674492509133625,2026-04-18
11,284,"$250,000 Gold Rush➞",20,160000.0,160000.0,0.06674492509133625,1.0,0.6674492509133625,0.6674492509133625,2026-04-18
12,284,"$250,000 Gold Rush➞",10,400000.0,400000.0,0.16686231272834065,1.0,0.0,0.0,2026-04-18
13,284,"$250,000 Gold Rush➞",0,1675142.08,1675142.08,0.6987952040434076,1.0,-6.987952040434076,-6.987952040434076,2026-04-18
14,284,"$250,000 Gold Rush➞",Total,2397186.08,2397186.08,1.0000000333724626,1.0,,,2026-04-18
0,285,"$1,000,000 Gold Rush➞",1000000,2.0,2.0,9.244989446844547e-07,1.0,0.9244804547055611,0.9244804547055611,2026-04-18
1,285,"$1,000,000 Gold Rush➞",10000,4.0,4.0,1.8489978893689094e-06,1.0,0.018452998935901715,0.018452998935901715,2026-04-18
2,285,"$1,000,000 Gold Rush➞",5000,8.0,8.0,3.6979957787378188e-06,1.0,0.01841601897811434,0.01841601897811434,2026-04-18
3,285,"$1,000,000 Gold Rush➞",1000,84.0,84.0,3.88289556767471e-05,1.0,0.038052376563212156,0.038052376563212156,2026-04-18
