,gameName,gameNumber,price,startDate,lastdatetoclaim,topprize,topprizestarting,topprizeremain,overallodds,secondChance,Payout percentage,gameURL
0,Money Mile,100,$2,"Sept. 7, 2020",Not Set,"$5,280",10,8,1 in 3.30,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/money-mile-2609/
1,Powerball™,150,$5,"Feb. 10, 2020","Sept. 15, 2023","$100,000",8,0,1 in 3.90,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/powerballtm-2583/
2,4X Multiplier Crossword,258,$3,"May 17, 2023",Not Set,"$40,000",10,7,1 in 3.40,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/4x-multiplier-crossword-2742/
3,4X Multiplier Crossword,258,$3,"Aug. 29, 2022",Not Set,"$40,000",10,7,1 in 3.40,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/4x-multiplier-crossword-2741/
4,Yahtzee™ Squared,261,$3,"Nov. 28, 2022",Not Set,"$40,000",5,3,1 in 3.58,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/yahtzeetm-squared-2755/
5,MONOPOLY™ 10X®,264,$1,"Jan. 9, 2023",Not Set,"$10,000",4,3,1 in 4.56,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-10x-2761/
6,Extra Chance Bingo,269,$3,"Nov. 28, 2022",Not Set,"$40,000",8,7,1 in 3.83,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/extra-chance-bingo-2758/
7,40th Anniversary Celebration,276,$40,"Feb. 20, 2023",Not Set,"$40,000",33,26,1 in 2.69,1,77.0%,https://www.coloradolottery.com/en/games/scratch/game/40th-anniversary-celebration-2767/
8,Casino Ca$h Poker,277,$3,"April 3, 2023",Not Set,"$50,000",3,3,1 in 3.52,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-poker-2772/
9,Casino Ca$h Slots,278,$5,"April 3, 2023",Not Set,"$100,000",3,3,1 in 3.51,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-slots-2773/
10,"$250,000 Casino Nights",192,$10,"Feb. 22, 2021",Not Set,"$250,000",2,1,1 in 3.33,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/250000-casino-nights-2638/
11,"$1,000,000 Casino Nights",193,$20,"Feb. 22, 2021","Sept. 15, 2023","$1,000,000",2,0,1 in 3.02,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/1000000-casino-nights-2639/
12,Super Special Ultimate Fun Bingo,259,$5,"May 11, 2023",Not Set,"$140,000",6,3,1 in 3.49,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/super-special-ultimate-fun-bingo-2744/
13,Super Special Ultimate Fun Bingo,259,$5,"Aug. 29, 2022",Not Set,"$140,000",6,3,1 in 3.49,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/super-special-ultimate-fun-bingo-2743/
14,Loteria™ Grande,262,$5,"Nov. 28, 2022",Not Set,"$100,000",3,0,1 in 3.39,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/loteriatm-grande-2756/
15,MONOPOLY™ 20X,265,$2,"Jan. 9, 2023",Not Set,"$20,000",3,3,1 in 4.16,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-20x-2762/
16,Casino Ca$h Dice,279,$10,"April 3, 2023",Not Set,"$250,000",2,2,1 in 3.36,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/
17,Play On!®,162,$2,"May 4, 2020",Not Set,$200,285,112,1 in 3.12,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/play-on-2596/
18,$500 Mayhem,169,$10,"Jan. 11, 2021","Nov. 3, 2023",$500,6020,298,1 in 5.35,0,71.0%,https://www.coloradolottery.com/en/games/scratch/game/500-mayhem-2629/
19,"$10,000 Casino Nights",189,$1,"Feb. 22, 2021",Not Set,"$10,000",9,4,1 in 5.23,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/10000-casino-nights-2636/
20,"$20,000 Casino Nights",190,$2,"Feb. 22, 2021",Not Set,"$20,000",6,1,1 in 4.22,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/20000-casino-nights-2637/
21,Super 7-11-21,197,$2,"March 8, 2021",Not Set,"$42,000",4,1,1 in 4.13,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/super-7-11-21-2643/
22,Special Extra Free Space Bingo Tripler,202,$3,"June 8, 2022",Not Set,"$40,000",6,1,1 in 3.82,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/special-extra-free-space-bingo-tripler-2652/
23,Special Extra Free Space Bingo Tripler,202,$3,"May 3, 2021",Not Set,"$40,000",6,1,1 in 3.82,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/special-extra-free-space-bingo-tripler-2651/
24,$50 Set For Life,208,$50,"July 6, 2021",Not Set,"$3,665,272",2,1,1 in 2.57,1,80.0%,https://www.coloradolottery.com/en/games/scratch/game/50-set-for-life-2659/
25,"$500,000 Ma$$ive Money",210,$10,"Sept. 19, 2022",Not Set,"$500,000",2,1,1 in 3.60,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/500000-maive-money-2714/
26,"$500,000 WIN WIN WIN",210,$10,"Nov. 29, 2021",Not Set,"$500,000",2,1,1 in 3.60,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/500000-win-win-win-2713/
27,"$500,000 Crossword",211,$20,"March 14, 2022","July 28, 2023","$500,000",3,0,1 in 3.04,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/500000-crossword-2666/
28,"$500,000 Crossword",211,$20,"Aug. 16, 2021","July 28, 2023","$500,000",3,0,1 in 3.04,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/500000-crossword-2665/
29,Wild Numbers,212,$1,"July 26, 2021",Not Set,"$10,000",8,4,1 in 4.89,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/wild-numbers-2660/
30,All The Marbles,214,$3,"July 26, 2021",Not Set,"$40,000",3,2,1 in 3.68,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/all-the-marbles-2661/
31,Pyramid of Prizes,216,$5,"July 26, 2021","Nov. 3, 2023","$100,000",3,1,1 in 3.74,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/pyramid-of-prizes-2663/
32,"$10,000 Jackpot",219,$1,"Sept. 6, 2021",Not Set,"$10,000",6,2,1 in 4.38,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/10000-jackpot-2667/
33,"$20,000 Jackpot",220,$2,"Sept. 6, 2021","July 28, 2023","$20,000",4,0,1 in 4.21,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/20000-jackpot-2668/
34,"$250,000 Jackpot",223,$10,"Sept. 6, 2021",Not Set,"$250,000",2,1,1 in 3.33,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/250000-jackpot-2670/
35,"$1,000,000 Jackpot",224,$20,"Sept. 6, 2021","Sept. 29, 2023","$1,000,000",2,0,1 in 3.02,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/1000000-jackpot-2671/
36,10X The Cash,231,$1,"Jan. 10, 2022","Sept. 15, 2023","$10,000",4,1,1 in 4.56,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/10x-the-cash-2717/
37,50X The Cash,234,$5,"Jan. 10, 2022",Not Set,"$100,000",2,2,1 in 3.45,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/50x-the-cash-2718/
38,GET $50,241,$1,"April 4, 2022","July 28, 2023",$50,3530,600,1 in 4.84,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/get-50-2724/
39,"$500,000 Crossword",260,$20,"May 9, 2023",Not Set,"$500,000",3,2,1 in 3.04,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/500000-crossword-2752/
