,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,3.0,1881,30000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1881/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1881.jpg,Twisted Treasure,262590,192817,4.0,3.0,262590.0,192817.0,0.0,0.0,64272.333333333336,64272.333333333336,0.0,1.0,0.0,1.61,1.6078743532437314,0.003291641709794136,1.0,1.0,0.0,0.6198986603878289,0.621939144674207,0.0020404842863780415,0.14512178604101653,0.11479835241578414,2.2968940202564285,2.9035716012036197,2.0,1.57,-0.002508026172261876,1.572456439698436,-0.002508026172261876,0.72,0.7223810968214659,-0.0,,,,,2026-04-18,,39.333333333333336,31.333333333333332,48.0,51.0,35.416666666666664,41.016666666666666,53.0,5.0,/connecticut-statistics-for-each-scratcher-game
1,10.0,1873,500.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1873/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1873.jpg,$500 Loaded!,428785,390830,11326.0,10315.0,428785.0,390830.0,0.0,0.0,37.88948133785749,37.88948133785749,0.0,1.0,0.0,1.63,1.6332240162413965,0.0003582128055082876,1.0,1.0,0.0,0.6120666274339227,0.6122858775376937,0.00021925010377099596,0.1688181435539163,0.14207367252816877,1.974501331978266,2.346177571923953,2.0,2.04,-0.0001224873611939997,2.0423534529079137,-0.0001224873611939997,0.91,0.9092980350485188,-0.0,,,,,2026-04-18,,32.0,26.666666666666668,63.0,55.0,38.25,42.983333333333334,62.0,11.0,/connecticut-statistics-for-each-scratcher-game
2,5.0,1872,250.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1872/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1872.jpg,$250 Loaded!,532624,497448,14381.0,13375.0,532624.0,497448.0,0.0,0.0,37.192373831775704,37.192373831775704,0.0,1.0,0.0,1.73,1.732110569105691,0.0006404965392911966,1.0,1.0,0.0,0.5769608079638475,0.577330349364655,0.00036954140080747155,0.19433042120865823,0.1721183206870238,1.7152856555853733,1.9366391838761776,2.0,2.27,-0.0005247987080965269,2.2721209050996287,-0.0005247987080965269,0.93,0.9323286208025395,-0.0,,,,,2026-04-18,,28.0,24.333333333333332,65.0,56.333333333333336,39.083333333333336,42.55,58.0,13.0,/connecticut-statistics-for-each-scratcher-game
3,2.0,1871,100.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1871/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1871.jpg,$100 Loaded!,336038,314162,9621.0,8974.0,336038.0,314162.0,0.0,0.0,35.00802317806998,35.00802317806998,0.0,1.0,0.0,1.74,1.737366739393438,0.0011711689398891442,1.0,1.0,0.0,0.5749103965470044,0.5755837137466596,0.0006733171996552434,0.1593285461729889,0.11163967707057178,2.092099134605929,2.9857469292805123,2.0,2.39,-0.0010417544766971537,2.390355931016482,-0.0010417544766971537,0.93,0.9324358518559037,-0.0,,,,,2026-04-18,,34.666666666666664,32.0,66.0,57.0,39.75,45.88333333333333,67.0,11.0,/connecticut-statistics-for-each-scratcher-game
4,1.0,1870,50.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1870/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1870.jpg,$50 Loaded!,438485,409821,12732.0,11770.0,438485.0,409821.0,0.0,0.0,34.81911639762107,34.81911639762107,0.0,1.0,0.0,2.07,2.067691509678636,0.0017143024753754079,1.0,1.0,0.0,0.48280346785547834,0.48363113903554283,0.0008276711800644931,0.19975246960575102,0.12322444555703217,1.668725181278203,2.7050539745620688,3.0,2.43,-0.0075740111705011595,2.4343310860107215,-0.0075740111705011595,0.93,0.9302972179767915,-0.0,,,,,2026-04-18,,27.333333333333332,29.666666666666668,67.0,55.666666666666664,40.583333333333336,44.05,64.0,7.0,/connecticut-statistics-for-each-scratcher-game
5,5.0,1869,50000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1869/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1869.jpg,Lady Luck,526472,398195,4.0,4.0,526472.0,398195.0,0.0,0.0,99548.75,99548.75,0.0,1.0,0.0,1.67,1.66055922660821,0.003446942746314938,1.0,1.0,0.0,0.6001381232813069,0.6022067650321384,0.0020686417508315458,0.15530415182871254,0.12301616402683413,2.146314394724097,2.709640285012816,2.0,1.74,0.0021489660999694424,1.7400921658986175,0.0021489660999694424,0.79,0.7898949195316772,-0.0,,,,,2026-04-18,,36.333333333333336,30.0,60.0,54.333333333333336,39.583333333333336,44.050000000000004,65.0,15.0,/connecticut-statistics-for-each-scratcher-game
6,2.0,1867,10000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1867/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1867.jpg,Green & Gold,376508,288158,6.0,4.0,376508.0,288158.0,0.0,0.0,72039.5,72039.5,0.0,1.0,0.0,1.61,1.6095313007643508,0.00293680759146549,1.0,1.0,0.0,0.6194795910576837,0.6212988834234598,0.0018192923657761595,0.1088845218764349,0.06818614999584131,3.06131474284299,4.888444427717533,2.0,1.58,-0.006477511844252865,1.5797548567105546,-0.006477511844252865,0.76,0.7577612523625162,-0.0,,,,,2026-04-18,,46.333333333333336,45.0,49.0,53.666666666666664,35.583333333333336,45.91666666666667,68.0,12.0,/connecticut-statistics-for-each-scratcher-game
7,10.0,1866,200000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1866/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1866.jpg,100X the cash,710361,443029,4.0,3.0,710361.0,443029.0,0.0,0.0,147676.33333333334,147676.33333333334,0.0,1.0,0.0,1.59,1.5908186985206185,0.002076882638286527,1.0,1.0,0.0,0.6273043073929697,0.6286071448179166,0.0013028374249468566,0.11940103638735204,0.08328905290953853,2.791694636481597,4.002068958169085,2.0,1.54,0.0009372158747335118,1.5381408440530981,0.0009372158747335118,0.63,0.6289132792860009,-0.0,,,,,2026-04-18,,45.0,42.0,42.0,48.333333333333336,32.75,42.016666666666666,54.0,9.0,/connecticut-statistics-for-each-scratcher-game
8,5.0,1865,100000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1865/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1865.jpg,50X the cash,1097542,763882,4.0,3.0,1097542.0,763882.0,0.0,0.0,254627.33333333334,254627.33333333334,0.0,1.0,0.0,1.64,1.6318749860608268,0.0026835464390430894,1.0,1.0,0.0,0.6111519842069848,0.6127920389379177,0.0016400547309328717,0.13882423140008937,0.1087936416876084,2.4011102543476275,3.063884437765535,2.0,1.62,0.00022670524248516642,1.6229810363380732,0.00022670524248516642,0.71,0.7074244349704432,-0.0,,,,,2026-04-18,,41.666666666666664,34.0,54.0,50.333333333333336,37.083333333333336,43.41666666666667,63.0,14.0,/connecticut-statistics-for-each-scratcher-game
9,2.0,1864,25000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1864/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1864.jpg,20X the cash,490758,301407,4.0,3.0,490758.0,301407.0,0.0,0.0,100469.0,100469.0,0.0,1.0,0.0,1.63,1.6265345353307703,0.0051925458333861845,1.0,1.0,0.0,0.6116281307335264,0.6148040378353485,0.0031759071018221396,0.14046999223312345,0.1054017036657773,2.3729673769597137,3.1624499748148787,2.0,1.62,0.0007451053224807772,1.6226978802748444,0.0007451053224807772,0.6,0.6019936533954314,-0.0,,,,,2026-04-18,,41.0,35.0,53.0,47.0,38.083333333333336,42.81666666666667,61.0,10.0,/connecticut-statistics-for-each-scratcher-game
