,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
0,3.0,Twisted Treasure,1881,30000.0,1.0,4.0,3.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1881/,https://ctlottery.org/Content/images/Scratch/1881.jpg
1,10.0,$500 Loaded!,1873,500.0,1.0,11326.0,11064.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1873/,https://ctlottery.org/Content/images/Scratch/1873.jpg
2,5.0,$250 Loaded!,1872,250.0,1.0,14381.0,14097.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1872/,https://ctlottery.org/Content/images/Scratch/1872.jpg
3,2.0,$100 Loaded!,1871,100.0,1.0,9621.0,9466.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1871/,https://ctlottery.org/Content/images/Scratch/1871.jpg
4,1.0,$50 Loaded!,1870,50.0,1.0,12732.0,12499.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1870/,https://ctlottery.org/Content/images/Scratch/1870.jpg
5,5.0,Lady Luck,1869,50000.0,1.0,4.0,4.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1869/,https://ctlottery.org/Content/images/Scratch/1869.jpg
6,2.0,Green & Gold,1867,10000.0,1.0,6.0,5.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1867/,https://ctlottery.org/Content/images/Scratch/1867.jpg
7,10.0,100X the cash,1866,200000.0,1.0,4.0,3.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1866/,https://ctlottery.org/Content/images/Scratch/1866.jpg
8,5.0,50X the cash,1865,100000.0,1.0,4.0,3.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1865/,https://ctlottery.org/Content/images/Scratch/1865.jpg
9,2.0,20X the cash,1864,25000.0,1.0,4.0,3.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1864/,https://ctlottery.org/Content/images/Scratch/1864.jpg
10,1.0,10X the cash,1863,2000.0,1.0,10.0,4.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1863/,https://ctlottery.org/Content/images/Scratch/1863.jpg
11,5.0,UCONN®,1862,50000.0,1.0,3.0,1.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1862/,https://ctlottery.org/Content/images/Scratch/1862.jpg
12,3.0,LOTERIA™,1861,30000.0,1.0,3.0,2.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1861/,https://ctlottery.org/Content/images/Scratch/1861.jpg
13,2.0,777,1859,17777.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1859/,https://ctlottery.org/Content/images/Scratch/1859.jpg
14,20.0,"$100, $200 or $500",1858,500.0,1.0,7505.0,4552.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1858/,https://ctlottery.org/Content/images/Scratch/1858.jpg
15,10.0,Pinball Wizard 2nd Edition,1857,100000.0,1.0,4.0,3.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1857/,https://ctlottery.org/Content/images/Scratch/1857.jpg
16,20.0,200X 4th Edition,1856,1000000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1856/,https://ctlottery.org/Content/images/Scratch/1856.jpg
17,5.0,Full of $250s,1854,250.0,1.0,10197.0,1722.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1854/,https://ctlottery.org/Content/images/Scratch/1854.jpg
18,10.0,Triple Red 777s,1852,100000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1852/,https://ctlottery.org/Content/images/Scratch/1852.jpg
19,10.0,100X 2nd Edition,1851,200000.0,1.0,4.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1851/,https://ctlottery.org/Content/images/Scratch/1851.jpg
20,50.0,Best Chance To Be A Millionaire,1850,1000000.0,1.0,5.0,4.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1850/,https://ctlottery.org/Content/images/Scratch/1850.jpg
21,5.0,Emerald 8s Extra Play,1849,50000.0,1.0,4.0,2.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1849/,https://ctlottery.org/Content/images/Scratch/1849.jpg
22,10.0,Holiday Cash 100X,1848,100000.0,1.0,3.0,0.0,Top Prize Claimed,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1848/,https://ctlottery.org/Content/images/Scratch/1848.jpg
23,5.0,Holiday Cash 50X,1847,50000.0,1.0,4.0,0.0,Top Prize Claimed,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1847/,https://ctlottery.org/Content/images/Scratch/1847.jpg
24,2.0,Holiday Cash 20X,1846,10000.0,1.0,3.0,0.0,Top Prize Claimed,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1846/,https://ctlottery.org/Content/images/Scratch/1846.jpg
25,1.0,Holiday Cash 10X,1845,5000.0,1.0,4.0,0.0,Top Prize Claimed,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1845/,https://ctlottery.org/Content/images/Scratch/1845.jpg
26,10.0,$10 Million Cash Blowout,1844,500.0,1.0,1922.0,36.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1844/,https://ctlottery.org/Content/images/Scratch/1844.jpg
27,10.0,Jumbo Bucks,1843,100000.0,1.0,3.0,1.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1843/,https://ctlottery.org/Content/images/Scratch/1843.jpg
28,1.0,7-11-21 Tripler,1842,2100.0,1.0,4.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1842/,https://ctlottery.org/Content/images/Scratch/1842.jpg
29,3.0,Money Box Bingo,1841,30000.0,1.0,3.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1841/,https://ctlottery.org/Content/images/Scratch/1841.jpg
30,5.0,Mega Bucks,1840,50000.0,1.0,3.0,0.0,Top Prize Claimed,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1840/,https://ctlottery.org/Content/images/Scratch/1840.jpg
31,2.0,Big Bucks,1838,20000.0,1.0,3.0,0.0,Top Prize Claimed,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1838/,https://ctlottery.org/Content/images/Scratch/1838.jpg
32,10.0,Hit $500,1834,500.0,1.0,6140.0,67.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1834/,https://ctlottery.org/Content/images/Scratch/1834.jpg
33,5.0,Hit $250,1833,250.0,1.0,7466.0,121.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1833/,https://ctlottery.org/Content/images/Scratch/1833.jpg
34,2.0,Hit $100,1832,100.0,1.0,5487.0,164.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1832/,https://ctlottery.org/Content/images/Scratch/1832.jpg
35,1.0,Hit $50,1831,50.0,1.0,8282.0,305.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1831/,https://ctlottery.org/Content/images/Scratch/1831.jpg
36,5.0,"$50,000 Cashword 2nd Edition",1830,50000.0,1.0,20.0,15.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1830/,https://ctlottery.org/Content/images/Scratch/1830.jpg
37,1.0,2026,1826,2026.0,1.0,4.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1826/,https://ctlottery.org/Content/images/Scratch/1826.jpg
38,30.0,WIN BIG,1816,3000000.0,1.0,3.0,2.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1816/,https://ctlottery.org/Content/images/Scratch/1816.jpg
