,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1677,DIAMONDS & GOLD,1000000,3.0,1.0,1.4189630218236513e-05,0.3333333333333333,3.169312946292268,14.189204529329967,2026-04-09
1,1677,DIAMONDS & GOLD,300000,4.0,1.0,1.4189630218236513e-05,0.25,1.2676364350921083,4.256463376564407,2026-04-09
2,1677,DIAMONDS & GOLD,50000,7.0,1.0,1.4189630218236513e-05,0.14285714285714285,0.3695424114335338,0.7090558220052786,2026-04-09
3,1677,DIAMONDS & GOLD,5000,130.0,12.0,0.00017027556261883816,0.09230769230769231,0.6825848424117504,0.8462695462156257,2026-04-09
4,1677,DIAMONDS & GOLD,1000,1636.0,125.0,0.001773703777279564,0.07640586797066015,1.676532329546595,1.720492663961177,2026-04-09
5,1677,DIAMONDS & GOLD,500,28124.0,1838.0,0.02608054034111871,0.06535343478879249,13.964707585132942,12.257853960325793,2026-04-09
6,1677,DIAMONDS & GOLD,100,140877.0,9770.0,0.13863268723217073,0.0693512780652626,10.418256212832087,9.704288106251951,2026-04-09
7,1677,DIAMONDS & GOLD,50,281711.0,20938.0,0.2971024775094361,0.07432439627845558,5.952380700840632,5.942049550188722,2026-04-09
8,1677,DIAMONDS & GOLD,30,494057.0,37788.0,0.5361977466867214,0.07648510192143822,0.0,0.0,2026-04-09
9,1677,DIAMONDS & GOLD,0,0.0,0.0,0.0,,-0.0,-0.0,2026-04-09
10,1677,DIAMONDS & GOLD,Total,946549.0,70474.0,1.0,0.07445362046761446,,,2026-04-09
0,1699,"$1,000,000 Extreme Cash",1000000,3.0,1.0,2.9244982292163224e-06,0.3333333333333333,2.830354767309554,2.9244104942694458,2026-04-09
1,1699,"$1,000,000 Extreme Cash",300000,10.0,4.0,1.169799291686529e-05,0.4,2.830156636531919,3.509046935272081,2026-04-09
2,1699,"$1,000,000 Extreme Cash",50000,25.0,7.0,2.0471487604514255e-05,0.28,1.178642256954862,1.0229602355975773,2026-04-09
3,1699,"$1,000,000 Extreme Cash",5000,103.0,33.0,9.650844156413864e-05,0.32038834951456313,0.4829767922815797,0.47964695457376905,2026-04-09
4,1699,"$1,000,000 Extreme Cash",1000,2404.0,775.0,0.0022664861276426498,0.3223793677204659,2.2000818940547555,2.19849154381337,2026-04-09
5,1699,"$1,000,000 Extreme Cash",500,16554.0,5279.0,0.015438426152032964,0.3188957351697475,7.340632093789449,7.256060291455493,2026-04-09
6,1699,"$1,000,000 Extreme Cash",100,155243.0,49452.0,0.14462228643120556,0.3185457637381396,10.252805437463323,10.12356005018439,2026-04-09
7,1699,"$1,000,000 Extreme Cash",50,403902.0,130506.0,0.38166456590210535,0.3231130323692381,7.621468318888656,7.633291318042107,2026-04-09
8,1699,"$1,000,000 Extreme Cash",40,155434.0,50278.0,0.14703792196853824,0.3234684817993489,1.4664885376627739,1.4703792196853824,2026-04-09
9,1699,"$1,000,000 Extreme Cash",30,326228.0,105604.0,0.3088387109981605,0.32371225032799145,0.0,0.0,2026-04-09
10,1699,"$1,000,000 Extreme Cash",0,0.0,0.0,0.0,,-0.0,-0.0,2026-04-09
11,1699,"$1,000,000 Extreme Cash",Total,1059906.0,341939.0,1.0,0.32261257130349297,,,2026-04-09
0,1711,"$1,000,000 Titanium",1000000,3.0,1.0,3.918572072336841e-06,0.3333333333333333,3.3559381191192412,3.9184545151746706,2026-04-09
1,1711,"$1,000,000 Titanium",300000,5.0,2.0,7.837144144673682e-06,0.4,1.6778515982016107,2.3509081290777645,2026-04-09
2,1711,"$1,000,000 Titanium",50000,6.0,2.0,7.837144144673682e-06,0.3333333333333333,0.335402517700308,0.39162209290934386,2026-04-09
3,1711,"$1,000,000 Titanium",25000,10.0,3.0,1.175571621701052e-05,0.3,0.2793342961435758,0.2935402339387527,2026-04-09
4,1711,"$1,000,000 Titanium",5000,95.0,25.0,9.796430180842101e-05,0.2631578947368421,0.5281845731845788,0.48688257998785245,2026-04-09
5,1711,"$1,000,000 Titanium",500,12620.0,3484.0,0.013652305100021552,0.27606973058637085,6.635336180000023,6.416583397010129,2026-04-09
6,1711,"$1,000,000 Titanium",100,125662.0,34587.0,0.1355316522659143,0.27523833776320605,9.84028611349452,9.487215658614,2026-04-09
7,1711,"$1,000,000 Titanium",60,126254.0,35182.0,0.1378632026489547,0.2786604780838627,4.237133226909614,4.135896079468641,2026-04-09
8,1711,"$1,000,000 Titanium",50,251772.0,72766.0,0.28513881541566255,0.2890154584306436,5.633044005499429,5.7027763083132506,2026-04-09
9,1711,"$1,000,000 Titanium",40,126044.0,36205.0,0.14187190187895532,0.2872409634730729,1.4100285151430065,1.4187190187895533,2026-04-09
10,1711,"$1,000,000 Titanium",30,251440.0,72938.0,0.2858128098121045,0.29008113267578745,0.0,0.0,2026-04-09
11,1711,"$1,000,000 Titanium",0,0.0,0.0,0.0,,-0.0,-0.0,2026-04-09
12,1711,"$1,000,000 Titanium",Total,893911.0,255195.0,1.0,0.28548144054609464,,,2026-04-09
0,1715,Aces High,1000,20.0,0.0,0.0,0.0,0.00852819854397443,0.0,2026-04-09
1,1715,Aces High,100,692.0,30.0,0.00012742424628558321,0.04335260115606936,0.029241733025555567,0.012615000382272739,2026-04-09
2,1715,Aces High,40,2803.0,134.0,0.0005691616334089384,0.04780592222618623,0.046660514526108754,0.022197303702948597,2026-04-09
3,1715,Aces High,20,49697.0,2597.0,0.011030692253455321,0.05225667545324667,0.4030376265144168,0.2095831528156511,2026-04-09
4,1715,Aces High,10,49866.0,3038.0,0.012903828673853394,0.060923274375325874,0.19156177864586893,0.11613445806468055,2026-04-09
5,1715,Aces High,5,199219.0,14390.0,0.061121163468318085,0.07223206621858357,0.340135973119528,0.24448465387327234,2026-04-09
6,1715,Aces High,4,298707.0,23367.0,0.09925074543184077,0.07822715905552934,0.38249738775900455,0.29775223629552233,2026-04-09
7,1715,Aces High,2,746393.0,72148.0,0.3064468173670753,0.09666221414187968,0.31858797276439976,0.3064468173670753,2026-04-09
8,1715,Aces High,1,995419.0,119730.0,0.5085501669257626,0.12028100729441572,0.0,0.0,2026-04-09
9,1715,Aces High,0,0.0,0.0,0.0,,-0.0,-0.0,2026-04-09
10,1715,Aces High,Total,2342816.0,235434.0,1.0,0.1004918866867906,,,2026-04-09
0,1717,Mega Money 28th Edition,20000,4.0,1.0,1.1968594408272692e-05,0.25,0.054399895541754735,0.2393479509766373,2026-04-09
1,1717,Mega Money 28th Edition,400,1998.0,54.0,0.0006463040980467254,0.02702702702702703,0.5407917608559047,0.2572290310225967,2026-04-09
2,1717,Mega Money 28th Edition,50,6100.0,166.0,0.001986786671773267,0.02721311475409836,0.19912353003582592,0.09536576024511682,2026-04-09
3,1717,Mega Money 28th Edition,40,13013.0,485.0,0.005804768288012256,0.0372704218858065,0.3362889032156274,0.2205811949444657,2026-04-09
