,price,gameName,gameNumber,topprize,overallodds,topprizeodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,50,Extreme 500X Fortune,1620,1520000,3.45,227497.50,2.0,2.0,,,,"04/02/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/extreme-500x-fortune-0
0,10,Diamond Dollars,1619,100000,3.94,121605.00,2.0,2.0,,,,"04/02/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/diamond-dollars
0,5,Lightening 7s,1617,50000,3.39,121620.00,2.0,2.0,,,,"04/02/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/lightening-7s
0,5,Win! It! All!,1618,50000,3.98,121260,2.0,2.0,,,,"03/05/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/win-it-all-0
0,5,Lucky,1616,50000,3.41,120900,2.0,2.0,,,,"03/05/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/lucky
0,2,Lady Luck Doubler,1615,5000,4.69,245400,1.0,0.0,Top Prize Claimed,,,"03/05/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/lady-luck-doubler
0,10,50X the Cash,1614,100000,3.43,121620,2.0,1.0,,,,"02/05/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/50x-cash
0,5,20X the Cash,1613,50000,3.69,121380,2.0,2.0,,,,"02/05/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/20x-cash-0
0,3,15X Cashword,1612,30000,3.72,119150,2.0,1.0,,,,"02/05/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/15x-cashword-0
0,1,5X the Cash,1611,1000,3.94,59600,4.0,2.0,,,,"02/05/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/5x-cash-0
0,20,100X the Cash,1610,250000,3.00,121320,2.0,1.0,,,,"01/01/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/100x-cash-0
0,10,Cash Blast,1609,100000,4.00,121935,2.0,1.0,,,,"01/01/2025
",,,2025-04-08,https://dclottery.com/dc-scratchers/cash-blast
