,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported
0,1589,"Full of $5,000s",250000,2,2,2024-03-19
1,1589,"Full of $5,000s",5000,130,126,2024-03-19
2,1589,"Full of $5,000s",1000,8,8,2024-03-19
3,1589,"Full of $5,000s",500,24,23,2024-03-19
4,1589,"Full of $5,000s",100,5373,5130,2024-03-19
5,1589,"Full of $5,000s",50,8135,7824,2024-03-19
6,1589,"Full of $5,000s",40,8113,7791,2024-03-19
7,1589,"Full of $5,000s",30,16264,15612,2024-03-19
8,1589,"Full of $5,000s",25,16275,15629,2024-03-19
9,1589,"Full of $5,000s",20,22694,21799,2024-03-19
0,1589,"Full of $5,000s",250000,2,2,2024-03-19
1,1589,"Full of $5,000s",5000,130,126,2024-03-19
2,1589,"Full of $5,000s",1000,8,8,2024-03-19
3,1589,"Full of $5,000s",500,24,23,2024-03-19
4,1589,"Full of $5,000s",100,5373,5130,2024-03-19
5,1589,"Full of $5,000s",50,8135,7824,2024-03-19
6,1589,"Full of $5,000s",40,8113,7791,2024-03-19
7,1589,"Full of $5,000s",30,16264,15612,2024-03-19
8,1589,"Full of $5,000s",25,16275,15629,2024-03-19
9,1589,"Full of $5,000s",20,22694,21799,2024-03-19
0,1589,"Full of $5,000s",250000,2,2,2024-03-19
1,1589,"Full of $5,000s",5000,130,126,2024-03-19
2,1589,"Full of $5,000s",1000,8,8,2024-03-19
3,1589,"Full of $5,000s",500,24,23,2024-03-19
4,1589,"Full of $5,000s",100,5373,5130,2024-03-19
5,1589,"Full of $5,000s",50,8135,7824,2024-03-19
6,1589,"Full of $5,000s",40,8113,7791,2024-03-19
7,1589,"Full of $5,000s",30,16264,15612,2024-03-19
8,1589,"Full of $5,000s",25,16275,15629,2024-03-19
9,1589,"Full of $5,000s",20,22694,21799,2024-03-19
0,1579,Lucky Loot HD,50000,2,2,2024-03-19
1,1579,Lucky Loot HD,5000,3,3,2024-03-19
2,1579,Lucky Loot HD,1000,8,7,2024-03-19
3,1579,Lucky Loot HD,500,12,9,2024-03-19
4,1579,Lucky Loot HD,200,18,16,2024-03-19
5,1579,Lucky Loot HD,100,312,287,2024-03-19
6,1579,Lucky Loot HD,50,2417,2199,2024-03-19
7,1579,Lucky Loot HD,25,6986,6298,2024-03-19
8,1579,Lucky Loot HD,20,2986,2685,2024-03-19
9,1579,Lucky Loot HD,10,21135,19100,2024-03-19
10,1579,Lucky Loot HD,5,24148,21747,2024-03-19
0,1579,Lucky Loot HD,50000,2,2,2024-03-19
1,1579,Lucky Loot HD,5000,3,3,2024-03-19
