,gameNumber,price,topprize,overallodds,topprizeavail,gameURL,gamePhoto,dateexported,startDate,extrachances,secondChance,lastdatetoclaim,gameName,Winning Tickets Unclaimed,Winning Tickets At Start,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,1607,10.0,500,8.89,Yes,https://floridalottery.com/games/scratch-offs/view?id=1607,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/blowout/fl-1607-$50-$100-$500-BLOWOUT-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,"$50, $100 & $500 BLOWOUT",1329799,3639859,33725.0,12272.0,32358346.51,11821913.110000001,28718487.51,10492114.110000001,963.3240800195568,963.3240800195568,0.0,8.89,-9.304754542164037e-09,8.89,8.889999859884682,6.456248760809015e-09,0.11248594030424687,0.11248594103048407,7.262371953808966e-10,0.11248594030424687,0.11248594103048407,7.262371953808966e-10,0.041964927059972096,0.041964927059972096,7.943093569680177,7.943093569680177,14.0,0.64,-0.08875828202708536,0.637055187261148,-0.08875828202708536,0.36,0.36474712628894324,-0.28233252921576907,,,,,2026-06-17,,40.0,32.666666666666664,85.0,52.333333333333336,61.333333333333336,54.266666666666666,79.0,12.0,/florida-statistics-for-each-scratcher-game
1,1633,5.0,616700,3.95,Yes,https://floridalottery.com/games/scratch-offs/view?id=1633,"https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/$1,000,000-cash-stacks/fl-1633-1000000-cash-stacks-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg",2026-06-17,,No,No,,"$1,000,000 Cash Stacks",2667944,3596230,4.0,4.0,14205108.5,10538378.8,10608878.5,7870434.800000001,2634594.7,2634594.7,0.0,3.95,-7.591300482738029e-08,6.55,6.523819452545258,0.004433014818195785,0.25316457618050897,0.2531645658730648,-1.0307444175960967e-08,0.15260792505260298,0.15328443824573526,0.0006765131931322776,0.03645984277541962,0.028331822395830406,9.142447298189882,11.76524722418392,8.0,0.46,-0.1483600104274982,0.4597844184370688,-0.1483600104274982,0.76,0.7613534423954457,-0.1337174027404774,,,,,2026-06-17,,49.666666666666664,39.0,61.0,69.33333333333333,47.0,53.2,74.0,21.0,/florida-statistics-for-each-scratcher-game
2,1593,5.0,1000000,3.85,Yes,https://floridalottery.com/games/scratch-offs/view?id=1593,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/money-match/fl-1593-money-match-ticket@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Money Match,794361,4238125,4.0,1.0,16316781.25,3058289.85,12078656.25,2263928.85,3058289.85,3058289.85,0.0,3.85,-2.7793310694759587e-07,7.84,6.997090402918088,0.11999739617936082,0.2597403319306972,0.259740263719909,-6.821078818441961e-08,0.12760435655361543,0.14291654708119206,0.015312190527576625,0.04220793707632186,0.026544843563098008,7.897330277415982,12.556962597922233,10.0,0.42,-0.1528652275048501,0.4207175973232092,-0.1528652275048501,0.17,0.16192064413563362,2.9188497384382237,,,,,2026-06-17,,39.666666666666664,41.666666666666664,41.0,47.0,36.666666666666664,41.199999999999996,30.0,8.0,/florida-statistics-for-each-scratcher-game
3,1630,10.0,2000000,3.44,Yes,https://floridalottery.com/games/scratch-offs/view?id=1630,"https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/$2,000,000-fortune/fl-1630-$2000000-fortune-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg",2026-06-17,,No,No,,"$2,000,000 Fortune",2576891,4731078,4.0,3.0,16274908.32,8864505.04,11543830.32,6287614.039999999,2954835.013333333,2954835.013333333,0.0,3.44,-4.512378326290635e-09,5.77,5.74767443010294,0.004113922785405503,0.29069767573034255,0.2906976801343516,4.4040090463326464e-09,0.17327058871307535,0.1739834105360227,0.0007128218229473515,0.03545529404617767,0.02193858704891222,9.401476596771598,15.19377867129791,7.0,0.5,-0.06985655772878042,0.49638772836159495,-0.06985655772878042,0.57,0.5671697916526509,-0.5211624639796469,,,,,2026-06-17,,51.666666666666664,52.333333333333336,73.0,62.0,60.666666666666664,59.93333333333334,88.0,13.0,/florida-statistics-for-each-scratcher-game
4,1594,20.0,5000000,2.93,Yes,https://floridalottery.com/games/scratch-offs/view?id=1594,"https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/$5,000,000-cash-money/fl-1594-$5000000-cash-money-ticket@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg",2026-06-17,,No,No,,"$5,000,000 CA$H MONEY",2240278,7658998,4.0,1.0,22440864.14,6564014.54,14781866.14,4323736.54,6564014.54,6564014.54,0.0,2.93,-8.226672827980919e-08,6.21,6.193776598196422,0.002684841780798691,0.341296956405029,0.34129693045686654,-2.5948162452049672e-08,0.16102007095048854,0.16145238436452358,0.000432313414035046,0.05544408652866192,0.026325705371273333,6.012046724265627,12.66174392734273,7.0,0.43,-0.03328233366884721,0.42626059298471947,-0.03328233366884721,0.28,0.2789914691692336,4.948675049133139,,,,,2026-06-17,,32.0,42.333333333333336,42.0,61.0,34.5,42.36666666666667,32.0,6.0,/florida-statistics-for-each-scratcher-game
5,1588,5.0,1000000,3.9,No,https://floridalottery.com/games/scratch-offs/view?id=1588,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/times-lucky/fl-1588-5-times-lucky-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,5 Times Lucky,299247,4205044,4.0,0.0,16399671.6,1167063.3,12194627.6,867816.3,,,,3.9,-2.570554655743871e-07,8.0,7.157180956803364,0.11744350883200558,0.2564103223219312,0.25641026579130766,-5.653062357113825e-08,0.1250352380291381,0.1397198151109251,0.014684577081786998,0.04324350029948103,0.027144409467742374,7.708088959740109,12.278966133318901,10.0,0.35,-0.16123180106572782,0.3524882547043305,-0.16123180106572782,0.06,0.05944012553169142,1.2856555060745933,,,,,2026-06-17,,38.333333333333336,40.333333333333336,12.0,24.0,,28.666666666666668,4.0,2.0,/florida-statistics-for-each-scratcher-game
6,1591,2.0,50000,3.97,Yes,https://floridalottery.com/games/scratch-offs/view?id=1591,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/add-it-up/fl-1591-add-it-up-ticket@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Add It Up,1031693,3572599,8.0,3.0,14183218.030000001,4095821.2100000004,10610619.030000001,3064128.2100000004,1365273.7366666668,1365273.7366666668,0.0,3.97,-5.127176925396903e-08,6.76,6.583571264450515,0.026154212776227606,0.2518891816805471,0.25188916929853294,-1.2382014136225195e-08,0.1480218495876651,0.15189324453731162,0.0038713949496465283,0.034933673048410774,0.02435372639629003,9.541803691136895,13.68685033058378,8.0,0.44,-0.3760452635558365,0.43598719279968534,-0.3760452635558365,0.29,0.2921432763073479,-4.8562675116872,,,,,2026-06-17,,53.333333333333336,45.666666666666664,49.0,39.333333333333336,48.166666666666664,47.1,59.0,13.0,/florida-statistics-for-each-scratcher-game
7,1580,2.0,50000,4.633,Yes,https://floridalottery.com/games/scratch-offs/view?id=1580,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/loteria-2025/fl-1580-loteria-ticket@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Loteria®,412610,3906146,7.0,1.0,18097174.418,1911622.13,14191028.418000001,1499012.13,1911622.13,1911622.13,0.0,4.63,-6.800507175157518e-08,10.69,9.162175065372962,0.16723906321001722,0.21584288107167632,0.21584287137870256,-9.692973756969536e-09,0.09350645682043834,0.10914438906317639,0.015637932242738045,0.029501985435798583,0.014907526572331846,11.298365206661556,22.357272992174803,13.0,0.38,-0.41537916356049187,0.37592473825892353,-0.41537916356049187,0.08,0.08267330631042173,1.7515637816341143,,,,,2026-06-17,,58.333333333333336,58.0,18.0,32.0,44.333333333333336,42.13333333333334,31.0,8.0,/florida-statistics-for-each-scratcher-game
8,1635,5.0,1000000,4.01,Yes,https://floridalottery.com/games/scratch-offs/view?id=1635,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/find-your-own-fountain-of-youth/fl-1635-find-your-own-fountain-of-youth-ticket@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,America 250 Florida,2844478,4032336,4.0,3.0,16169667.36,11406356.78,12137331.36,8561878.78,3802118.9266666663,3802118.9266666663,0.0,4.01,-6.838292149216573e-08,6.73,6.695822043994569,0.005128865159227779,0.24937657565659005,0.24937656415558837,-1.1501001678793088e-08,0.14858478904217964,0.14934686038988929,0.0007620713477096419,0.035354330678213065,0.027132195761498303,9.428328073810361,12.28543830284161,8.0,0.47,-0.1501805631288727,0.4733563462336262,-0.1501805631288727,0.7,0.700284417131982,-0.16108689697071613,,,,,2026-06-17,,52.0,40.666666666666664,66.0,66.66666666666667,49.166666666666664,54.9,80.0,25.0,/florida-statistics-for-each-scratcher-game
9,1549,3.0,150000,4.21,No,https://floridalottery.com/games/scratch-offs/view?id=1549,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/bingo-night/fl-1549-bingo-night-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Bingo Night,897630,6210842,6.0,0.0,26147644.82,3779022.3,19936802.82,2881392.3,,,,4.21,-7.938561246741768e-08,9.08,8.51075234343443,0.06723919215440419,0.23752971006784296,0.23752969866042234,-1.140742061922495e-08,0.11009568084017506,0.11749842547955755,0.007402744639382494,0.02737064468524275,0.010104262252467147,12.178332471304591,32.986763084197825,10.0,0.41,-0.2629472244257232,0.4073035298550789,-0.2629472244257232,0.13,0.12826911582772751,2.18487059075096,,,,,2026-06-17,,58.666666666666664,59.0,32.0,42.333333333333336,,48.0,60.0,2.0,/florida-statistics-for-each-scratcher-game
