gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,gameURL,gamePhoto,dateexported,startDate,extrachances,secondChance,lastdatetoclaim
7028,THE PERFECT GIFT,5.0,5000000,2.79,4.0,2.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=7028,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/perfect-gift/fl-7028-the-perfect-gift-open-ticket.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5061,DOUBLE YOUR MONEY,1.0,1000000,5.67,4.0,1.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5061,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/double-your-money/fl-5059-the-cash-wheel-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5060,FIND THE 7S,50.0,50000,4.07,8.0,1.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5060,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/find-the-7s/fl-5060-find-the-7s-ticket_2.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5059,THE CASH WHEEL,1.0,1000000,4.05,6.0,2.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5059,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/cash-wheel/fl-5059-the-cash-wheel-ticket.webp/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5058,MILLIONAIRE MAKER,1.0,1000000,3.99,6.0,0.0,No,https://floridalottery.com/games/scratch-offs/view?id=5058,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/millionaire-maker/fl-5058-millionaire-maker-ticket.webp/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5057,EASY MONEY,50.0,50000,4.41,8.0,4.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5057,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/easy-money/fl-5057-easy-money-ticket.webp/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5056,JEOPARDY,1.0,1000000,3.86,10.0,4.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5056,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/jeopardy/fl-5056-jeopardy-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5055,EMERALD MINE 9X,5.0,500000,4.0,10.0,1.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5055,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/emerald-mine-9x/fl-5055-emerald-mine-9x-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5054,TRIPLE GOLDEN CHERRIES,5.0,500000,3.64,10.0,3.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5054,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/triple-golden-cherries/fl-5054-triple-golden-cherries-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5048,FLORIDA 300X THE CASH,1.0,15000000,2.93,4.0,2.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5048,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/florida-x-the-cash/fl-5044-florida-10x-the-cash-ticket-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
5027,20X THE CASH,1.0,100000,4.69,20.0,7.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5027,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/x-the-cash/fl-1506-10x-the-cash-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1635,AMERICA 250 FLORIDA,1.0,1000000,4.01,4.0,3.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1635,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/find-your-own-fountain-of-youth/fl-1635-find-your-own-fountain-of-youth-ticket@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1630,"$2,000,000 FORTUNE",2.0,2000000,3.44,4.0,4.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1630,"https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/$2,000,000-fortune/fl-1630-$2000000-fortune-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg",2026-04-22,,No,No,
1629,PRECIOUS METALS GOLD MULTIPLIE,1.0,1000000,3.9,4.0,3.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1629,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/precious-metal-gold-multiplier/fl-1629-precious-metals-gold-multiplier-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1628,SILVER & GOLD CROSSWORD,500.0,500000,3.89,4.0,4.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1628,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/silver-and-gold-crossword/fl-1628-silver-and-gold-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1627,500X THE CASH,1.0,25000000,4.05,2.0,1.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1627,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/x-the-cash-2026/fl-1619-10x-the-cash-teaser@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1626,BONUS BLOWOUT,500.0,500,9.78,6116.0,3492.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1626,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/bonus-blowout/fl-1626-bonus-blowout.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1625,LUCKY CLOVERS,50.0,50000,4.2,4.0,2.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1625,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/lucky-clovers/fl-1625-lucky-clovers.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1624,FAST $50’s,50.0,5000,4.84,12.0,4.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1624,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/fast-$50/fl-1624-fast-50s.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1623,200X THE CASH,1.0,5000000,2.96,4.0,2.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1623,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/x-the-cash-2026/fl-1619-10x-the-cash-teaser@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1622,100X THE CASH,1.0,2000000,3.4,4.0,2.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1622,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/x-the-cash-2026/fl-1619-10x-the-cash-teaser@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
1621,50X THE CASH,1.0,1000000,3.81,6.0,3.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1621,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/x-the-cash-2026/fl-1619-10x-the-cash-teaser@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-04-22,,No,No,
