prizeamount,odds,remaining_raw,Winning Tickets Unclaimed,Winning Tickets At Start,odds_val,gameNumber,gameName,gamePhoto,price,overallodds,topprize,dateexported
50000.0,1-in-1772794,3 of 8,3,8,1772794.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
2000.0,1-in-236373,26 of 60,26,60,236373.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
1000.0,1-in-177279,21 of 80,21,80,177279.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
500.0,1-in-7229,"617 of 1,962",617,1962,7229.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
100.0,1-in-2406,"1,938 of 5,895",1938,5895,2406.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
50.0,1-in-750,"6,327 of 18,921",6327,18921,750.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
25.0,1-in-300,"17,885 of 47,328",17885,47328,300.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
20.0,1-in-150,"30,486 of 94,549",30486,94549,150.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
10.0,1-in-38,"123,652 of 378,161",123652,378161,38.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
5.0,1-in-30,"157,414 of 472,783",157414,472783,30.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
4.0,1-in-13,"382,726 of 1,134,588",382726,1134588,13.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
2.0,1-in-10,"499,317 of 1,418,264",499317,1418264,10.0,1591,Add It Up,http://www.flalottery.com/scratch/1591pic.jpg,2,0,"$50,000",2026-04-08
150000.0,1-in-5034675,2 of 4,2,4,5034675.0,1617,BONUS BOX BINGO,http://www.flalottery.com/scratch/1617pic.jpg,3,0,"$150,000",2026-04-08
25000.0,1-in-2517338,5 of 8,5,8,2517338.0,1617,BONUS BOX BINGO,http://www.flalottery.com/scratch/1617pic.jpg,3,0,"$150,000",2026-04-08
