price,gameName,gameNumber,gameURL,gamePhoto,topprize,topprizeremain,overallodds,startDate,endDate,lastdatetoclaim,topprizestarting,topprizeavail,extrachances,secondChance,dateexported
1,$100 LOADED,1563,https://floridalottery.com/games/scratch-offs/view?id=1563,http://www.flalottery.com/scratch/1563pic.jpg,"$5,000",0,0,,,,0,Unknown,,,2026-01-02
10,"$2,000,000 100X Cashword",1550,https://floridalottery.com/games/scratch-offs/view?id=1550,http://www.flalottery.com/scratch/1550pic.jpg,"$2,000,000",0,0,,,,0,Unknown,,,2026-01-02
5,"$25, $50, OR $100",1589,https://floridalottery.com/games/scratch-offs/view?id=1589,http://www.flalottery.com/scratch/1589pic.jpg,$100,4639,0,,,,157244,Available,,,2026-01-02
1,"$5,000 Crossword",1515,https://floridalottery.com/games/scratch-offs/view?id=1515,http://www.flalottery.com/scratch/1515pic.jpg,"$5,000",0,0,,,,0,Unknown,,,2026-01-02
10,"$50, $100 & $500 BLOWOUT",1607,https://floridalottery.com/games/scratch-offs/view?id=1607,http://www.flalottery.com/scratch/1607pic.jpg,$500,2212,0,,,,16721,Available,,,2026-01-02
1,$50 Frenzy,1536,https://floridalottery.com/games/scratch-offs/view?id=1536,http://www.flalottery.com/scratch/1536pic.jpg,$50,0,0,,,,0,Unknown,,,2026-01-02
10,$500 Cash Bonanza,5031,https://floridalottery.com/games/scratch-offs/view?id=5031,http://www.flalottery.com/scratch/5031pic.jpg,$500,0,0,,,,0,Unknown,,,2026-01-02
10,$500 Madness,1454,https://floridalottery.com/games/scratch-offs/view?id=1454,http://www.flalottery.com/scratch/1454pic.jpg,$500,0,0,,,,0,Unknown,,,2026-01-02
5,Money Match,1593,https://floridalottery.com/games/scratch-offs/view?id=1593,http://www.flalottery.com/scratch/1593pic.jpg,"$1,000,000",1,0,,,,4,Available,,,2026-01-02
3,Treasure Hunt,1592,https://floridalottery.com/games/scratch-offs/view?id=1592,http://www.flalottery.com/scratch/1592pic.jpg,"$150,000",0,0,,,,6,Top Prize Claimed,,,2026-01-02
2,2024,1548,https://floridalottery.com/games/scratch-offs/view?id=1548,http://www.flalottery.com/scratch/1548pic.jpg,"$50,000",0,0,,,,0,Unknown,,,2026-01-02
2,2025,1579,https://floridalottery.com/games/scratch-offs/view?id=1579,http://www.flalottery.com/scratch/1579pic.jpg,"$50,000",0,0,,,,0,Unknown,,,2026-01-02
1,3 Times Lucky,5022,https://floridalottery.com/games/scratch-offs/view?id=5022,http://www.flalottery.com/scratch/5022pic.jpg,"$3,000",0,0,,,,0,Unknown,,,2026-01-02
20,Ca$h Money,1594,https://floridalottery.com/games/scratch-offs/view?id=1594,http://www.flalottery.com/scratch/1594pic.jpg,"$5,000,000",1,0,,,,4,Available,,,2026-01-02
5,5 Times Lucky,1588,https://floridalottery.com/games/scratch-offs/view?id=1588,http://www.flalottery.com/scratch/1588pic.jpg,"$1,000,000",0,0,,,,0,Unknown,,,2026-01-02
2,Add It Up,1591,https://floridalottery.com/games/scratch-offs/view?id=1591,http://www.flalottery.com/scratch/1591pic.jpg,"$50,000",3,0,,,,8,Available,,,2026-01-02
2,Loteria®,1580,https://floridalottery.com/games/scratch-offs/view?id=1580,http://www.flalottery.com/scratch/1580pic.jpg,"$50,000",1,0,,,,7,Available,,,2026-01-02
