price,gameNumber,gameURL,gamePhoto,overallodds,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported,topprize,topprizeavail,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
5,7658,https://www.illinoislottery.com/games-hub/instant-tickets/7x-bingo-multiplier-2026,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7658_Logo.png,3.99,"April 7, 2026",,,,,2026-04-13,200000,,7X BINGO MULTIPLIER,2187524,2187524,5,5,8728220.76,8728220.76,6540696.76,6540696.76,1745644.152,1745644.152,0.0,3.99,-8.707387470478733e-08,6.56,6.556429089739988,0.0,0.2506265882390682,0.2506265882390682,0.0,0.15252204916924642,0.15252204916924642,0.0,0.028573864314159845,0.019963491092551168,11.66560994590078,16.696936974037197,8.0,0.46,0.0,0.46114866490533013,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7658_Logo.png,,,,2026-04-13,6,33.333333333333336,32.0,20.0,,27.583333333333332,28.229166666666668,30.0,5.0,/illinois-statistics-for-each-scratcher-game
30,7653,https://www.illinoislottery.com/games-hub/instant-tickets/blowout-x-2026,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7653_Logo.png,6.91,"April 7, 2026",,,,,2026-04-13,3000,,BLOWOUT X,502535,502535,1488,1488,3472516.85,3472516.85,2969981.85,2969981.85,2333.680678763441,2333.680678763441,0.0,6.91,-2.447792297846773e-07,6.91,6.909998308575522,0.0,0.14471783571335597,0.14471783571335597,0.0,0.14471783571335597,0.14471783571335597,0.0,0.03147055715381798,0.03147055715381798,10.591687531886837,10.591687531886837,9.0,0.65,0.0,0.6483647591544575,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7653_Logo.png,,,,2026-04-13,6,30.0,22.666666666666668,51.0,,34.583333333333336,34.5625,51.0,5.0,/illinois-statistics-for-each-scratcher-game
5,7652,https://www.illinoislottery.com/games-hub/instant-tickets/money-rush,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7652_Logo.png,5.23,"April 7, 2026",,,,,2026-04-13,400000,,MONEY RUSH,842497,842497,3,3,4406259.3100000005,4406259.3100000005,3563762.3100000005,3563762.3100000005,1468753.1033333335,1468753.1033333335,0.0,5.23,-7.035446132622068e-08,5.23,5.229999632046168,0.0,0.19120460236223064,0.19120460236223064,0.0,0.19120460236223064,0.19120460236223064,0.0,0.030101584447831464,0.030101584447831464,11.073468664119364,11.073468664119364,6.0,0.53,0.0,0.5325351959564791,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7652_Logo.png,,,,2026-04-13,6,31.0,23.333333333333332,44.0,,35.916666666666664,33.5625,47.0,13.0,/illinois-statistics-for-each-scratcher-game
20,7657,https://www.illinoislottery.com/games-hub/instant-tickets/double-the-luck,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7657_Logo.png,3.71,"April 7, 2026",,,,,2026-04-13,1800000,,DOUBLE THE LUCK,1105843,1105843,3,3,4102677.53,4102677.53,2996834.53,2996834.53,1367559.1766666665,1367559.1766666665,0.0,3.71,-1.2918392836440803e-07,5.9,5.897726831666516,0.0,0.2695418137962116,0.2695418137962116,0.0,0.16955685275735818,0.16955685275735818,0.0,0.03114895852061237,0.021591548342001863,10.701163811620631,15.437796799682369,7.0,0.51,0.0,0.5128631866461826,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7657_Logo.png,,,,2026-04-13,6,30.666666666666668,30.0,42.0,,33.75,34.10416666666667,49.0,7.0,/illinois-statistics-for-each-scratcher-game
2,7648,https://www.illinoislottery.com/games-hub/instant-tickets/rubies,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7648_Logo.png,4.49,"March 3, 2026",,,,,2026-04-13,100000,,RUBIES,1059586,1059586,2,2,4757541.140000001,4757541.140000001,3697955.1400000006,3697955.1400000006,2378770.5700000003,2378770.5700000003,0.0,4.49,-2.9426965788638425e-08,7.57,7.566412891179778,0.0,0.2227171557743801,0.2227171557743801,0.0,0.13216302287253015,0.13216302287253015,0.0,0.02953178953844733,0.01984692469680271,11.28715149800991,16.794764677032653,9.0,0.45,0.0,0.44861494625059456,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7648_Logo.png,,,,2026-04-13,41,32.0,32.666666666666664,15.0,,27.083333333333332,26.687499999999996,24.0,4.0,/illinois-statistics-for-each-scratcher-game
10,7650,https://www.illinoislottery.com/games-hub/instant-tickets/diamonds,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7650_Logo.png,3.63,"March 3, 2026",,,,,2026-04-13,1200000,,DIAMONDS,977825,977825,2,2,3549504.75,3549504.75,2571679.75,2571679.75,1774752.375,1774752.375,0.0,3.63,-2.1129708304430615e-07,7.04,7.044427773610069,0.0,0.275482151872487,0.275482151872487,0.0,0.1419561719045816,0.1419561719045816,0.0,0.04222075829195313,0.02504310528510642,7.894946833953334,13.310031819384104,9.0,0.46,0.0,0.4623761517102108,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7650_Logo.png,,,,2026-04-13,41,20.666666666666668,26.333333333333332,21.0,,24.916666666666668,23.229166666666668,12.0,2.0,/illinois-statistics-for-each-scratcher-game
1,7647,https://www.illinoislottery.com/games-hub/instant-tickets/emeralds,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7647_Logo.png,4.97,"March 3, 2026",,,,,2026-04-13,50000,,EMERALDS,1545679,1545679,3,3,7682024.63,7682024.63,6136345.63,6136345.63,2560674.8766666665,2560674.8766666665,0.0,4.97,-8.200963020682328e-08,9.03,9.028360150762095,0.0,0.20120725996169758,0.20120725996169758,0.0,0.11076208561701968,0.11076208561701968,0.0,0.03205642048446751,0.022483040314346545,10.398262995642895,14.82573178062054,11.0,0.47,0.0,0.46609344099940325,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7647_Logo.png,,,,2026-04-13,41,28.333333333333332,28.666666666666668,22.0,,28.416666666666668,26.854166666666668,26.0,4.0,/illinois-statistics-for-each-scratcher-game
5,7649,https://www.illinoislottery.com/games-hub/instant-tickets/onyx,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7649_Logo.png,4.2,"March 3, 2026",,,,,2026-04-13,600000,,ONYX,1003603,1003603,2,2,4215132.600000001,4215132.600000001,3211529.6000000006,3211529.6000000006,2107566.3000000003,2107566.3000000003,0.0,4.2,-1.4234427647168212e-07,6.86,6.8599746441143585,0.0,0.2380952719867373,0.2380952719867373,0.0,0.14577313355785773,0.14577313355785773,0.0,0.033537052291722824,0.02622166341579778,9.939157123158987,12.711872317576553,8.0,0.47,0.0,0.47420768792056806,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7649_Logo.png,,,,2026-04-13,41,26.666666666666668,26.0,27.0,,28.083333333333332,26.9375,27.0,4.0,/illinois-statistics-for-each-scratcher-game
10,7646,https://www.illinoislottery.com/games-hub/instant-tickets/gold-rush-supreme,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7646_Logo.png,3.81,"February 3, 2026",,,,,2026-04-13,100000,,GOLD RUSH SUPREME,639611,639611,13,13,2436917.91,2436917.91,1797306.9100000001,1797306.9100000001,187455.22384615385,187455.22384615385,0.0,3.81,-3.7342250889605086e-07,5.88,5.883714809985997,0.0,0.2624672896122437,0.2624672896122437,0.0,0.16996065110137112,0.16996065110137112,0.0,0.0373745408645942,0.03176152441912976,8.91860281602549,10.494612375606609,7.0,0.49,0.0,0.4878118540762775,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7646_Logo.png,,,,2026-04-13,69,23.666666666666668,21.666666666666668,36.0,,28.75,27.520833333333336,28.0,7.0,/illinois-statistics-for-each-scratcher-game
3,7644,https://www.illinoislottery.com/games-hub/instant-tickets/diamond-slingo,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7644_Logo.png,4.35,"February 3, 2026",,,,,2026-04-13,80000,,DIAMOND SLINGO,384559,384559,1,1,1672831.65,1672831.65,1288272.65,1288272.65,1672831.65,1672831.65,0.0,4.35,-3.8856271028317557e-07,6.55,6.553773403801024,0.0,0.2298851467960601,0.2298851467960601,0.0,0.15258385335996283,0.15258385335996283,0.0,0.01768679457921465,0.010109043316932227,18.845528886201038,32.96951721157454,7.0,0.44,0.0,0.4401251531087121,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7644_Logo.png,,,,2026-04-13,69,36.0,36.0,10.0,,19.75,25.4375,17.0,3.0,/illinois-statistics-for-each-scratcher-game
