price,gameNumber,gameURL,gamePhoto,overallodds,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported,gameName,topprize,topprizestarting,topprizeremain,topprizeavail
5,7658,https://www.illinoislottery.com/games-hub/instant-tickets/7x-bingo-multiplier-2026,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7658_Logo.png,3.99,"April 7, 2026",,,,,2026-04-03,7X BINGO MULTIPLIER,200000,5,5,
30,7653,https://www.illinoislottery.com/games-hub/instant-tickets/blowout-x-2026,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7653_Logo.png,6.91,"April 7, 2026",,,,,2026-04-03,BLOWOUT X,3000,1513,1513,
5,7652,https://www.illinoislottery.com/games-hub/instant-tickets/money-rush,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7652_Logo.png,5.23,"April 7, 2026",,,,,2026-04-03,MONEY RUSH,400000,3,3,
20,7657,https://www.illinoislottery.com/games-hub/instant-tickets/double-the-luck,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/april/logo-images/26-0330-02_WebApp_INT_NewTicketAssets_Apr26_TicketLogos_IL-7657_Logo.png,3.71,"April 7, 2026",,,,,2026-04-03,DOUBLE THE LUCK,1800000,3,3,
2,7648,https://www.illinoislottery.com/games-hub/instant-tickets/rubies,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7648_Logo.png,4.49,"March 3, 2026",,,,,2026-04-03,RUBIES,100000,2,2,
1,7647,https://www.illinoislottery.com/games-hub/instant-tickets/emeralds,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7647_Logo.png,4.97,"March 3, 2026",,,,,2026-04-03,EMERALDS,50000,3,3,
5,7649,https://www.illinoislottery.com/games-hub/instant-tickets/onyx,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7649_Logo.png,4.2,"March 3, 2026",,,,,2026-04-03,ONYX,600000,3,3,
10,7650,https://www.illinoislottery.com/games-hub/instant-tickets/diamonds,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/march/logos/26-0293_WebApp_INT_NewTicketAsset_Mar26_TicketLogos_IL-7650_Logo.png,3.63,"March 3, 2026",,,,,2026-04-03,DIAMONDS,1200000,2,2,
10,7646,https://www.illinoislottery.com/games-hub/instant-tickets/gold-rush-supreme,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7646_Logo.png,3.81,"February 3, 2026",,,,,2026-04-03,GOLD RUSH SUPREME,100000,14,14,
3,7644,https://www.illinoislottery.com/games-hub/instant-tickets/diamond-slingo,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7644_Logo.png,4.35,"February 3, 2026",,,,,2026-04-03,DIAMOND SLINGO,80000,1,1,
5,7645,https://www.illinoislottery.com/games-hub/instant-tickets/electric-cash,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7645_Logo.png,4.28,"February 3, 2026",,,,,2026-04-03,ELECTRIC CA$H,400000,2,2,
2,7635,https://www.illinoislottery.com/games-hub/instant-tickets/10x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7635_Logo.png,4.45,"January 6, 2026",,,,,2026-04-03,10X XTRA,50000,4,4,
5,7636,https://www.illinoislottery.com/games-hub/instant-tickets/25x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7636_Logo.png,4.28,"January 6, 2026",,,,,2026-04-03,25X XTRA,500000,2,2,
20,7638,https://www.illinoislottery.com/games-hub/instant-tickets/100x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7638_Logo.png,3.58,"January 6, 2026",,,,,2026-04-03,100X XTRA,1200000,2,2,
10,7637,https://www.illinoislottery.com/games-hub/instant-tickets/50x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7637_Logo.png,3.64,"January 6, 2026",,,,,2026-04-03,50X XTRA,600000,2,2,
1,7634,https://www.illinoislottery.com/games-hub/instant-tickets/5x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7634_Logo.png,4.97,"January 6, 2026",,,,,2026-04-03,5X XTRA,20000,3,3,
5,7641,https://www.illinoislottery.com/games-hub/instant-tickets/100000-crossword,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7641_Logo.png,3.92,"December 2, 2025",,,,,2026-04-03,"$100,000 CROSSWORD",100000,4,4,
10,7640,https://www.illinoislottery.com/games-hub/instant-tickets/250000-crossword,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7640_Logo.png,3.7,"December 2, 2025",,,,,2026-04-03,"$250,000 CROSSWORD",250000,5,5,
25,7639,https://www.illinoislottery.com/games-hub/instant-tickets/1000000-crossword-50x,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7639_Logo.png,2.97,"December 2, 2025",,,,,2026-04-03,"$1,000,000 CROSSWORD 50X",1000000,1,1,
5,7633,https://www.illinoislottery.com/games-hub/instant-tickets/emerald-7s-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7633_Logo.png,4.31,"December 2, 2025",,,,,2026-04-03,EMERALD 7S,400000,1,1,
2,7632,https://www.illinoislottery.com/games-hub/instant-tickets/monopoly,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7632_Logo.png,4.45,"December 2, 2025",,,,,2026-04-03,MONOPOLY,20000,4,4,
