gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported
7454,"$100,000,000 CA$H SPECTACULAR!",10,109108.0,109108.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",15,92050.0,92050.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",20,69123.0,69123.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",25,20021.0,20021.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",50,18555.0,18555.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",100,13052.0,13052.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",500,952.0,952.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",1000,143.0,143.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",20000,0.0,0.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",500000,1.0,1.0,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",0,804282.45,804282.45,2026-01-02
7454,"$100,000,000 CA$H SPECTACULAR!",Total,1127287.45,1127287.45,2026-01-02
7530,$40 MILLION MEGA BUCKS,10,113216.0,113216.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,20,90114.0,90114.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,25,15620.0,15620.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,40,2887.0,2887.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,50,24102.0,24102.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,100,11613.0,11613.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,200,1045.0,1045.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,500,485.0,485.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,1000,64.0,64.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,5000,6.0,6.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,50000,0.0,0.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,600000,1.0,1.0,2026-01-02
7530,$40 MILLION MEGA BUCKS,0,666023.21,666023.21,2026-01-02
7530,$40 MILLION MEGA BUCKS,Total,925176.21,925176.21,2026-01-02
7555,CASH IS KING,30,18921.0,18921.0,2026-01-02
7555,CASH IS KING,50,29056.0,29056.0,2026-01-02
7555,CASH IS KING,60,4165.0,4165.0,2026-01-02
7555,CASH IS KING,100,8337.0,8337.0,2026-01-02
7555,CASH IS KING,300,600.0,600.0,2026-01-02
7555,CASH IS KING,500,654.0,654.0,2026-01-02
7555,CASH IS KING,1000,161.0,161.0,2026-01-02
7555,CASH IS KING,5000,5.0,5.0,2026-01-02
7555,CASH IS KING,25000,2.0,2.0,2026-01-02
7555,CASH IS KING,100000,0.0,0.0,2026-01-02
7555,CASH IS KING,1800000,1.0,1.0,2026-01-02
7555,CASH IS KING,0,115756.74000000002,115756.74000000002,2026-01-02
7555,CASH IS KING,Total,177658.74000000002,177658.74000000002,2026-01-02
7556,MAXIMUM MONEY BLOWOUT,100,79262.0,79262.0,2026-01-02
7556,MAXIMUM MONEY BLOWOUT,200,39361.0,39361.0,2026-01-02
7556,MAXIMUM MONEY BLOWOUT,600,2315.0,2315.0,2026-01-02
7556,MAXIMUM MONEY BLOWOUT,2000,533.0,533.0,2026-01-02
7556,MAXIMUM MONEY BLOWOUT,0,1044650.5999999999,1044650.5999999999,2026-01-02
7556,MAXIMUM MONEY BLOWOUT,Total,1166121.5999999999,1166121.5999999999,2026-01-02
7563,"$2,000,000* CELEBRATION",20,217478.0,217478.0,2026-01-02
7563,"$2,000,000* CELEBRATION",40,85373.0,85373.0,2026-01-02
7563,"$2,000,000* CELEBRATION",50,42305.0,42305.0,2026-01-02
7563,"$2,000,000* CELEBRATION",100,52577.0,52577.0,2026-01-02
7563,"$2,000,000* CELEBRATION",200,7232.0,7232.0,2026-01-02
7563,"$2,000,000* CELEBRATION",500,3175.0,3175.0,2026-01-02
7563,"$2,000,000* CELEBRATION",1000,326.0,326.0,2026-01-02
7563,"$2,000,000* CELEBRATION",5000,11.0,11.0,2026-01-02
7563,"$2,000,000* CELEBRATION",50000,2.0,2.0,2026-01-02
7563,"$2,000,000* CELEBRATION",100000,1.0,1.0,2026-01-02
7563,"$2,000,000* CELEBRATION",1200000,1.0,1.0,2026-01-02
7563,"$2,000,000* CELEBRATION",0,882318.96,882318.96,2026-01-02
7563,"$2,000,000* CELEBRATION",Total,1290799.96,1290799.96,2026-01-02
7565,BIG BONUS BLOWOUT,50,91557.0,91557.0,2026-01-02
7565,BIG BONUS BLOWOUT,100,42851.0,42851.0,2026-01-02
7565,BIG BONUS BLOWOUT,500,1598.0,1598.0,2026-01-02
7565,BIG BONUS BLOWOUT,0,1154690.94,1154690.94,2026-01-02
7565,BIG BONUS BLOWOUT,Total,1290696.94,1290696.94,2026-01-02
7566,KING CROSSWORD,3,925146.0,925146.0,2026-01-02
7566,KING CROSSWORD,5,339983.0,339983.0,2026-01-02
7566,KING CROSSWORD,9,207175.0,207175.0,2026-01-02
7566,KING CROSSWORD,10,158025.0,158025.0,2026-01-02
7566,KING CROSSWORD,15,63802.0,63802.0,2026-01-02
7566,KING CROSSWORD,25,68608.0,68608.0,2026-01-02
7566,KING CROSSWORD,30,26088.0,26088.0,2026-01-02
7566,KING CROSSWORD,50,10293.0,10293.0,2026-01-02
7566,KING CROSSWORD,75,4341.0,4341.0,2026-01-02
7566,KING CROSSWORD,100,2548.0,2548.0,2026-01-02
7566,KING CROSSWORD,150,1552.0,1552.0,2026-01-02
7566,KING CROSSWORD,300,1004.0,1004.0,2026-01-02
7566,KING CROSSWORD,1000,58.0,58.0,2026-01-02
7566,KING CROSSWORD,3000,19.0,19.0,2026-01-02
7566,KING CROSSWORD,50000,6.0,6.0,2026-01-02
7566,KING CROSSWORD,0,4937609.04,4937609.04,2026-01-02
7566,KING CROSSWORD,Total,6746257.04,6746257.04,2026-01-02
7570,"$2,000,000 CASHFALL",20,123204.0,123204.0,2026-01-02
7570,"$2,000,000 CASHFALL",40,47542.0,47542.0,2026-01-02
7570,"$2,000,000 CASHFALL",50,23337.0,23337.0,2026-01-02
7570,"$2,000,000 CASHFALL",100,28128.0,28128.0,2026-01-02
7570,"$2,000,000 CASHFALL",200,4016.0,4016.0,2026-01-02
7570,"$2,000,000 CASHFALL",500,1692.0,1692.0,2026-01-02
7570,"$2,000,000 CASHFALL",1000,193.0,193.0,2026-01-02
7570,"$2,000,000 CASHFALL",5000,14.0,14.0,2026-01-02
7570,"$2,000,000 CASHFALL",50000,2.0,2.0,2026-01-02
7570,"$2,000,000 CASHFALL",100000,1.0,1.0,2026-01-02
7570,"$2,000,000 CASHFALL",1200000,1.0,1.0,2026-01-02
7570,"$2,000,000 CASHFALL",0,492760.80000000005,492760.80000000005,2026-01-02
7570,"$2,000,000 CASHFALL",Total,720890.8,720890.8,2026-01-02
7573,"$3,000,000 SUPER BONUS",50,116097.0,116097.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",60,38734.0,38734.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",90,38506.0,38506.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",100,91674.0,91674.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",200,3406.0,3406.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",300,1894.0,1894.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",400,1153.0,1153.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",500,3421.0,3421.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",700,872.0,872.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",1000,785.0,785.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",5000,37.0,37.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",10000,14.0,14.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",25000,3.0,3.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",100000,2.0,2.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",1800000,0.0,0.0,2026-01-02
7573,"$3,000,000 SUPER BONUS",0,863100.1799999999,863100.1799999999,2026-01-02
7573,"$3,000,000 SUPER BONUS",Total,1159698.18,1159698.18,2026-01-02
7575,"$10,000,000 BANKROLL",100,1216885.0,1216885.0,2026-01-02
7575,"$10,000,000 BANKROLL",200,22072.0,22072.0,2026-01-02
7575,"$10,000,000 BANKROLL",300,3827.0,3827.0,2026-01-02
7575,"$10,000,000 BANKROLL",400,3797.0,3797.0,2026-01-02
7575,"$10,000,000 BANKROLL",500,148055.0,148055.0,2026-01-02
7575,"$10,000,000 BANKROLL",1000,6102.0,6102.0,2026-01-02
7575,"$10,000,000 BANKROLL",5000,1253.0,1253.0,2026-01-02
7575,"$10,000,000 BANKROLL",10000,244.0,244.0,2026-01-02
7575,"$10,000,000 BANKROLL",50000,49.0,49.0,2026-01-02
7575,"$10,000,000 BANKROLL",600000,8.0,8.0,2026-01-02
7575,"$10,000,000 BANKROLL",6000000,2.0,2.0,2026-01-02
