,price,gameNumber,gameURL,gamePhoto,overallodds,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported,gameName,topprize,topprizestarting,topprizeremain,topprizeavail
0,5,7541,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/cash-eruption,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/march/24-0270_WebApp_INT_Mar24_NewTicketAssets_TicketLogos_IL-7541_Logo.png,4.98,"March 5, 2024",,,,,2024-03-20,CASH ERUPTION ,400000,3,3,
1,30,7555,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/cash-is-king,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/march/24-0270_WebApp_INT_Mar24_NewTicketAssets_TicketLogos_IL-7555_Logo.png,2.87,"March 5, 2024",,,,,2024-03-20,CASH IS KING ,1800000,3,3,
2,10,7554,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/ruby-10s,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/march/24-0270_WebApp_INT_Mar24_NewTicketAssets_TicketLogos_IL-7554_Logo.png,3.57,"March 5, 2024",,,,,2024-03-20,RUBY 10S ,600000,3,2,
3,2,7550,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/leprechaun-loot,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/february/24-0255_WebApp_INT_Feb24_NewTicketAssets_Website_TicketLogos_IL-7550_LeprechaunLoot_Logo.jpg,4.34,"February 6, 2024",,,,,2024-03-20,LEPRECHAUN LOOT ,17000,4,3,
4,3,7551,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/cash-wheel,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/february/24-0255_WebApp_INT_Feb24_NewTicketAssets_Website_TicketLogos_IL-7551_CashWheel_Logo.jpg,3.88,"February 6, 2024",,,,,2024-03-20,CASH WHEEL ,80000,3,3,
5,5,7552,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/fab-5,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/february/24-0255_WebApp_INT_Feb24_NewTicketAssets_Website_TicketLogos_IL-7552_Fab5_Logo.jpg,4.04,"February 6, 2024",,,,,2024-03-20,FAB 5 ,255555,4,3,
6,5,7523,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/200k-bingo-tripler-2024,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/january/24-0173_WebApp_INT_Jan24_NewTicketAssets_IL-7545_logo%20copy.jpg,3.9,"January 2, 2024",,,,,2024-03-20,"$200,000! BINGO TRIPLER ",200000,5,4,
7,20,7549,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/monopoly-100x-2024,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/january/24-0173_WebApp_INT_Jan24_NewTicketAssets_IL_7548_logo.jpg,3.13,"January 2, 2024",,,,,2024-03-20,MONOPOLY 100X ,1200000,3,3,
8,2,7546,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/monopoly-10x-2024,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/january/24-0173_WebApp_INT_Jan24_NewTicketAssets_IL-7546_logo.jpg,4.22,"January 2, 2024",,,,,2024-03-20,MONOPOLY 10X ,25000,7,3,
9,10,7548,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/monopoly-50x-2024,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/january/24-0173_WebApp_INT_Jan24_NewTicketAssets_IL-7548_logo.jpg,3.39,"January 2, 2024",,,,,2024-03-20,MONOPOLY 50X ,600000,3,2,
