,gameNumber,price,topprize,overallodds,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,dateexported,extrachances,secondChance,topprizeodds,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,Photo,topprizestarting,topprizeremain,topprizeodds_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Probability of Winning Profit Prize,Change in Probability of Any Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Profit Prizes Remaining,Percent of Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,402,1.0,1500.0,3.62,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=402,2026-01-30,,,0,Diamond Dash,269274,269274,https://www.kslottery.com/TicketArt/Front/KS%20Diamond%20DashF_402.jpg,29,29,33612.82344827586,974771.88,974771.88,705497.88,705497.88,33612.82344827586,0,3.62,0,9.85,9.850558632119325,0.0,0.27624309392265195,0.1015170852076693,0,0,0.062085185173525716,0.027444941123154536,256097.3286689053,98135.7430609863,14.0,0.3,0,0,0,1.0,0,0,,,,2026-01-30,348,33.5,32.333333333333336,28.0,27.0,27.333333333333332,29.633333333333336,43.0,6.0,/kansas-statistics-for-each-scratcher-game
1,404,1.0,50.0,4.06,Available,2024-11-17,,,https://www.kslottery.com/InstantGame/?gameid=404,2026-01-30,,,0,Hit $50,185662,185662,https://www.kslottery.com/TicketArt/Front/Hit50F_404.jpg,2864,2864,263.19403631284916,753787.72,753787.72,568125.72,568125.72,263.19403631284916,0,4.06,0,13.07,13.072067841287458,0.0,0.24630541871921183,0.07649899098913418,0,0,0.041613380666170055,0.03212059457957116,180123.4203512542,57242.03579806137,9.0,0.25,0,0,0,1.0,0,0,,,,2026-01-30,439,30.666666666666668,29.666666666666668,20.0,27.0,24.666666666666668,26.4,24.0,3.0,/kansas-statistics-for-each-scratcher-game
2,418,1.0,1000.0,4.19,Available,2025-02-04,,,https://www.kslottery.com/InstantGame/?gameid=418,2026-01-30,,,0,Glow Party,120083,120083,https://www.kslottery.com/TicketArt/Front/KSGlow%20PartyF_418.jpg,3,3,167715.92333333334,503147.77,503147.77,383064.77,383064.77,167715.92333333334,0,4.19,0,19.58,19.577734241245135,0.0,0.2386634844868735,0.05107843367764504,0,0,0.06115157596688531,0.010217369719464544,115045.83934301313,25659.825393518197,24.0,0.31,0,0,0,1.0,0,0,,,,2026-01-30,360,29.0,22.333333333333332,29.5,27.0,27.833333333333332,27.133333333333333,31.5,4.0,/kansas-statistics-for-each-scratcher-game
3,419,1.0,1000.0,4.19,Available,2026-01-20,,,https://www.kslottery.com/InstantGame/?gameid=419,2026-01-30,,,0,Cash Tab,449740,449740,https://www.kslottery.com/TicketArt/Front/KS%20Cash%20TabF_419.jpg,19,19,99179.5052631579,1884410.6,1884410.6,1434670.6,1434670.6,99179.5052631579,0,4.19,0,16.98,16.976366191600153,0.0,0.2386634844868735,0.05890542114335379,0,0,0.05847991502170495,0.011596975702034272,431665.69923000777,110774.98061127277,21.0,0.38,0,0,0,1.0,0,0,,,,2026-01-30,10,34.666666666666664,33.333333333333336,32.5,27.0,28.833333333333332,31.26666666666667,49.5,7.0,/kansas-statistics-for-each-scratcher-game
4,435,1.0,10000.0,4.05,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=435,2026-01-30,,,0,Hot 7S,91659,91659,https://www.kslottery.com/TicketArt/Front/Hot7sF_435.jpg,2,2,185609.475,371218.95,371218.95,279559.95,279559.95,185609.475,0,4.05,0,15.28,15.275242778372151,0.0,0.24691358024691357,0.06546540794859745,0,0,0.038670663884681176,0.024661420007952968,89106.54859939899,24184.862799370792,9.0,0.2,0,0,0,1.0,0,0,,,,2026-01-30,369,26.0,22.0,16.5,27.0,23.5,23.0,2.0,1.0,/kansas-statistics-for-each-scratcher-game
5,465,1.0,100.0,3.41,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=465,2026-01-30,,,0,Happy Holidays,266230,266230,https://www.kslottery.com/TicketArt/Front/Happy%20Holidays1F_465.jpg,866,866,1048.319053117783,907844.3,907844.3,641614.3,641614.3,1048.319053117783,0,3.41,0,10.86,10.856914098470444,0.0,0.29325513196480935,0.0921072038454171,0,0,0.053385511445002136,0.03738180169810541,254286.97348955297,82764.09656679918,8.0,0.18,0,0,0,1.0,0,0,,,,2026-01-30,137,33.0,31.333333333333332,15.5,27.0,23.166666666666668,26.0,18.5,2.0,/kansas-statistics-for-each-scratcher-game
6,476,1.0,10000.0,4.02,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=476,2026-01-30,,,0,10X,548209,548209,https://www.kslottery.com/TicketArt/Front/KS%2010XF_476.jpg,7,7,314828.5971428571,2203800.1799999997,2203800.1799999997,1655591.1799999997,1655591.1799999997,314828.5971428571,0,4.02,0,13.36,13.360008365917976,0.0,0.24875621890547267,0.0748502525306083,0,0,0.03699815445162828,0.024410003149883387,533479.3351938406,164055.763652723,9.0,0.26,0,0,0,1.0,0,0,,,,2026-01-30,4,35.333333333333336,35.0,21.5,27.0,25.166666666666668,28.8,40.0,5.0,/kansas-statistics-for-each-scratcher-game
7,386,2.0,20000.0,4.05,Available,2024-10-29,,,https://www.kslottery.com/InstantGame/?gameid=386,2026-01-30,,,0,Double Bonus Crossword,213134,213134,https://www.kslottery.com/TicketArt/Front/KSDblBonusXwordF_386.jpg,3,3,287730.89999999997,863192.7,863192.7,650058.7,650058.7,287730.89999999997,0,4.05,0,21.8,21.801649281438635,0.0,0.2469135802469136,0.0458680894775871,0,0,0.059934472758765726,0.059934472758765726,204073.9520589264,39269.138022492676,5.0,0.0,0,0,0,1.0,0,0,,,,2026-01-30,458,32.166666666666664,26.666666666666668,14.0,27.0,22.666666666666668,24.5,11.0,2.0,/kansas-statistics-for-each-scratcher-game
8,411,2.0,10000.0,4.39,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=411,2026-01-30,,,0,Double Doubler,97965,97965,https://www.kslottery.com/TicketArt/Front/KS%20Double%20DoublerF_411.jpg,4,4,107516.5875,430066.35,430066.35,332101.35,332101.35,107516.5875,0,4.39,0,10.84,10.844925105910832,0.0,0.22779043280182235,0.0922090277465326,0,0,0.03091254302514007,0.032048693341227355,95938.32733161826,39307.51776415451,6.0,0.29,0,0,0,1.0,0,0,,,,2026-01-30,348,27.333333333333332,27.0,25.0,27.0,26.333333333333332,26.53333333333333,25.0,5.0,/kansas-statistics-for-each-scratcher-game
9,416,2.0,10000.0,4.48,Available,2025-05-19,,,https://www.kslottery.com/InstantGame/?gameid=416,2026-01-30,,,0,Rooster Run,192470,192470,https://www.kslottery.com/TicketArt/Front/KSRoosterRunF_416.jpg,7,7,123180.80000000002,862265.6000000001,862265.6000000001,669795.6000000001,669795.6000000001,123180.80000000002,0,4.48,0,23.07,23.06509736785791,0.0,0.2232142857142857,0.043355550772291036,0,0,0.05848204776162195,0.05848204776162195,185216.53423995763,37101.782907382665,6.0,0.2,0,0,0,1.0,0,0,,,,2026-01-30,256,31.0,26.333333333333332,17.0,27.0,23.666666666666668,25.0,14.0,4.0,/kansas-statistics-for-each-scratcher-game
