gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto,dateexported,extrachances,secondChance,topprizeodds
402,Diamond Dash,1.0,1500.0,3.62,28,28,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=402,https://www.kslottery.com/TicketArt/Front/KS%20Diamond%20DashF_402.jpg,2026-02-07,,,0
404,Hit $50,1.0,50.0,4.06,2797,2797,Available,2024-11-17,,,https://www.kslottery.com/InstantGame/?gameid=404,https://www.kslottery.com/TicketArt/Front/Hit50F_404.jpg,2026-02-07,,,0
418,Glow Party,1.0,1000.0,4.19,3,3,Available,2025-02-04,,,https://www.kslottery.com/InstantGame/?gameid=418,https://www.kslottery.com/TicketArt/Front/KSGlow%20PartyF_418.jpg,2026-02-07,,,0
419,Cash Tab,1.0,1000.0,4.19,19,19,Available,2026-01-20,,,https://www.kslottery.com/InstantGame/?gameid=419,https://www.kslottery.com/TicketArt/Front/KS%20Cash%20TabF_419.jpg,2026-02-07,,,0
435,Hot 7S,1.0,10000.0,4.05,2,2,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=435,https://www.kslottery.com/TicketArt/Front/Hot7sF_435.jpg,2026-02-07,,,0
465,Happy Holidays,1.0,100.0,3.41,812,812,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=465,https://www.kslottery.com/TicketArt/Front/Happy%20Holidays1F_465.jpg,2026-02-07,,,0
476,10X,1.0,10000.0,4.02,7,7,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=476,https://www.kslottery.com/TicketArt/Front/KS%2010XF_476.jpg,2026-02-07,,,0
386,Double Bonus Crossword,2.0,20000.0,4.05,3,3,Available,2024-10-29,,,https://www.kslottery.com/InstantGame/?gameid=386,https://www.kslottery.com/TicketArt/Front/KSDblBonusXwordF_386.jpg,2026-02-07,,,0
411,Double Doubler,2.0,10000.0,4.39,3,3,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=411,https://www.kslottery.com/TicketArt/Front/KS%20Double%20DoublerF_411.jpg,2026-02-07,,,0
416,Rooster Run,2.0,10000.0,4.48,7,7,Available,2025-05-19,,,https://www.kslottery.com/InstantGame/?gameid=416,https://www.kslottery.com/TicketArt/Front/KSRoosterRunF_416.jpg,2026-02-07,,,0
421,That'S Wild,2.0,2500.0,3.61,6,6,Available,2025-08-13,,,https://www.kslottery.com/InstantGame/?gameid=421,https://www.kslottery.com/TicketArt/Front/ThatsWildF_421.jpg,2026-02-07,,,0
436,Burning Hot 7S,2.0,20000.0,4.0,2,2,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=436,https://www.kslottery.com/TicketArt/Front/BurningHot7sF_436.jpg,2026-02-07,,,0
458,Double Bonus Crossword,2.0,20000.0,4.05,29,29,Available,2025-12-17,,,https://www.kslottery.com/InstantGame/?gameid=458,https://www.kslottery.com/TicketArt/Front/Dbl%20Bonus%20XwordF_458.jpg,2026-02-07,,,0
466,Chillin' With My Gnomies,2.0,10000.0,3.21,7,7,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=466,https://www.kslottery.com/TicketArt/Front/Chillin%20with%20my%20GnomiesF_466.jpg,2026-02-07,,,0
477,20X,2.0,20000.0,4.0,4,4,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=477,https://www.kslottery.com/TicketArt/Front/KS%2020XF_477.jpg,2026-02-07,,,0
263,Red Hot Cash,3.0,15000.0,4.01,4,4,Available,2024-08-04,,,https://www.kslottery.com/InstantGame/?gameid=263,https://www.kslottery.com/TicketArt/Front/RedHotCashP1_263.jpg,2026-02-07,,,0
