prizeamount,Winning Tickets Unclaimed,Winning Tickets At Start,gameNumber,gameName,price,dateexported
1500.0,25,25,402,Diamond Dash,1.0,2026-02-24
100.0,116,116,402,Diamond Dash,1.0,2026-02-24
50.0,321,321,402,Diamond Dash,1.0,2026-02-24
20.0,1619,1619,402,Diamond Dash,1.0,2026-02-24
10.0,3609,3609,402,Diamond Dash,1.0,2026-02-24
5.0,18155,18155,402,Diamond Dash,1.0,2026-02-24
2.0,66500,66500,402,Diamond Dash,1.0,2026-02-24
1.0,157195,157195,402,Diamond Dash,1.0,2026-02-24
50.0,2715,2715,404,Hit $50,1.0,2026-02-24
20.0,798,798,404,Hit $50,1.0,2026-02-24
10.0,1770,1770,404,Hit $50,1.0,2026-02-24
5.0,4199,4199,404,Hit $50,1.0,2026-02-24
2.0,45152,45152,404,Hit $50,1.0,2026-02-24
1.0,73329,73329,404,Hit $50,1.0,2026-02-24
0.0,48416,48416,404,Hit $50,1.0,2026-02-24
1000.0,2,2,418,Glow Party,1.0,2026-02-24
100.0,47,47,418,Glow Party,1.0,2026-02-24
35.0,186,186,418,Glow Party,1.0,2026-02-24
25.0,390,390,418,Glow Party,1.0,2026-02-24
15.0,751,751,418,Glow Party,1.0,2026-02-24
10.0,1758,1758,418,Glow Party,1.0,2026-02-24
6.0,5455,5455,418,Glow Party,1.0,2026-02-24
5.0,11334,11334,418,Glow Party,1.0,2026-02-24
1.0,77385,77385,418,Glow Party,1.0,2026-02-24
1000.0,19,19,419,Cash Tab,1.0,2026-02-24
100.0,275,275,419,Cash Tab,1.0,2026-02-24
35.0,1239,1239,419,Cash Tab,1.0,2026-02-24
25.0,2485,2485,419,Cash Tab,1.0,2026-02-24
15.0,4846,4846,419,Cash Tab,1.0,2026-02-24
10.0,9891,9891,419,Cash Tab,1.0,2026-02-24
6.0,29327,29327,419,Cash Tab,1.0,2026-02-24
5.0,61183,61183,419,Cash Tab,1.0,2026-02-24
1.0,333884,333884,419,Cash Tab,1.0,2026-02-24
10000.0,2,2,435,Hot 7S,1.0,2026-02-24
500.0,4,4,435,Hot 7S,1.0,2026-02-24
100.0,45,45,435,Hot 7S,1.0,2026-02-24
50.0,139,139,435,Hot 7S,1.0,2026-02-24
20.0,627,627,435,Hot 7S,1.0,2026-02-24
10.0,1602,1602,435,Hot 7S,1.0,2026-02-24
5.0,5608,5608,435,Hot 7S,1.0,2026-02-24
2.0,15688,15688,435,Hot 7S,1.0,2026-02-24
1.0,40912,40912,435,Hot 7S,1.0,2026-02-24
0.0,24942,24942,435,Hot 7S,1.0,2026-02-24
1500.0,9,9,460,7-11-21,1.0,2026-02-24
100.0,1091,1091,460,7-11-21,1.0,2026-02-24
40.0,2099,2099,460,7-11-21,1.0,2026-02-24
20.0,7227,7227,460,7-11-21,1.0,2026-02-24
10.0,14454,14454,460,7-11-21,1.0,2026-02-24
5.0,21681,21681,460,7-11-21,1.0,2026-02-24
3.0,50589,50589,460,7-11-21,1.0,2026-02-24
2.0,86724,86724,460,7-11-21,1.0,2026-02-24
1.0,144540,144540,460,7-11-21,1.0,2026-02-24
0.0,216810,216810,460,7-11-21,1.0,2026-02-24
100.0,762,762,465,Happy Holidays,1.0,2026-02-24
20.0,1047,1047,465,Happy Holidays,1.0,2026-02-24
5.0,10280,10280,465,Happy Holidays,1.0,2026-02-24
2.0,63995,63995,465,Happy Holidays,1.0,2026-02-24
1.0,111192,111192,465,Happy Holidays,1.0,2026-02-24
0.0,55854,55854,465,Happy Holidays,1.0,2026-02-24
10000.0,6,6,476,10X,1.0,2026-02-24
500.0,40,40,476,10X,1.0,2026-02-24
100.0,509,509,476,10X,1.0,2026-02-24
50.0,1208,1208,476,10X,1.0,2026-02-24
20.0,5969,5969,476,10X,1.0,2026-02-24
10.0,13019,13019,476,10X,1.0,2026-02-24
5.0,37206,37206,476,10X,1.0,2026-02-24
2.0,96689,96689,476,10X,1.0,2026-02-24
1.0,222688,222688,476,10X,1.0,2026-02-24
0.0,138112,138112,476,10X,1.0,2026-02-24
20000.0,3,3,386,Double Bonus Crossword,2.0,2026-02-24
2000.0,11,11,386,Double Bonus Crossword,2.0,2026-02-24
500.0,29,29,386,Double Bonus Crossword,2.0,2026-02-24
100.0,207,207,386,Double Bonus Crossword,2.0,2026-02-24
50.0,122,122,386,Double Bonus Crossword,2.0,2026-02-24
25.0,256,256,386,Double Bonus Crossword,2.0,2026-02-24
20.0,2316,2316,386,Double Bonus Crossword,2.0,2026-02-24
15.0,241,241,386,Double Bonus Crossword,2.0,2026-02-24
10.0,9228,9228,386,Double Bonus Crossword,2.0,2026-02-24
5.0,24067,24067,386,Double Bonus Crossword,2.0,2026-02-24
0.0,167005,167005,386,Double Bonus Crossword,2.0,2026-02-24
10000.0,3,3,411,Double Doubler,2.0,2026-02-24
800.0,10,10,411,Double Doubler,2.0,2026-02-24
