,gamePrice,gameNumber,gameName,gameType,startDate,topprize,topprizeremain,prizeLevel1,level1remain,prizeLevel2,level2remain,price,gameURL,gamePhoto,topprizestarting,topprizeavail,overallodds,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
0,$1,310,10X BLITZ,S,1/30/2023,"$10,000",2,$200,127,$100,416,1 ,https://www.kslottery.com/games/instants/?gameid=310,https://www.kslottery.com/Graphics/TicketArt/Front/10XBlitzP1_310.jpg,123992.0,,4.25,,,,,2024-10-30
1,$1,388,BOBBIN FOR CASH,S,4/21/2024,"$1,000",54,$100,290,$50,512,1 ,https://www.kslottery.com/games/instants/?gameid=388,https://www.kslottery.com/Graphics/TicketArt/Front/Bobbin for CashF_388.jpg,108658.0,,3.92,,,,,2024-10-30
2,$1,428,HOLIDAY SURPRIZE,S,9/29/2024,$100,2593,$20,2852,$5,23611,1 ,https://www.kslottery.com/games/instants/?gameid=428,https://www.kslottery.com/Graphics/TicketArt/Front/KSHolidaySurprizeF_428.jpg,115859.0,,3.41,,,,,2024-10-30
4,$2,311,20X BLITZ,S,1/30/2023,"$20,000",1,$500,12,$200,241,2 ,https://www.kslottery.com/games/instants/?gameid=311,https://www.kslottery.com/Graphics/TicketArt/Front/20XBlitzP1_311.jpg,51507.0,,3.99,,,,,2024-10-30
5,$2,333,BINGO EXTRA,S,12/29/2023,"$10,000",6,$500,104,$250,80,2 ,https://www.kslottery.com/games/instants/?gameid=333,https://www.kslottery.com/Graphics/TicketArt/Front/BingoExtraP1_333.jpg,160170.0,,3.89,,,,,2024-10-30
7,$2,392,COOL CASH,S,5/19/2024,"$20,000",2,$500,27,$200,521,2 ,https://www.kslottery.com/games/instants/?gameid=392,https://www.kslottery.com/Graphics/TicketArt/Front/Cool CashF_392.jpg,130220.0,,4.22,,,,,2024-10-30
8,$2,386,DOUBLE BONUS CROSSWORD,S,10/29/2024,"$20,000",33,"$2,000",235,$500,1086,2 ,https://www.kslottery.com/games/instants/?gameid=386,https://www.kslottery.com/Graphics/TicketArt/Front/KSDblBonusXwordF_386.jpg,1327323.0,,4.05,,,,,2024-10-30
9,$2,307,DOUBLE BONUS CROSSWORD,S,11/1/2023,"$20,000",4,"$2,000",24,$500,88,2 ,https://www.kslottery.com/games/instants/?gameid=307,https://www.kslottery.com/Graphics/TicketArt/Front/Double Bonus CrosswordF_307.jpg,232237.0,,4.05,,,,,2024-10-30
10,$2,429,HAPPY HOLLY DAYS,S,9/29/2024,"$10,000",8,$500,42,$200,263,2 ,https://www.kslottery.com/games/instants/?gameid=429,https://www.kslottery.com/Graphics/TicketArt/Front/KSHappyHollyDaysF_429.jpg,152613.0,,3.21,,,,,2024-10-30
12,$3,312,30X BLITZ,S,1/30/2023,"$30,000",2,$500,303,$200,398,3 ,https://www.kslottery.com/games/instants/?gameid=312,https://www.kslottery.com/Graphics/TicketArt/Front/30XBlitzP1_312.jpg,53672.0,,3.88,,,,,2024-10-30
13,$3,245,PLAY 2,S,2/18/2024,"$15,000",5,"$1,000",8,$500,31,3 ,https://www.kslottery.com/games/instants/?gameid=245,https://www.kslottery.com/Graphics/TicketArt/Front/Play2P1_245.jpg,68074.0,,4.02,,,,,2024-10-30
