,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,Photo,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,20,939,1000000,2.74,Top Prize Claimed,,,"May 9, 2024","September 30, 2025","March 31, 2026",09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game0,"$1,000,000 Casino Nights",25853,25853,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY939CV.jpg,0,0,70837.22,70837.22,44984.22,44984.22,inf,inf,,2.74,-3.10571194082422e-06,4.4,4.400360293204125,0.0,0.3649646371246665,0.3649646371246665,0.0,0.22725411861033076,0.22725411861033076,0.0,0.062128533866772175,0.054033616524660114,5.364108098897413,6.166635981073357,6.0,0.28,0.0,0.2774256391433855,0.0,1.0,1.0,,,,,09/09/2025,488,43.666666666666664,41.0,4.0,,,29.555555555555554,2.0,1.0,/kentucky-statistics-for-each-scratcher-game
1,20,848,1000000,3.57,,,,"March 30, 2023",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game1,"$1,000,000 Luck",298059,298059,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY848CV-V7.jpg,1,1,1064070.63,1064070.63,766011.6299999999,766011.6299999999,1064070.63,1064070.63,0.0,3.57,-5.920659609018571e-07,6.83,6.829279250369039,0.0,0.2801122106628323,0.2801122106628323,0.0,0.14642833648162246,0.14642833648162246,0.0,0.03906156204634738,0.01624649952450184,8.533293926027685,20.514538832980346,8.0,0.45,0.0,0.4491328108113188,0.0,1.0,1.0,,,,,09/09/2025,894,70.33333333333333,70.0,97.0,,67.33333333333333,76.16666666666666,107.0,13.0,/kentucky-statistics-for-each-scratcher-game
2,5,935,100000,3.40,,,,"May 9, 2024",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game2,"$100,000 Casino Nights",239258,239258,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY935CV.jpg,1,1,813477.2,813477.2,574219.2,574219.2,813477.2,813477.2,0.0,3.4,-2.458581507008513e-07,6.88,6.87964717025811,0.0,0.2941177193700621,0.2941177193700621,0.0,0.14535629157308688,0.14535629157308688,0.0,0.05251559073502821,0.033529726726037275,6.347153023294716,9.940591321716802,9.0,0.38,0.0,0.3809843425198254,0.0,1.0,1.0,,,,,09/09/2025,488,49.666666666666664,54.0,44.0,,53.333333333333336,50.25,40.0,11.0,/kentucky-statistics-for-each-scratcher-game
3,10,841,200000,3.27,,,,"June 9, 2022",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game3,$1000 Loaded!,322194,322194,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY841CV-V5.jpg-resize.jpg,2,2,1053574.3800000001,1053574.3800000001,731380.3800000001,731380.3800000001,526787.1900000001,526787.1900000001,0.0,3.27,-3.606769557839506e-07,7.22,7.218732442617335,0.0,0.30581050785231984,0.30581050785231984,0.0,0.1385284754559243,0.1385284754559243,0.0,0.05655122005941068,0.02363459698909185,5.89425365085441,14.1022554997098,9.0,0.42,0.0,0.4192994512013394,0.0,1.0,1.0,,,,,09/09/2025,1188,45.333333333333336,63.0,82.0,,64.66666666666667,63.75,83.0,14.0,/kentucky-statistics-for-each-scratcher-game
4,20,974,1000,9.55,,,,"February 20, 2025","November 30, 2025","May 31, 2026",09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game4,"$100 or $1,000",9693,9693,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY974CV.jpg,493,493,92568.15000000001,92568.15000000001,82875.15000000001,82875.15000000001,187.76501014198786,187.76501014198786,0.0,9.55,-1.6204277606064837e-06,9.55,9.549984524914887,0.0,0.10471221156339124,0.10471221156339124,0.0,0.10471221156339124,0.10471221156339124,0.0,0.06651087572153735,0.06651087572153735,5.009121750996571,5.009121750996571,26.0,0.66,0.0,0.6585105003889034,0.0,1.0,1.0,,,,,09/09/2025,201,40.333333333333336,39.333333333333336,109.0,,64.5,63.29166666666667,78.0,8.0,/kentucky-statistics-for-each-scratcher-game
5,1,710,5000,4.85,,,,"June 14, 2019",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game5,$1 Break Fort Knox,1774787,1774787,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/1_BreakFortKnox_710.jpg,8,8,8607716.95,8607716.95,6832929.949999999,6832929.949999999,1075964.61875,1075964.61875,0.0,4.85,-1.1036608255020013e-07,9.2,9.199757173118893,0.0,0.2061855897662051,0.2061855897662051,0.0,0.10869852118726965,0.10869852118726965,0.0,0.03602129317702566,0.02426999828936086,9.253737607240375,13.734176509621673,12.0,0.41,0.0,0.4058306524053535,0.0,1.0,1.0,,,,,09/09/2025,2279,72.66666666666667,62.0,72.0,,65.0,67.91666666666667,96.0,5.0,/kentucky-statistics-for-each-scratcher-game
6,30,810,2000000,3.12,,,,"February 17, 2022",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game6,"$2,000,000 Diamond Dazzler",506225,506225,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY810.jpg,1,1,1579422.0,1579422.0,1073197.0,1073197.0,1579422.0,1579422.0,0.0,3.12,0.0,3.12,3.12,0.0,0.32051282051282054,0.32051282051282054,0.0,0.32051282051282054,0.32051282051282054,0.0,0.06883614250331051,0.06883614250331051,4.842371066440448,4.842371066440448,4.0,0.45,0.0,0.45096940526344453,0.0,1.0,1.0,,,,,09/09/2025,1300,39.666666666666664,39.0,98.0,,76.0,63.166666666666664,76.0,9.0,/kentucky-statistics-for-each-scratcher-game
7,10,793,200000,3.37,,,,"February 16, 2023",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game7,"$200,000 Nest Egg ®",545025,545025,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY793CV-V7.jpg,1,1,1836734.25,1836734.25,1291709.25,1291709.25,1836734.25,1836734.25,0.0,3.37,-1.3611114398445796e-07,7.74,7.736678938190273,0.0,0.2967359454335794,0.2967359454335794,0.0,0.12925442660722783,0.12925442660722783,0.0,0.0528142819406202,0.022369056807618058,6.3113510419704415,14.9006019696716,9.0,0.41,0.0,0.40812714307025405,0.0,1.0,1.0,,,,,09/09/2025,936,49.0,64.33333333333333,77.0,,66.5,64.20833333333333,86.0,16.0,/kentucky-statistics-for-each-scratcher-game
8,10,978,225000,3.25,,,,"April 3, 2025",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game8,"$225,000 PAYDAY!",163034,163034,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/$225000-gif.gif,1,1,529860.5,529860.5,366826.5,366826.5,529860.5,529860.5,0.0,3.25,-9.436446008182796e-07,6.46,6.456117264319918,0.0,0.30769259804476656,0.30769259804476656,0.0,0.1548918582267014,0.1548918582267014,0.0,0.04970864823000843,0.02667450542969714,6.705465456280904,12.494424228718803,8.0,0.41,0.0,0.4067565017174348,0.0,1.0,1.0,,,,,09/09/2025,159,57.333333333333336,60.666666666666664,75.0,,56.833333333333336,62.458333333333336,73.5,13.0,/kentucky-statistics-for-each-scratcher-game
9,2,711,15000,4.83,,,,"June 14, 2019",TBD,TBD,09/09/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game9,$2 Break Fort Knox,367637,367637,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/2_BreakFortKnox_711.jpg,2,2,1775686.71,1775686.71,1408049.71,1408049.71,887843.355,887843.355,0.0,4.83,-3.9984530836990347e-07,11.13,11.12557329390241,0.0,0.2070394202578609,0.2070394202578609,0.0,0.08988300859498807,0.08988300859498807,0.0,0.040036770390014124,0.02018083664074763,8.325491327953587,16.51561064461902,14.0,0.4,0.0,0.39882107534778105,0.0,1.0,1.0,,,,,09/09/2025,2279,69.33333333333333,66.66666666666667,60.0,,56.5,63.125,75.0,7.0,/kentucky-statistics-for-each-scratcher-game
