,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,gamePhoto,dateexported,gameURL
0,20,"$1,000,000 Casino Nights",939,1000000,2.74,0,0,Top Prize Claimed,,,"May 9, 2024","September 30, 2025","March 31, 2026",https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY939CV.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game0
1,20,"$1,000,000 Luck",848,1000000,3.57,1,1,,,,"March 30, 2023",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY848CV-V7.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game1
2,5,"$100,000 Casino Nights",935,100000,3.40,1,1,,,,"May 9, 2024",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY935CV.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game2
3,10,$1000 Loaded!,841,200000,3.27,2,2,,,,"June 9, 2022",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY841CV-V5.jpg-resize.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game3
4,20,"$100 or $1,000",974,1000,9.55,703,703,,,,"February 20, 2025",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY974CV.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game4
5,1,$1 Break Fort Knox,710,5000,4.85,8,8,,,,"June 14, 2019",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/1_BreakFortKnox_710.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game5
6,30,"$2,000,000 Diamond Dazzler",810,2000000,3.12,1,1,,,,"February 17, 2022",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY810.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game6
7,10,"$200,000 Nest Egg ®",793,200000,3.37,1,1,,,,"February 16, 2023",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY793CV-V7.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game7
8,10,"$225,000 PAYDAY!",978,225000,3.25,1,1,,,,"April 3, 2025",TBD,TBD,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/$225000-gif.gif,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game8
9,10,"$250,000 Cash Blowout",952,250000,2.99,0,0,Top Prize Claimed,,,"August 29, 2024","July 31, 2025","January 31, 2026",https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY952-CV_P1.jpg,07/01/2025,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game9
