,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,533,Deluxe Crossword Doubler,50000,1.0,1.0,2.858890864700131e-06,1.0,0.14293024878068306,0.14293024878068306,01/12/2025
1,533,Deluxe Crossword Doubler,1000,13.0,13.0,3.7165581241101705e-05,1.0,0.0369797533348962,0.0369797533348962,01/12/2025
2,533,Deluxe Crossword Doubler,500,138.0,138.0,0.00039452693932861806,1.0,0.19529083496766594,0.19529083496766594,01/12/2025
3,533,Deluxe Crossword Doubler,250,575.0,575.0,0.0016438622472025753,1.0,0.4027462505646309,0.4027462505646309,01/12/2025
4,533,Deluxe Crossword Doubler,50,4344.0,4344.0,0.01241902191625737,1.0,0.5588559862315816,0.5588559862315816,01/12/2025
5,533,Deluxe Crossword Doubler,25,4871.0,4871.0,0.013925657401954337,1.0,0.2785131480390867,0.2785131480390867,01/12/2025
6,533,Deluxe Crossword Doubler,10,27660.0,27660.0,0.07907692131760562,1.0,0.3953846065880281,0.3953846065880281,01/12/2025
7,533,Deluxe Crossword Doubler,5,50728.0,50728.0,0.14502581578450824,1.0,0.0,0.0,01/12/2025
8,533,Deluxe Crossword Doubler,0,261456.8,261456.8,0.7474764570337291,1.0,-3.7373822851686453,-3.7373822851686453,01/12/2025
9,533,Deluxe Crossword Doubler,Total,349786.8,349786.8,1.0000022871126917,1.0,,,01/12/2025
0,534,VIP Platinum,250000,1.0,1.0,2.589258203417303e-06,1.0,0.6472886582722917,0.6472886582722917,01/12/2025
1,534,VIP Platinum,2500,2.0,2.0,5.178516406834606e-06,1.0,0.012894505853018169,0.012894505853018169,01/12/2025
2,534,VIP Platinum,1000,6.0,6.0,1.553554922050382e-05,1.0,0.015380193728298781,0.015380193728298781,01/12/2025
3,534,VIP Platinum,500,256.0,256.0,0.0006628501000748296,1.0,0.3247965490366665,0.3247965490366665,01/12/2025
4,534,VIP Platinum,250,1608.0,1608.0,0.004163527191095023,1.0,0.9992465258628055,0.9992465258628055,01/12/2025
5,534,VIP Platinum,100,3869.0,3869.0,0.010017839989021546,1.0,0.9016055990119392,0.9016055990119392,01/12/2025
6,534,VIP Platinum,50,6166.0,6166.0,0.01596536608227109,1.0,0.6386146432908436,0.6386146432908436,01/12/2025
7,534,VIP Platinum,20,12342.0,12342.0,0.03195662474657635,1.0,0.3195662474657635,0.3195662474657635,01/12/2025
8,534,VIP Platinum,15,25418.0,25418.0,0.06581376501446101,1.0,0.32906882507230506,0.32906882507230506,01/12/2025
9,534,VIP Platinum,10,65619.0,65619.0,0.16990453405004,1.0,0.0,0.0,01/12/2025
