,price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,extrachances,secondChance,startDate,Days Since Start,lastdatetoclaim,topprizeodds,overallodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Photo,FAQ,About,Directory,Data Date,Stats Page,gameURL
0,20.0,"$5,000,000 100X CASHWORD",523,5000000,2,,,,2025-12-11,0,,5040000,2.85,5040000.0,0.001588730377977528,2.85,-1.987279191109393e-08,4.75,0.0,0.3508771999553657,0.0,0.21065477770244886,0.0,0.04066634091339678,0.024523558252658693,8.19676794386416,13.59228513169388,5.0,0.49,0.0,0.4888973193689872,0.0,1.0,1.0,,64.66666666666667,69.66666666666667,53.0,,59.666666666666664,61.75,47.0,4.0,//images.ctfassets.net/45roy5e8ztfd/5P7KJPaHzeLYWAskoAn2VE/86f8c402a2c9d99b955c19fccf9d9ed3/MA-382-5MM-100X-Crossword_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/523
1,20.0,"$250,000 WINTER WINNINGS",519,250000,29,,,,2025-10-14,58,,129230.77,2.94,129230.77,0.370121092606321,2.94,-1.1417674394755798e-07,5.0,0.0005076714840295842,0.34013609325740035,-1.451761816317898e-08,0.19990447211327855,0.00010148580002189433,0.04276322897714915,0.025414326299888698,7.794810276775808,13.115727879436278,6.0,0.47,0.0006218600682490006,0.4703725587582136,0.0006218600682490006,0.74,0.7415021660258485,0.9999998842837745,55.666666666666664,66.33333333333333,46.0,87.0,51.833333333333336,61.36666666666666,46.0,3.0,//images.ctfassets.net/45roy5e8ztfd/5TJres6T3vUI3HfX4bf5wp/3ac57acf84036b25b3ecb62a914b958b/MA-519-250000-Winter-Winnings_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/519
2,10.0,MERRY-MINT BLOWOUT,518,500,3917,,,,2025-10-14,58,,545.45,8.86,545.45,2.3455383915109103,8.86,-4.6466176619977196e-07,8.86,-4.051386339086115e-07,0.11286686960067518,-4.5726729361317275e-08,0.11286686960067518,-4.5726729361317275e-08,0.03949566606170525,0.03949566606170525,8.439445355757472,8.439445355757472,14.0,0.69,0.00013023980255465133,0.690035845352906,0.00013023980255465133,0.3,0.30009937850987706,0.9999998272773201,69.66666666666667,51.333333333333336,115.0,57.666666666666664,67.83333333333333,72.3,86.5,21.0,//images.ctfassets.net/45roy5e8ztfd/7zkC7ksab1zvyyFQbDNGfO/6d5537b966b462c7d419cecf3d09f84b/MA-518-Merry-Mint-Blowout_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/518
3,5.0,"$200,000 ELF CASHWORD",517,200000,3,,,,2025-10-14,58,,1008000,4.17,1008000.0,0.9355012141685858,4.17,-2.624190772489298e-07,10.38,0.009690725721685453,0.23980821640746908,-4.471195405586492e-08,0.09637247133550864,0.0009339191868334012,0.042214853476468125,0.013107921669398708,7.895948490563408,25.425620828819014,12.0,0.56,0.012120398104912201,0.5562639450174285,0.012120398104912201,0.56,0.5685220357026826,0.9999998011722997,58.0,85.66666666666667,87.0,73.66666666666667,66.33333333333333,74.13333333333334,96.0,22.0,//images.ctfassets.net/45roy5e8ztfd/7HSaE4XaWaHRndmQRrlpnM/58497452107d7f63376306a764a8863c/MA-517-200000-Elf-Cashwords_scene_1_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/517
4,5.0,"$1,000,000 WINTER WINNINGS",516,1000000,3,,,,2025-10-14,58,,2688000,4.15,2688000.0,0.5004954202698995,4.15,-1.8607333826358593e-08,7.16,0.009306777841322509,0.24096385990538172,8.95471638506784e-09,0.13972470449227564,0.001300386783654045,0.03811102560447531,0.028416154281985656,8.74631623610018,11.730233546745415,9.0,0.58,0.011299761205819572,0.5805296577646079,0.011299761205819572,0.7,0.7034246144195516,1.0000000741144541,74.0,61.0,94.0,121.33333333333333,85.0,87.06666666666666,128.0,32.0,//images.ctfassets.net/45roy5e8ztfd/8uTJcn8qnD1ADZmc3tvw5/34ca575460ea884a8e4017497006b533/MA-516-1000000-Winter-Winnings_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/516
5,2.0,"$100,000 WINTER WINNINGS ",515,100000,3,,,,2025-10-14,58,,2016000,4.59,2016000.0,0.448239448002385,4.59,-2.2269550038456647e-07,7.29,0.005312234211186916,0.2178649722648257,-3.4834500228786425e-08,0.13716872540321665,0.0007286723957918573,0.02904504321094446,0.022389342022766944,11.476282763518906,14.887649212469306,9.0,0.52,0.007055553369960344,0.5180583342612315,0.007055553369960344,0.73,0.7348513880985056,0.9999996437597712,86.33333333333333,76.0,69.0,81.0,59.0,74.26666666666667,97.0,20.0,//images.ctfassets.net/45roy5e8ztfd/5IN8KYzCMdqbDJVin7hdQI/eba3fd37048597246d02faf2bd7f8b58/MA-515-100000-Winter-Winnings_game_tile__1_.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/515
6,1.0,"$10,000 WINTER WINNINGS ",514,10000,3,,,,2025-10-14,58,,1008000,4.79,1008000.0,0.6000488903827617,4.79,-7.93674982381377e-08,7.88,0.013532217896278623,0.20876828379279844,1.4523655916809375e-08,0.1269820546103988,0.001718348831905081,0.029393531927938338,0.021859565295202908,11.340118936920632,15.248127976052018,10.0,0.48,-0.028920770227412136,0.4771871997676119,-0.028920770227412136,0.62,0.6172596989790234,1.0000001162004661,86.0,77.33333333333333,49.0,117.66666666666667,66.83333333333333,79.36666666666666,112.0,15.0,//images.ctfassets.net/45roy5e8ztfd/15QDqPMSpoUlz8wNTCsU0F/7177bed44e3ffccb86aaee050a20bdee/MA-514-10000-Winter-Winnings_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/514
7,10.0,"$2,000,000 50X CASHWORD 2025",521,2000000,5,,,,2025-10-03,69,,5040000,3.26,5040000.0,0.09389656504758263,3.26,-3.819956103309337e-08,5.36,0.00015610230696549036,0.30674847797532595,-6.844522726368041e-09,0.1866180160510221,2.9131502826906797e-05,0.03749121555740395,0.026358961510128186,8.890960428594136,12.645883363033084,6.0,0.53,0.0015117151670673511,0.5314295365876495,0.0015117151670673511,0.93,0.9291765044026918,0.9999997600058491,74.66666666666667,65.33333333333333,78.0,87.0,65.5,74.1,95.0,25.0,//images.ctfassets.net/45roy5e8ztfd/2KzRtqkyuM6kTrnvp0B1IU/2059243a2db443a32baab2a31ced8d4e/MA521-50x-Cashword-Scene-2_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/521
8,10.0,$500 MANIA,513,500,26992,,,,2025-09-09,93,,223.95,3.46,223.95,0.4934291272319972,3.46,-5.926311875405427e-08,5.92,0.0017716528223742725,0.28901735816853247,6.42179753818084e-09,0.16884639723017336,0.0002991371962005607,0.044362111559779066,0.03016093140756236,7.513887301925361,11.051705835726754,7.0,0.51,-0.00038834548657695306,0.5100128337583817,-0.00038834548657695306,0.67,0.6667093225725083,1.000000044885219,52.333333333333336,57.666666666666664,65.0,118.0,68.5,72.3,86.5,21.0,//images.ctfassets.net/45roy5e8ztfd/7LUDkdyDD0Sow3EyXXvOtN/0b42de0d9b0495255746090d4e9402a5/MA-513-500-Mania_game_tile.png,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/513
9,5.0,"$200,000 HALLOWEEN",512,200000,2,,,,2025-09-09,93,,1008000,4.14,1008000.0,2.8514847607484795,4.14,-3.6298702315523064e-07,6.99,0.035617658951678455,0.24154598139786354,-8.048989152964481e-08,0.1431239247699569,0.005097739140282026,0.04240422424951697,0.03509213447857793,7.860607693066074,9.498202588772797,9.0,0.54,0.004884509437616121,0.536222774769336,0.004884509437616121,0.28,0.27911474780814544,0.9999998831541094,56.666666666666664,53.333333333333336,80.0,58.333333333333336,66.5,62.966666666666676,51.0,14.0,//images.ctfassets.net/45roy5e8ztfd/2hIs94csneom0wqsMAEV4W/03f7003a94baf56f2103ebf467e14e48/MA512_gametile_394x233_v2.jpg,,,,2025-12-11,/arizona-statistics-for-each-scratcher-game,https://www.masslottery.com/games/scratch/512
