,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,20,783,1000000,3.15,,,,01/09/2026,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_783,100X the Cash,697738,692513,7,7,2197874.6999999997,2181415.9499999997,1500136.6999999997,1488902.9499999997,311630.85,311630.85,0.0,3.15,-4.35496953208431e-07,5.19,5.192936445493487,0.00012976156591513219,0.3174604557133787,0.3174604185681254,-3.714525331766083e-08,0.1925442889133888,0.1925692737618262,2.4984848437409335e-05,0.04553043759986223,0.03428759143354833,7.321032412784037,9.721464946874056,6.0,0.46,0.0001327156977189614,0.455425606773585,0.0001327156977189614,0.99,0.9945361627423444,0.9999844922571877,https://www.mdlottery.com/wp-content/uploads/2025/12/100X-The-Cash_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,2,37.666666666666664,37.666666666666664,68.0,59.666666666666664,47.0,49.99999999999999,62.0,8.0,/maryland-statistics-for-each-scratcher-game
1,10,782,100000,3.29,,,,01/09/2026,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_782,50X the Cash,960685,947854,9,9,3160653.65,3118439.66,2199968.65,2170585.66,346493.29555555555,346493.29555555555,0.0,3.29,-2.1164430680822204e-07,5.43,5.428427403772664,-7.914479209094782e-05,0.30395143211074516,0.30395143028988,-1.820865180857112e-09,0.1842299945581748,0.18421541371355857,-1.4580844616224331e-05,0.04093262242650176,0.02872527800495694,8.143393942850256,11.603946900450326,6.0,0.45,7.071968168874737e-05,0.44528095627331493,7.071968168874737e-05,0.99,0.987513059483956,0.9999995574581415,https://www.mdlottery.com/wp-content/uploads/2025/12/50X-The-Cash_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,2,42.666666666666664,43.666666666666664,53.0,61.666666666666664,48.333333333333336,49.86666666666666,60.0,12.0,/maryland-statistics-for-each-scratcher-game
2,5,781,50000,3.76,,,,01/09/2026,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_781,20X the Cash,1096785,1081151,7,7,4123911.5999999996,4065127.76,3027126.5999999996,2983976.76,580732.5371428571,580732.5371428571,0.0,3.76,-1.86955993712217e-07,6.7,6.694780263933285,0.00018189488297416965,0.2659574965308587,0.2659574855034456,-1.1027413093778193e-08,0.14934293565736076,0.14937010037316517,2.7164715804411932e-05,0.03837651541628723,0.0243323983437719,8.68579785761518,13.698847402237968,8.0,0.45,7.447833658263412e-05,0.4543147114468994,7.447833658263412e-05,0.99,0.9902298080988065,0.9999971326783891,https://www.mdlottery.com/wp-content/uploads/2025/12/20X-The-Cash_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,2,48.333333333333336,53.666666666666664,65.0,59.0,53.333333333333336,55.86666666666666,80.0,18.0,/maryland-statistics-for-each-scratcher-game
3,2,780,10000,3.91,,,,01/09/2026,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_780,10X the Cash,808930,802908,7,7,3162916.3000000003,3139370.2800000003,2353986.3000000003,2336462.2800000003,448481.4685714286,448481.4685714286,0.0,3.91,-8.918986140714967e-08,6.22,6.223860273282539,9.480785080681888e-05,0.2557544985140331,0.255754499961428,1.4473949261351038e-09,0.16065675597333223,0.16067198749508366,1.5231521751424282e-05,0.03563931645387647,0.02793517395569174,9.35285756266151,11.932105663856664,8.0,0.38,-0.00020782041687271034,0.3849374237506251,-0.00020782041687271034,0.99,0.9940927872600417,1.000000754551918,https://www.mdlottery.com/wp-content/uploads/2025/12/10X-The-Cash_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,2,58.333333333333336,46.0,23.0,88.33333333333333,43.0,51.733333333333334,72.0,8.0,/maryland-statistics-for-each-scratcher-game
4,1,779,1000,4.58,,,,01/09/2026,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_779,5X the Cash,900087,894603,31,29,4122398.46,4097281.74,3222311.46,3202678.74,141285.57724137933,141285.57724137933,0.0,4.58,-1.8060754599777854e-07,8.1,8.102929903253832,8.555397429126413e-05,0.2183406507876809,0.21834063571736645,-1.5070314440812638e-08,0.12340159242190125,0.12341214991856682,1.0557496665564159e-05,0.0360303432734161,0.026799055775622915,9.251365819663407,12.4379431940344,10.0,0.38,-0.0012172409674404488,0.38127382525142894,-0.0012172409674404488,0.99,0.9871814556471341,0.9999887405875406,https://www.mdlottery.com/wp-content/uploads/2025/12/5X_TheCash_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,2,56.333333333333336,48.0,22.0,57.666666666666664,38.333333333333336,44.46666666666667,40.0,8.0,/maryland-statistics-for-each-scratcher-game
5,30,777,2000000,2.84,,,,12/05/2025,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_777,200X the Cash,761861,674276,5,4,2163685.2399999998,1914943.8399999999,1401824.2399999998,1240667.8399999999,478735.95999999996,478735.95999999996,0.0,2.84,-4.3865516180284483e-07,4.65,4.64907681762609,0.0002731389283707084,0.3521128305124487,0.35211271511333675,-1.153991119329234e-07,0.21503773219359532,0.21509646736932594,5.87351757306287e-05,0.04744737886325322,0.03394448853028922,7.025253414060445,9.819720339290182,6.0,0.42,-0.0010819552032810954,0.42088929017730553,-0.0010819552032810954,0.88,0.8832999418794835,0.9999974769405253,https://www.mdlottery.com/wp-content/uploads/2025/12/200X-The-Cash_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,37,35.666666666666664,38.0,35.0,57.333333333333336,32.5,39.7,24.0,1.0,/maryland-statistics-for-each-scratcher-game
6,10,776,100000,3.44,,,,12/05/2025,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_776,Red 5's Doubler,919330,695197,9,6,3162495.1999999997,2391477.68,2243165.1999999997,1696280.6800000002,398579.61333333334,398579.61333333334,0.0,3.44,-2.843430258689577e-07,5.38,5.370583590187737,0.0013713865707469044,0.29069775707648454,0.2906976928026764,-6.427380816464989e-08,0.1859445020796771,0.1861995038727334,0.000255001793056292,0.03824682191685577,0.029589230929845167,8.71521182295174,11.26507443979457,6.0,0.45,-0.0011747296764961774,0.45406478924948895,-0.0011747296764961774,0.75,0.7511538849775921,0.9999993142052769,https://www.mdlottery.com/wp-content/uploads/2025/12/Red_5s_Doubler_Simplified_Website_Front_RGB.jpg,,,, 01/11/2026,37,49.0,41.333333333333336,64.0,55.333333333333336,48.666666666666664,51.66666666666667,71.0,15.0,/maryland-statistics-for-each-scratcher-game
7,5,775,50000,3.88,,,,12/05/2025,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_775,Money Maker,1062581,815673,8,6,4122814.28,3164811.2399999998,3060233.28,2349138.2399999998,527468.5399999999,527468.5399999999,0.0,3.88,-7.583390662274591e-08,6.8,6.772200366303375,0.0038426481112250176,0.2577319783077094,0.25773197626669553,-2.041013857922991e-09,0.14709725162102888,0.14766249459713682,0.0005652429761079381,0.0364373698518209,0.02336122839368303,9.148014696358386,14.268218749317676,8.0,0.46,-0.0012418250539120326,0.4602037846809809,-0.0012418250539120326,0.78,0.7792046592134081,0.999999973838746,https://www.mdlottery.com/wp-content/uploads/2025/12/Money-Maker_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,37,55.333333333333336,56.0,72.0,76.0,62.833333333333336,64.43333333333334,89.0,22.0,/maryland-statistics-for-each-scratcher-game
8,2,774,10000,3.83,,,,12/05/2025,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_774,Harlem Globetrotters®,824878,703356,6,5,3159282.74,2693853.48,2334404.74,1990497.48,538770.696,538770.696,0.0,3.83,-1.78183410353133e-07,6.22,6.208938973484163,0.0019511321245546443,0.26109665226721723,0.2610966669008971,1.4633679878972572e-08,0.1607444801182544,0.16105811383725796,0.00031363371900355874,0.035890450881335585,0.026717062840189622,9.287398839497476,12.476061888106587,7.0,0.38,-0.0037760973829043883,0.37749294412130135,-0.0037760973829043883,0.85,0.8543666678202595,1.0000003243938975,https://www.mdlottery.com/wp-content/uploads/2025/12/Harlem-Globetrotters_GOLD_FRONT_Simplified_576w_RGB.jpg,,,, 01/11/2026,37,56.666666666666664,48.666666666666664,21.0,84.33333333333333,43.5,50.83333333333333,67.0,7.0,/maryland-statistics-for-each-scratcher-game
9,20,772,500000,2.83,,,,10/17/2025,,, 01/11/2026,https://www.mdlottery.com/games/scratch-offs/#prize_details_772,Gifts of Green,722879,466418,7,6,2045747.57,1319962.94,1322868.57,853544.94,219993.82333333333,219993.82333333333,0.0,2.83,-7.121412059973108e-07,3.89,3.887301810498153,0.001387181928921093,0.3533571420995453,0.3533569889140739,-1.5318547136322636e-07,0.2568914862700593,0.2572478414975068,0.00035635522744748016,0.04474989666527161,0.04146164321527272,7.448687814828959,8.039368547142393,5.0,0.45,0.0034531570783326326,0.45230961194337416,0.0034531570783326326,0.68,0.6786930443946606,0.9999992115805458,https://www.mdlottery.com/wp-content/uploads/2025/10/Gifts_of_Green_Simplified_Website_Front_Green_RGB.jpg,,,, 01/11/2026,86,39.333333333333336,32.0,63.0,52.666666666666664,40.0,45.4,42.0,4.0,/maryland-statistics-for-each-scratcher-game
