,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,1,Lucky 13,778,1313,4.45,12,12,,,,04/14/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_778
0,10,More Money,739,150000,3.50,5,5,,,,03/24/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_739
0,10,Bingo X10,738,100000,3.24,6,6,,,,03/24/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_738
0,5,Mosaic Money,737,50000,3.76,8,7,,,,03/24/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_737
0,2,Back to the Future™,736,10000,4.20,7,5,,,,03/24/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_736
0,50,"$5,000,000 Fortune",734,5000000,2.55,3,3,,,,02/10/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_734
0,20,Bonus Bingo X20,726,500000,2.96,5,4,,,,02/10/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_726
0,10,Money Bags,733,250000,3.50,5,5,,,,02/10/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_733
0,5,Big Money,732,50000,3.83,7,5,,,,02/10/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_732
0,3,Bonus Crossword,731,30000,3.69,8,7,,,,02/10/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_731
0,20,MONOPOLY™ X100,730,1000000,3.12,6,5,,,,01/13/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_730
0,10,MONOPOLY™ X50,729,100000,3.29,10,5,,,,01/13/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_729
0,5,MONOPOLY™ X20,728,50000,3.77,8,4,,,,01/13/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_728
0,2,MONOPOLY™ X10,727,10000,4.12,6,4,,,,01/13/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_727
0,1,MONOPOLY™ X5,722,1000,4.59,34,18,,,,01/13/2025,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_722
0,30,MONOPOLY™ X200,724,2000000,2.83,4,3,,,,11/27/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_724
0,10,Mega Bucks,723,100000,3.36,9,6,,,,11/27/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_723
0,5,Cash to Go,720,50000,3.99,7,3,,,,11/27/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_720
