,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported
0,708,"$100,000 Crossword",100000,10,10, 06/27/2024
1,708,"$100,000 Crossword",10000,15,14, 06/27/2024
2,708,"$100,000 Crossword",1000,40,39, 06/27/2024
3,708,"$100,000 Crossword",500,662,654, 06/27/2024
4,708,"$100,000 Crossword",100,9347,9199, 06/27/2024
5,708,"$100,000 Crossword",50,218512,215593, 06/27/2024
6,708,"$100,000 Crossword",20,259345,255983, 06/27/2024
7,708,"$100,000 Crossword",10,562943,555645, 06/27/2024
0,698,"Win $50, $100 or $200",200,23419,22067, 06/27/2024
1,698,"Win $50, $100 or $200",100,106850,100465, 06/27/2024
2,698,"Win $50, $100 or $200",50,330463,310875, 06/27/2024
0,697,Lots of Cash,50000,8,8, 06/27/2024
1,697,Lots of Cash,5000,14,13, 06/27/2024
2,697,Lots of Cash,1000,24,23, 06/27/2024
3,697,Lots of Cash,500,977,906, 06/27/2024
4,697,Lots of Cash,250,2064,1909, 06/27/2024
5,697,Lots of Cash,100,4454,4140, 06/27/2024
6,697,Lots of Cash,50,70502,65261, 06/27/2024
7,697,Lots of Cash,25,75643,70048, 06/27/2024
8,697,Lots of Cash,15,157322,145787, 06/27/2024
9,697,Lots of Cash,10,287021,266261, 06/27/2024
10,697,Lots of Cash,5,453962,421854, 06/27/2024
0,696,Diamond Bingo,30000,7,7, 06/27/2024
1,696,Diamond Bingo,1000,126,124, 06/27/2024
2,696,Diamond Bingo,500,625,611, 06/27/2024
3,696,Diamond Bingo,100,4322,4230, 06/27/2024
4,696,Diamond Bingo,50,7254,7073, 06/27/2024
5,696,Diamond Bingo,30,37579,36734, 06/27/2024
6,696,Diamond Bingo,15,112737,110317, 06/27/2024
7,696,Diamond Bingo,5,445448,436203, 06/27/2024
8,696,Diamond Bingo,3,375786,368188, 06/27/2024
0,695,Gold Rush 777,1000000,4,3, 06/27/2024
1,695,Gold Rush 777,50000,6,4, 06/27/2024
2,695,Gold Rush 777,10000,91,77, 06/27/2024
3,695,Gold Rush 777,5000,165,139, 06/27/2024
4,695,Gold Rush 777,1000,1251,1079, 06/27/2024
5,695,Gold Rush 777,500,5112,4349, 06/27/2024
6,695,Gold Rush 777,100,46631,39536, 06/27/2024
7,695,Gold Rush 777,50,138767,117741, 06/27/2024
8,695,Gold Rush 777,30,123270,104873, 06/27/2024
9,695,Gold Rush 777,25,148847,126634, 06/27/2024
10,695,Gold Rush 777,20,261919,222722, 06/27/2024
0,694,Gold Rush 7s Multiplier,100000,8,7, 06/27/2024
1,694,Gold Rush 7s Multiplier,10000,32,26, 06/27/2024
2,694,Gold Rush 7s Multiplier,1000,53,43, 06/27/2024
3,694,Gold Rush 7s Multiplier,500,1730,1398, 06/27/2024
4,694,Gold Rush 7s Multiplier,200,3445,2756, 06/27/2024
5,694,Gold Rush 7s Multiplier,100,16649,13258, 06/27/2024
6,694,Gold Rush 7s Multiplier,50,192564,153619, 06/27/2024
7,694,Gold Rush 7s Multiplier,20,155538,124357, 06/27/2024
8,694,Gold Rush 7s Multiplier,15,210894,169159, 06/27/2024
9,694,Gold Rush 7s Multiplier,10,343070,275132, 06/27/2024
0,693,Gold Rush 7s Tripler,50000,8,6, 06/27/2024
1,693,Gold Rush 7s Tripler,5000,10,7, 06/27/2024
2,693,Gold Rush 7s Tripler,1000,22,16, 06/27/2024
3,693,Gold Rush 7s Tripler,500,1064,831, 06/27/2024
4,693,Gold Rush 7s Tripler,100,5119,3923, 06/27/2024
5,693,Gold Rush 7s Tripler,75,6379,4895, 06/27/2024
6,693,Gold Rush 7s Tripler,50,76365,59040, 06/27/2024
7,693,Gold Rush 7s Tripler,25,70512,54553, 06/27/2024
8,693,Gold Rush 7s Tripler,15,152814,118432, 06/27/2024
9,693,Gold Rush 7s Tripler,10,275046,213628, 06/27/2024
10,693,Gold Rush 7s Tripler,5,447298,348975, 06/27/2024
0,692,Gold Rush 7s Doubler,10000,6,6, 06/27/2024
1,692,Gold Rush 7s Doubler,5000,5,5, 06/27/2024
2,692,Gold Rush 7s Doubler,1000,11,7, 06/27/2024
3,692,Gold Rush 7s Doubler,500,240,203, 06/27/2024
4,692,Gold Rush 7s Doubler,100,1490,1210, 06/27/2024
5,692,Gold Rush 7s Doubler,50,3998,3232, 06/27/2024
6,692,Gold Rush 7s Doubler,20,47433,38556, 06/27/2024
7,692,Gold Rush 7s Doubler,10,57921,47234, 06/27/2024
8,692,Gold Rush 7s Doubler,5,94919,77996, 06/27/2024
9,692,Gold Rush 7s Doubler,4,195326,160396, 06/27/2024
10,692,Gold Rush 7s Doubler,2,351424,290073, 06/27/2024
0,691,Gold Rush 7s,1000,24,20, 06/27/2024
1,691,Gold Rush 7s,500,57,45, 06/27/2024
2,691,Gold Rush 7s,200,86,68, 06/27/2024
3,691,Gold Rush 7s,100,230,183, 06/27/2024
4,691,Gold Rush 7s,50,1096,868, 06/27/2024
5,691,Gold Rush 7s,20,8704,6825, 06/27/2024
6,691,Gold Rush 7s,10,34190,26968, 06/27/2024
7,691,Gold Rush 7s,5,102307,81223, 06/27/2024
