,price,gameName,gameNumber,topprize,topprizeremain,startDate,overallodds,gameURL,gamePhoto
0,10,More Money,739,150000,5,03/24/2025,3.50,https://www.mdlottery.com/games/scratch-offs/#prize_details_739,https://www.mdlottery.com/wp-content/uploads/2025/03/More-Money_FRONT_Simplified_576w_RGB.jpg
1,10,Bingo X10,738,100000,6,03/24/2025,3.24,https://www.mdlottery.com/games/scratch-offs/#prize_details_738,https://www.mdlottery.com/wp-content/uploads/2025/03/BingoX10-8thEd_FRONT_Simplified_576w_RGB.jpg
2,5,Mosaic Money,737,50000,8,03/24/2025,3.76,https://www.mdlottery.com/games/scratch-offs/#prize_details_737,https://www.mdlottery.com/wp-content/uploads/2025/03/Mosaic-Money_FRONT_Simplified_576w_RGB.jpg
3,2,Back to the Future™,736,10000,7,03/24/2025,4.20,https://www.mdlottery.com/games/scratch-offs/#prize_details_736,https://www.mdlottery.com/wp-content/uploads/2025/03/Back-To-The-Future_FRONT_Simplified_576w_RGB.jpg
4,50,"$5,000,000 Fortune",734,5000000,3,02/10/2025,2.55,https://www.mdlottery.com/games/scratch-offs/#prize_details_734,https://www.mdlottery.com/wp-content/uploads/2025/02/5-MIllionFortune_FRONT_Simplified_576w_RGB.jpg
5,20,Bonus Bingo X20,726,500000,5,02/10/2025,2.96,https://www.mdlottery.com/games/scratch-offs/#prize_details_726,https://www.mdlottery.com/wp-content/uploads/2025/02/Bonus-Bingo-X20-2ndEd_FRONT_Simplified_576w_RGB.jpg
6,10,Money Bags,733,250000,5,02/10/2025,3.50,https://www.mdlottery.com/games/scratch-offs/#prize_details_733,https://www.mdlottery.com/wp-content/uploads/2025/02/Money-Bags_FRONT_Simplified_576w_RGB.jpg
7,5,Big Money,732,50000,6,02/10/2025,3.83,https://www.mdlottery.com/games/scratch-offs/#prize_details_732,https://www.mdlottery.com/wp-content/uploads/2025/02/Big-Money_FRONT_Simplified_576w_RGB.jpg
8,3,Bonus Crossword,731,30000,8,02/10/2025,3.69,https://www.mdlottery.com/games/scratch-offs/#prize_details_731,https://www.mdlottery.com/wp-content/uploads/2025/02/Bonus-Crossword-7thEd_FRONT_Simplified_576w_RGB.jpg
9,20,MONOPOLY™ X100,730,1000000,5,01/13/2025,3.12,https://www.mdlottery.com/games/scratch-offs/#prize_details_730,https://www.mdlottery.com/wp-content/uploads/2025/01/MONOPOLY-X100_FRONT_Simplified_576w_RGB.jpg
10,10,MONOPOLY™ X50,729,100000,5,01/13/2025,3.29,https://www.mdlottery.com/games/scratch-offs/#prize_details_729,https://www.mdlottery.com/wp-content/uploads/2025/01/MONOPOLY-X50_FRONT_Simplified_576w_RGB.jpg
11,5,MONOPOLY™ X20,728,50000,4,01/13/2025,3.77,https://www.mdlottery.com/games/scratch-offs/#prize_details_728,https://www.mdlottery.com/wp-content/uploads/2025/01/MONOPOLY-X20_FRONT_Simplified_576w_RGB.jpg
12,2,MONOPOLY™ X10,727,10000,4,01/13/2025,4.12,https://www.mdlottery.com/games/scratch-offs/#prize_details_727,https://www.mdlottery.com/wp-content/uploads/2025/01/MONOPOLY-X10_FRONT_Simplified_576w_RGB.jpg
13,1,MONOPOLY™ X5,722,1000,22,01/13/2025,4.59,https://www.mdlottery.com/games/scratch-offs/#prize_details_722,https://www.mdlottery.com/wp-content/uploads/2025/01/MONOPOLY-X5_FRONT_Simplified_576w_RGB.jpg
14,30,MONOPOLY™ X200,724,2000000,3,11/27/2024,2.83,https://www.mdlottery.com/games/scratch-offs/#prize_details_724,https://www.mdlottery.com/wp-content/uploads/2024/11/Monopoly-X200_FRONT_Simplified_576w_RGB.jpg
15,10,Mega Bucks,723,100000,6,11/27/2024,3.36,https://www.mdlottery.com/games/scratch-offs/#prize_details_723,https://www.mdlottery.com/wp-content/uploads/2024/11/Mega-Bucks_FRONT_Simplified_576w_RGB.jpg
16,5,Cash to Go,720,50000,3,11/27/2024,3.99,https://www.mdlottery.com/games/scratch-offs/#prize_details_720,https://www.mdlottery.com/wp-content/uploads/2024/11/Cash-To-Go_FRONT_Simplified_576w_RGB.jpg
17,2,MAGIC 8 BALL™,719,8888,3,11/27/2024,4.10,https://www.mdlottery.com/games/scratch-offs/#prize_details_719,https://www.mdlottery.com/wp-content/uploads/2024/11/Magic8Ball_Simplified_Website_Front_RGB.jpg
18,1,Snowflake Cash,752,500,4,11/18/2024,4.35,https://www.mdlottery.com/games/scratch-offs/#prize_details_752,https://www.mdlottery.com/wp-content/uploads/2024/11/Snowflake_Cash_Peng_Simplified_Website_Front_RGB.jpg
19,20,"Win $100, $200 or $500",718,500,9598,10/21/2024,8.84,https://www.mdlottery.com/games/scratch-offs/#prize_details_718,https://www.mdlottery.com/wp-content/uploads/2024/10/Win-100-200-or-500-3rdEd-Dollars_FRONT_Simplified_576w_RGB.jpg
20,10,Snowflake Tripler,717,100000,2,10/21/2024,3.35,https://www.mdlottery.com/games/scratch-offs/#prize_details_717,https://www.mdlottery.com/wp-content/uploads/2024/10/Snowflake-Tripler-PURPLE_FRONT_Simplified_576w_RGB.jpg
21,5,Holiday Luck Doubler,716,50000,3,10/21/2024,3.92,https://www.mdlottery.com/games/scratch-offs/#prize_details_716,https://www.mdlottery.com/wp-content/uploads/2024/10/Holiday-Luck-Doubler-GREEN_FRONT_Simplified_576w_RGB.jpg
22,2,It's Gold Outside,714,10000,4,10/21/2024,3.96,https://www.mdlottery.com/games/scratch-offs/#prize_details_714,https://www.mdlottery.com/wp-content/uploads/2024/10/Its-Gold-Outside_FRONT_Simplified_576w_RGB.jpg
23,3,Peppermint Payout,715,30000,4,10/21/2024,3.99,https://www.mdlottery.com/games/scratch-offs/#prize_details_715,https://www.mdlottery.com/wp-content/uploads/2024/10/Peppermint-Payout_FRONT_Simplified_576w_RGB.jpg
24,1,Gift Tag Cash,713,500,9,10/21/2024,4.35,https://www.mdlottery.com/games/scratch-offs/#prize_details_713,https://www.mdlottery.com/wp-content/uploads/2024/10/Gift-Tag-Cash_BLUE_FRONT_Simplified_576w_RGB.jpg
25,30,"$5,000 Large",712,5000,884,09/23/2024,2.64,https://www.mdlottery.com/games/scratch-offs/#prize_details_712,https://www.mdlottery.com/wp-content/uploads/2024/09/5000-Large_FRONT_Simplified_576w_RGB.jpg
26,10,"$2,000 Large",711,2000,1047,09/23/2024,3.32,https://www.mdlottery.com/games/scratch-offs/#prize_details_711,https://www.mdlottery.com/wp-content/uploads/2024/09/2000-Large_FRONT_Simplified_576w_RGB.jpg
27,5,Deluxe Crossword,710,50000,3,09/23/2024,3.47,https://www.mdlottery.com/games/scratch-offs/#prize_details_710,https://www.mdlottery.com/wp-content/uploads/2024/09/Deluxe-Xword-9thEd_FRONT_Simplified_576w_RGB.jpg
28,5,GAME OF THRONES™,709,50000,2,09/23/2024,3.64,https://www.mdlottery.com/games/scratch-offs/#prize_details_709,https://www.mdlottery.com/wp-content/uploads/2024/09/Game-Of-Thrones_FRONT_Simplified_576w_RGB.jpg
29,10,Ravens X10,706,200000,5,08/16/2024,3.28,https://www.mdlottery.com/games/scratch-offs/#prize_details_706,https://www.mdlottery.com/wp-content/uploads/2024/08/RavensX10_Simplified_Website_Front.jpg
30,5,Ca$h Plu$,707,50000,3,08/19/2024,3.92,https://www.mdlottery.com/games/scratch-offs/#prize_details_707,https://www.mdlottery.com/wp-content/uploads/2024/08/Cash-Plus_FRONT_Simplified_576w_RGB.jpg
31,2,Ravens X2,705,20000,2,08/16/2024,4.04,https://www.mdlottery.com/games/scratch-offs/#prize_details_705,https://www.mdlottery.com/wp-content/uploads/2024/08/RavensX2_Simplified_Website_Front.jpg
32,20,Millionaire's Club,704,1000000,1,07/22/2024,3.11,https://www.mdlottery.com/games/scratch-offs/#prize_details_704,https://www.mdlottery.com/wp-content/uploads/2024/07/MillionairesClub_FRONT_Simplified_576w_RGB.jpg
33,10,Money Rush,703,100000,5,07/22/2024,3.50,https://www.mdlottery.com/games/scratch-offs/#prize_details_703,https://www.mdlottery.com/wp-content/uploads/2024/07/Money-Rush_FRONT_Simplified_576w_RGB.jpg
34,5,Gold Bar Bingo,702,50000,3,07/22/2024,3.83,https://www.mdlottery.com/games/scratch-offs/#prize_details_702,https://www.mdlottery.com/wp-content/uploads/2024/07/GoldBarBingo_Website_Front_RGB.jpg
35,5,Joker's Wild,701,50000,1,07/22/2024,3.77,https://www.mdlottery.com/games/scratch-offs/#prize_details_701,https://www.mdlottery.com/wp-content/uploads/2024/07/Jokers-Wild_FRONT_Simplified_576w_RGB.jpg
36,1,Lucky 13,700,1313,3,07/22/2024,4.45,https://www.mdlottery.com/games/scratch-offs/#prize_details_700,https://www.mdlottery.com/wp-content/uploads/2024/07/Lucky-13_FRONT_Simplified_576w_RGB.jpg
37,10,"$100,000 Crossword",708,100000,3,06/17/2024,3.09,https://www.mdlottery.com/games/scratch-offs/#prize_details_708,https://www.mdlottery.com/wp-content/uploads/2024/06/100K-Crossword-8thEd_FRONT_Simplified_576w_RGB.jpg
38,10,"Win $50, $100 or $200",698,200,3692,06/17/2024,9.23,https://www.mdlottery.com/games/scratch-offs/#prize_details_698,https://www.mdlottery.com/wp-content/uploads/2024/06/Win50-100-or-200-2nd-Ed_FRONT_Simplified_576w_RGB.jpg
39,5,Lots of Cash,697,50000,3,06/17/2024,3.92,https://www.mdlottery.com/games/scratch-offs/#prize_details_697,https://www.mdlottery.com/wp-content/uploads/2024/06/Lots-of-Cash_FRONT_Simplified_576w_RGB.jpg
40,3,Diamond Bingo,696,30000,6,06/17/2024,3.82,https://www.mdlottery.com/games/scratch-offs/#prize_details_696,https://www.mdlottery.com/wp-content/uploads/2024/06/Diamond-Bingo-5thEd_FRONT_Simplified_576w_RGB.jpg
41,20,Gold Rush 777,695,1000000,2,05/20/2024,3.04,https://www.mdlottery.com/games/scratch-offs/#prize_details_695,https://www.mdlottery.com/wp-content/uploads/2024/05/GoldRush777_Website_Front_RGB.jpg
42,10,Gold Rush 7s Multiplier,694,100000,3,05/20/2024,3.43,https://www.mdlottery.com/games/scratch-offs/#prize_details_694,https://www.mdlottery.com/wp-content/uploads/2024/05/GoldRush_7sMultiplier_Website_Front.jpg
43,5,Gold Rush 7s Tripler,693,50000,3,05/20/2024,3.99,https://www.mdlottery.com/games/scratch-offs/#prize_details_693,https://www.mdlottery.com/wp-content/uploads/2024/05/GoldRush_7sTripler_Website_Front_RGB-1.jpg
44,2,Gold Rush 7s Doubler,692,10000,4,05/20/2024,4.20,https://www.mdlottery.com/games/scratch-offs/#prize_details_692,https://www.mdlottery.com/wp-content/uploads/2024/05/GoldRush_7sDoubler_Website_Front_RGB.jpg
45,1,Gold Rush 7s,691,1000,4,05/20/2024,4.60,https://www.mdlottery.com/games/scratch-offs/#prize_details_691,https://www.mdlottery.com/wp-content/uploads/2024/05/Gold-Rush-7s_FRONT_Simplified_576w_RGB.jpg
46,10,Jumbo Cash,689,250000,1,04/22/2024,3.43,https://www.mdlottery.com/games/scratch-offs/#prize_details_689,https://www.mdlottery.com/wp-content/uploads/2024/04/JumboCash_Website_Front_RGB.jpg
47,30,Mega Money,690,2000000,4,04/22/2024,2.90,https://www.mdlottery.com/games/scratch-offs/#prize_details_690,https://www.mdlottery.com/wp-content/uploads/2024/04/MegaMoney_Website_Front_RGB.jpg
48,5,THE BIG SPIN,688,Big Spin,1,04/22/2024,3.95,https://www.mdlottery.com/games/scratch-offs/#prize_details_688,https://www.mdlottery.com/wp-content/uploads/2024/04/The-Big-Spin_FRONT_Simplified_576w_RGB.jpg
49,3,SKEE-BALL®,687,15000,3,04/22/2024,4.09,https://www.mdlottery.com/games/scratch-offs/#prize_details_687,https://www.mdlottery.com/wp-content/uploads/2024/04/Skee-Ball_FRONT_Simplified_576w_RGB.jpg
50,10,Bingo X10,685,100000,2,03/18/2024,3.24,https://www.mdlottery.com/games/scratch-offs/#prize_details_685,https://www.mdlottery.com/wp-content/uploads/2024/03/Bingo-X10-7th-Ed_FRONT_Simplified_576w_RGB.jpg
51,10,"$150,000 Extreme",686,150000,2,03/18/2024,3.50,https://www.mdlottery.com/games/scratch-offs/#prize_details_686,https://www.mdlottery.com/wp-content/uploads/2024/03/150K-Extreme_FRONT_Simplified_576w_RGB.jpg
52,5,Money Money Money,684,50000,1,03/18/2024,3.95,https://www.mdlottery.com/games/scratch-offs/#prize_details_684,https://www.mdlottery.com/wp-content/uploads/2024/03/Money-Money-Money_FRONT_Simplified_576w_RGB.jpg
53,2,PAC-MAN,683,10000,3,03/18/2024,4.20,https://www.mdlottery.com/games/scratch-offs/#prize_details_683,https://www.mdlottery.com/wp-content/uploads/2024/03/PacMan_Simplified_Website_Front.jpg
54,1,Corner Payout,682,1000,3,03/18/2024,4.55,https://www.mdlottery.com/games/scratch-offs/#prize_details_682,https://www.mdlottery.com/wp-content/uploads/2024/03/CornerPayout_Simplified_Website_Front.jpg
55,20,"$500,000 Crossword",680,500000,2,02/26/2024,2.84,https://www.mdlottery.com/games/scratch-offs/#prize_details_680,https://www.mdlottery.com/wp-content/uploads/2024/02/500K_Crossword_2ndEd_Website_Front-1.jpg
56,50,"$5,000,000 CASH",681,5000000,3,02/19/2024,3.05,https://www.mdlottery.com/games/scratch-offs/#prize_details_681,https://www.mdlottery.com/wp-content/uploads/2024/02/5-Million-Cash_FRONT_Simplified_576w_RGB.jpg
57,10,"$250,000 Cash Winfall",679,250000,1,02/19/2024,3.77,https://www.mdlottery.com/games/scratch-offs/#prize_details_679,https://www.mdlottery.com/wp-content/uploads/2024/02/250K-Cash-Winfall_FRONT_Simplified_576w_RGB.jpg
58,5,Power Cash,678,50000,3,02/19/2024,3.90,https://www.mdlottery.com/games/scratch-offs/#prize_details_678,https://www.mdlottery.com/wp-content/uploads/2024/03/678_Power_Cash.jpg
59,3,Bonus Crossword,677,30000,3,02/19/2024,3.69,https://www.mdlottery.com/games/scratch-offs/#prize_details_677,https://www.mdlottery.com/wp-content/uploads/2024/02/Bonus-Xword-6th-Ed_FRONT_Simplified_576w_RGB.jpg
60,1,5X the Cash,672,1000,2,01/22/2024,4.59,https://www.mdlottery.com/games/scratch-offs/#prize_details_672,https://www.mdlottery.com/wp-content/uploads/2024/01/5X-TheCash_FRONT_Simplified_576w_RGB.jpg
61,2,10X the Cash,673,10000,1,01/22/2024,3.81,https://www.mdlottery.com/games/scratch-offs/#prize_details_673,https://www.mdlottery.com/wp-content/uploads/2024/01/10X-The-Cash_FRONT_Simplified_576w_RGB.jpg
62,5,20X the Cash,674,50000,0,01/22/2024,3.77,https://www.mdlottery.com/games/scratch-offs/#prize_details_674,https://www.mdlottery.com/wp-content/uploads/2024/01/20X-The-Cash_FRONT_Simplified_576w_RGB.jpg
63,10,50X the Cash,675,100000,1,01/22/2024,3.29,https://www.mdlottery.com/games/scratch-offs/#prize_details_675,https://www.mdlottery.com/wp-content/uploads/2024/01/50X-The-Cash_FRONT_Simplified_576w_RGB.jpg
64,20,100X the Cash,676,1000000,3,01/22/2024,3.03,https://www.mdlottery.com/games/scratch-offs/#prize_details_676,https://www.mdlottery.com/wp-content/uploads/2024/01/100X-The-Cash_FRONT_Simplified_576w_RGB.jpg
65,30,200X the Cash,671,2000000,2,12/28/2023,2.90,https://www.mdlottery.com/games/scratch-offs/#prize_details_671,https://www.mdlottery.com/wp-content/uploads/2023/12/200X-The-Cash_FRONT_Simplified_576w_RGB.jpg
66,1,Fast Roll,665,1000,12,12/28/2023,4.45,https://www.mdlottery.com/games/scratch-offs/#prize_details_665,https://www.mdlottery.com/wp-content/uploads/2023/12/Fast-Roll_Simplified_Website_Front.jpg
