price,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported_x,gameName,dateexported_y,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Percent of Prizes Remaining,Overall Rank,Rank by Cost,Expected Value of Any Prize (as % of cost),Probability of Winning Any Prize,Rank by Most Available Prizes
10.0,718,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,3,Available,,,,,,2026-01-02,Lucky Numbers,2026-01-02,1011710.0,3179034,2807924,0.8832632806066245,3.0,0,0,0,3.0
30.0,732,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,3,Available,,,,,,2026-01-02,Max $,2026-01-02,4019930.0,3794194,3506138,0.9240797913865237,1.0,0,0,0,1.0
5.0,731,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,3,Available,,,,,,2026-01-02,Linked Wins,2026-01-02,502690.0,3957750,3531426,0.8922812203903733,2.0,0,0,0,2.0
1.0,723,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500.0,0,400,207,Available,,,,,,2026-01-02,Holiday Colors,2026-01-02,588.0,4374288,2837122,0.6485905820558683,19.0,0,0,0,19.0
10.0,730,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,2,2,Available,,,,,,2026-01-02,25 Days of Winning,2026-01-02,501710.0,1998452,910530,0.45561764805959815,68.0,0,0,0,68.0
5.0,729,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,300000.0,0,2,2,Available,,,,,,2026-01-02,NATIONAL LAMPOON'S CHRISTMAS VACATION,2026-01-02,302685.0,3027806,1776920,0.5868671903021527,39.0,0,0,0,39.0
2.0,724,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,10000.0,0,3,3,Available,,,,,,2026-01-02,Holiday Doubler,2026-01-02,11187.0,3754250,2422250,0.6452021042818139,20.0,0,0,0,20.0
5.0,702,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,3,Available,,,,,,2026-01-02,Superstar Bonus,2026-01-02,501435.0,3952092,3100646,0.7845581529984625,5.0,0,0,0,5.0
10.0,720,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,3,Available,,,,,,2026-01-02,Golden Key,2026-01-02,1012910.0,3271656,2439176,0.7455478204309989,7.0,0,0,0,7.0
50.0,722,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,6000000.0,0,2,2,Available,,,,,,2026-01-02,Millionaire Maker,2026-01-02,7012025.0,4846632,4048730,0.8353697990687141,4.0,0,0,0,4.0
5.0,659,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,300000.0,0,3,3,Available,,,,,,2026-01-02,Jungle Cashword,2026-01-02,312290.0,5499678,4060006,0.7382261288751815,8.0,0,0,0,8.0
10.0,717,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,3,Available,,,,,,2026-01-02,Epic Wild Time,2026-01-02,1011860.0,4469350,3492680,0.7814738161030127,6.0,0,0,0,6.0
20.0,713,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500.0,0,22045,15765,Available,,,,,,2026-01-02,"Win $100, $200 or $500",2026-01-02,800.0,2042470,1463484,0.7165265585296234,10.0,0,0,0,10.0
2.0,710,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,5,4,Available,,,,,,2026-01-02,Cherry Jackpot,2026-01-02,50381.0,2719306,1466216,0.5391875721231815,53.0,0,0,0,53.0
2.0,655,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,200.0,0,7482,4676,Available,,,,,,2026-01-02,Quick $200,2026-01-02,281.0,3252248,2095650,0.6443696790650651,21.0,0,0,0,21.0
5.0,705,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Detroit Lions,2026-01-02,502700.0,4143914,1763476,0.4255580593612705,75.0,0,0,0,75.0
10.0,711,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Lady Luck 777,2026-01-02,1002110.0,3320422,1570596,0.4730109606550011,64.0,0,0,0,64.0
