gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported
718,Lucky Numbers,1000000.0,3,3,2026-01-02
718,Lucky Numbers,10000.0,21,19,2026-01-02
718,Lucky Numbers,1000.0,201,189,2026-01-02
718,Lucky Numbers,500.0,1202,1058,2026-01-02
718,Lucky Numbers,100.0,91771,80732,2026-01-02
718,Lucky Numbers,50.0,239403,210780,2026-01-02
718,Lucky Numbers,30.0,159622,141073,2026-01-02
718,Lucky Numbers,20.0,498770,440236,2026-01-02
718,Lucky Numbers,10.0,598524,529872,2026-01-02
718,Lucky Numbers,0.0,1589517,1403962,2026-01-02
732,Max $,4000000.0,3,3,2026-01-02
732,Max $,15000.0,21,19,2026-01-02
732,Max $,3000.0,501,475,2026-01-02
732,Max $,1000.0,1990,1910,2026-01-02
732,Max $,500.0,16859,15581,2026-01-02
732,Max $,250.0,119204,110046,2026-01-02
732,Max $,100.0,317911,293448,2026-01-02
732,Max $,50.0,715266,661110,2026-01-02
732,Max $,30.0,725342,670477,2026-01-02
732,Max $,0.0,1897097,1753069,2026-01-02
731,Linked Wins,500000.0,3,3,2026-01-02
731,Linked Wins,2000.0,11,11,2026-01-02
731,Linked Wins,500.0,213,182,2026-01-02
731,Linked Wins,100.0,6407,5706,2026-01-02
731,Linked Wins,50.0,131108,116356,2026-01-02
731,Linked Wins,25.0,320131,284302,2026-01-02
731,Linked Wins,10.0,720503,642448,2026-01-02
731,Linked Wins,5.0,800499,716705,2026-01-02
731,Linked Wins,0.0,1978875,1765713,2026-01-02
723,Holiday Colors,500.0,400,207,2026-01-02
723,Holiday Colors,50.0,1042,571,2026-01-02
723,Holiday Colors,20.0,13616,7998,2026-01-02
723,Holiday Colors,10.0,142506,86309,2026-01-02
723,Holiday Colors,5.0,400530,249829,2026-01-02
723,Holiday Colors,2.0,644888,419653,2026-01-02
723,Holiday Colors,1.0,984162,653994,2026-01-02
723,Holiday Colors,0.0,2187144,1418561,2026-01-02
730,25 Days of Winning,500000.0,2,2,2026-01-02
730,25 Days of Winning,1000.0,10,7,2026-01-02
730,25 Days of Winning,500.0,357,157,2026-01-02
730,25 Days of Winning,100.0,55011,24202,2026-01-02
