gameNumber,gameName,dateexported,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,price,topprizestarting,topprizeremain,overallodds,gamePhoto,Total at start,Total remaining,topprizeodds
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,5.41,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825325/2071-2026-MainImage-524x294.webp,1320088.69,1320088.69,330022.1725
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,3,3,7.14,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825326/2072-TopSecretCrossword-MainImage-524x294.webp,1742224.26,1742224.26,580741.42
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,3,3,6.25,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825327/2073-CashTrain-MainImage-524x294.webp,1525056.25,1525056.25,508352.0833333333
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,7.28,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825328/2074-CosmicCrossword-MainImage-524x294.webp,1776385.52,1776385.52,444096.38
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,3,3,7.14,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6763630/2070-Power-Shot-Multiplier-Individual-Main.webp,1742224.26,1742224.26,580741.42
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,7.69,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6763628/2069-Winter-Fun-Individual-Main.webp,1876429.2100000002,1876429.2100000002,469107.30250000005
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,6,6,6.67,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6763629/2068-Polar-Wonderland-Individual-Main.webp,1627540.03,1627540.03,271256.6716666667
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,6,6,8.0,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/Full-Ticket-Images/2067-Blizzard-Bucks-Front-900px.jpg,1952072.0,1952072.0,325345.3333333333
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,6.25,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6658693/2066-30-Days-of-Winning-Individual-Main-2.webp,1525056.25,1525056.25,381264.0625
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,5,5,6.0,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6658691/2064-Holiday-Wishes-Individual-Main.webp,1464054.0,1464054.0,292810.8
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,9,9,6.45,,1573858.05,1573858.05,174873.11666666667
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4550,4550,8.33,,2032594.97,2032594.97,446.72416923076923
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,5,5,7.28,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/Full-Ticket-Images/2060-Copycat-Crossword-FRONT.jpg,1776385.52,1776385.52,355277.104
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,6.67,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6552186/2061-Wild-Cash-Indiv-Main.webp,1627540.03,1627540.03,406885.0075
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,6.25,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6552187/2062-200k-Gold-Rush-Indiv-Main-1.webp,1525056.25,1525056.25,381264.0625
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,5.88,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6552184/2059-Lucky-Lines-Diamond-Multiplier-Indiv-Main.webp,1434772.92,1434772.92,358693.23
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,50,50,5.96,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6411227/2055-Money-Individual-Main.webp,1454293.64,1454293.64,29085.872799999997
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,8.0,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6411228/2056-Crossword-Gems-Individual-Main.webp,1952072.0,1952072.0,488018.0
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,6,6,8.89,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6411229/2057-Lucky-Slingo-Individual-Main.webp,2169240.0100000002,2169240.0100000002,361540.0016666667
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,4,4,6.67,,1627540.03,1627540.03,406885.0075
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,10,10,9.68,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/Game-Extras/Winter-Gnome-2nd-Chance-380x.png,2362007.12,2362007.12,236200.712
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,25,25,6.45,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Ticket-Fan-Images/_AUTOxAUTO_crop_center-center_none/6184087/2052-My-Lucky-Day-Mini.webp,1573858.05,1573858.05,62954.322
0,16000000 Cash Blowout,2025-12-25,150.0,244009.0,244009.0,0.0,1551,1551,5.0,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6184166/2053-Cash-Bar-Mini.webp,1220045.0,1220045.0,786.618310767247
