gameNumber,gameName,price,topprize,overallodds,startDate,gameURL,gamePhoto,topprizestarting,topprizeremain,topprizeavail,dateexported
0,Kayak Crossword,0.0,100000,6.45,,https://www.mnlottery.com/games/scratch/kayak-crossword,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/7164033/2084-Kayak-Crossword-Individual-Main.webp,5,5,Unknown,2026-03-30
0,Outdoors And Smores Crossword,0.0,30000,8.16,,https://www.mnlottery.com/games/scratch/outdoors-and-smores-crossword,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/7164035/2083-Outdoors-and-Smores-Crossword-Individual-Main.webp,5,5,Unknown,2026-03-30
0,Moola,0.0,5000,7.41,,https://www.mnlottery.com/games/scratch/moola,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/7164036/2082-Moola-Individual-Main.webp,9,9,Unknown,2026-03-30
0,Xtreme Cash 2026,0.0,200000,6.25,,https://www.mnlottery.com/games/scratch/xtreme-cash-2026,,4,4,Unknown,2026-03-30
0,10000 Large,0.0,10000,7.14,,https://www.mnlottery.com/games/scratch/10000-large,,200,200,Unknown,2026-03-30
0,Full Of 500S 2026,0.0,500,8.33,,https://www.mnlottery.com/games/scratch/full-of-500s-2026,,4365,4365,Unknown,2026-03-30
0,Area Code Cash 2026,0.0,10000,5.5,,https://www.mnlottery.com/games/scratch/area-code-cash-2026,,9,9,Unknown,2026-03-30
0,Pocket Change,0.0,5000,6.45,,https://www.mnlottery.com/games/scratch/pocket-change,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6917891/2077-Pocket-Change-Individual-Main.webp,6,6,Unknown,2026-03-30
0,Triple Red Hot 777S,0.0,77777,8.0,,https://www.mnlottery.com/games/scratch/triple-red-hot-777s,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6917890/2076-Triple-Red-Hot-777s-Individual-Main.webp,4,4,Unknown,2026-03-30
0,Crossword Wizard,0.0,200000,5.26,,https://www.mnlottery.com/games/scratch/crossword-wizard,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6917892/2078-Crossword-Wizard-Individual-Main.webp,4,4,Unknown,2026-03-30
