prizeamount,odds,Winning Tickets Unclaimed,gameName,gameNumber,dateexported
10,1 in 5.41,452210,2026,2026,2026-04-03
15,1 in 57.14,42779,2026,2026,2026-04-03
20,1 in 100.00,24444,2026,2026,2026-04-03
25,1 in 97.74,25009,2026,2026,2026-04-03
30,1 in 300.00,8148,2026,2026,2026-04-03
50,1 in 198.02,12344,2026,2026,2026-04-03
75,1 in 544.29,4491,2026,2026,2026-04-03
100,1 in 846.69,2887,2026,2026,2026-04-03
150,"1 in 3,404.46",718,2026,2026,2026-04-03
200,"1 in 9,738.65",251,2026,2026,2026-04-03
500,"1 in 10,627.83",230,2026,2026,2026-04-03
1000,"1 in 143,788.24",17,2026,2026,2026-04-03
10000,"1 in 305,550.00",8,2026,2026,2026-04-03
50000,"1 in 611,100.00",4,2026,2026,2026-04-03
