,price,gameNumber,topprize,overallodds,topprizestarting_x,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto_x,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting_y,topprizeremain,gamePhoto_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,20.0,539,2000000,3.17,2,Available,,,2025-12-29,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=539,,40TH ANNIVERSARY,1031736,917733,2,2,,3270603.12,2909213.61,2238867.12,1991480.6099999999,1454606.805,1454606.805,0.0,3.17,-2.0967865607127883e-07,6.36,6.355164902640113,0.001052814939354238,0.31545747939391167,0.31545742482349587,-5.457041579726152e-08,0.15718684056478505,0.15735232921880155,0.00016548865401649904,0.05143567369950092,0.03177884360278809,6.480540751902922,10.488918092526477,8.0,0.47,0.0007340600502175682,0.46946785952077075,0.0007340600502175682,0.87,0.8688908038923735,0.9999986074336465,,,,,2026-01-19,,31.333333333333332,35.0,71.0,53.666666666666664,47.25,47.64999999999999,62.0,7.0,/missouri-statistics-for-each-scratcher-game
1,10.0,540,1000000,3.21,2,Available,,,2025-12-29,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=540,,"$1,000 FRENZY",1437406,1313050,2,2,,4614073.26,4214890.5,3176667.26,2901840.5,2107445.25,2107445.25,0.0,3.21,-1.1862704380591312e-07,5.62,5.614224667641698,0.001325666635638951,0.31152651670624854,0.31152649730509246,-1.9401156070575354e-08,0.1778831713283146,0.1781189851135862,0.00023581378527159913,0.04178773991486112,0.024175243429857416,7.976772828919917,13.787956441550724,7.0,0.45,0.0006985597520510417,0.45065624488420813,0.0006985597520510417,0.91,0.9117699161991245,0.9999993424226812,,,,,2026-01-19,,35.666666666666664,39.666666666666664,65.0,57.333333333333336,50.416666666666664,49.61666666666666,68.0,9.0,/missouri-statistics-for-each-scratcher-game
2,5.0,541,100000,4.12,4,Available,,,2025-12-29,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=541,,$500 FRENZY,916437,761856,4,4,,3775720.44,3138846.72,2859283.44,2376990.72,784711.68,784711.68,0.0,4.12,-2.293836126437264e-07,7.49,7.444022751693069,0.005707377162998781,0.24271850227758865,0.24271847488690898,-2.7390679668837237e-08,0.13357361272263757,0.13433596770946998,0.0007623549868324142,0.037246211195387645,0.02366882973535664,8.94935100896777,14.082746833569185,9.0,0.44,0.0003639716368988346,0.44033699009126287,0.0003639716368988346,0.86,0.867066680049979,0.9999994438185964,,,,,2026-01-19,,45.0,40.0,59.0,54.333333333333336,46.583333333333336,48.983333333333334,65.0,20.0,/missouri-statistics-for-each-scratcher-game
3,2.0,542,25000,4.55,5,Available,,,2025-12-29,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=542,,$100 FRENZY,1107052,970831,5,5,,5037086.6,4417281.05,3930034.5999999996,3446450.05,883456.21,883456.21,0.0,4.55,-1.131918002551634e-08,9.73,9.686331294950195,0.004273163887471329,0.2197802222679517,0.21978024595966794,2.3691716227736137e-08,0.10279898426203812,0.1032382611692554,0.00043927690721727586,0.037543345535677584,0.01822453178455731,8.87854505618724,18.289628040173447,12.0,0.44,-0.00498964754580672,0.43770432535308484,-0.00498964754580672,0.88,0.8802857165547586,1.0000007682592873,,,,,2026-01-19,,44.666666666666664,47.666666666666664,56.0,82.66666666666667,55.75,57.35,84.0,14.0,/missouri-statistics-for-each-scratcher-game
4,1.0,543,2500,4.81,6,Available,,,2025-12-29,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=543,,$50 FRENZY,1125389,917302,6,6,,5413121.09,4412222.619999999,4287732.09,3494920.619999999,735370.4366666665,735370.4366666665,0.0,4.81,-1.4051874821964954e-07,10.85,10.751262693972238,0.009393296440239665,0.207900237114089,0.20790021135681247,-2.5757276533866502e-08,0.0921467686802704,0.09301233059449437,0.0008655619142239751,0.03546663236120546,0.01584708497935529,9.398409037045289,21.033274533728207,13.0,0.45,-0.026272162493099695,0.44526159381826214,-0.026272162493099695,0.82,0.8152269523033997,0.9999994538497841,,,,,2026-01-19,,48.666666666666664,52.0,62.0,54.333333333333336,50.083333333333336,53.416666666666664,81.0,10.0,/missouri-statistics-for-each-scratcher-game
5,3.0,528,50000,3.89,10,Available,,,2025-12-10,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=528,,COSMIC CROSSWORD,1731000,1616442,10,10,,6733590.0,6287959.38,5002590.0,4671517.38,628795.938,628795.938,0.0,3.89,-6.04329604353829e-08,6.38,6.37021388912277,0.002056295068195934,0.25706942427582624,0.2570694087403599,-1.553546635779668e-08,0.15665846421708537,0.15698060024444613,0.0003221360273607532,0.038151418819589666,0.03033884532037518,8.737067766783131,10.986891952514314,8.0,0.41,-0.0003901137669596875,0.4067001709139642,-0.0003901137669596875,0.93,0.9309322837414087,0.9999991472765587,,,,,2026-01-19,,42.666666666666664,35.666666666666664,28.0,57.333333333333336,40.583333333333336,40.85,31.0,5.0,/missouri-statistics-for-each-scratcher-game
6,5.0,533,100000,3.82,6,Available,,,2025-12-05,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=533,,MYSTERY PRIZE CROSSWORD,1319205,1164043,6,6,,5039363.1,4446644.26,3720158.0999999996,3282601.26,741107.3766666666,741107.3766666666,0.0,3.82,-5.847105917536591e-08,6.9,6.885466822611233,0.002403378001430867,0.2617801200186028,0.26178010990674816,-1.0111854631400519e-08,0.14488522130397666,0.14523343525759108,0.00034821395361442353,0.03214928918558736,0.019307919164625386,10.368203240464803,17.263610769446807,8.0,0.42,0.0009177780399032655,0.42209090721002174,0.0009177780399032655,0.89,0.8952185439581464,0.9999997102138097,,,,,2026-01-19,,55.0,45.666666666666664,47.0,59.0,48.083333333333336,50.95,74.0,21.0,/missouri-statistics-for-each-scratcher-game
7,5.0,527,100000,3.99,6,Available,,,2025-11-24,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=527,,MONEY MONEY MONEY,1387026,1021732,6,4,,5534233.74,4076710.68,4147207.74,3054978.68,1019177.67,1019177.67,0.0,3.99,-1.6680114276713177e-07,7.53,7.460264373951913,0.009539206148893292,0.25062660822084476,0.25062659992812014,-8.292724618108593e-09,0.13277692060509577,0.134043507022563,0.0012665864174672414,0.032617935904726246,0.017397573357708418,10.219224182437443,19.15908202463664,9.0,0.43,-0.002900788381700856,0.4330298206151529,-0.002900788381700856,0.73,0.7316760366520503,0.9999999074525442,,,,,2026-01-19,,54.666666666666664,48.333333333333336,53.0,65.0,49.25,54.05,83.0,25.0,/missouri-statistics-for-each-scratcher-game
8,30.0,551,3000000,3.34,3,Available,,,2025-10-27,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=551,,SUPER 7S,1330864,1149462,3,3,,4445085.76,3839203.0799999996,3114221.76,2689741.0799999996,1279734.3599999999,1279734.3599999999,0.0,3.34,-2.0837657747001672e-08,3.34,3.3399994289424013,1.501376968275749e-07,0.29940120384361024,0.2994012487950174,4.4951407152105105e-08,0.29940120384361024,0.2994012487950174,4.4951407152105105e-08,0.04708708656121203,0.04708708656121203,7.079038114718056,7.079038114718056,4.0,0.52,0.0007156000549441121,0.5182786635663704,0.0007156000549441121,0.88,0.8802730579348593,1.0000009513552306,,,,,2026-01-19,,34.666666666666664,30.666666666666668,79.0,82.33333333333333,62.416666666666664,57.81666666666666,85.0,4.0,/missouri-statistics-for-each-scratcher-game
9,2.0,534,25000,4.32,5,Available,,,2025-10-13,,,2026-01-19,https://www.molottery.com/scratchers.do?method=d&game=534,,HOLIDAY CASH DROP,1277945,652257,5,4,,5520722.4,2817750.24,4242777.4,2165493.24,704437.56,704437.56,0.0,4.32,-8.517433404666131e-08,8.68,8.456003896605175,0.026823540895234872,0.23148150119776417,0.23148149825330816,-2.9444560123437213e-09,0.11516990506609884,0.11825916972453965,0.00308926465844081,0.03461294363450215,0.017057861375666172,9.630166546798458,19.540155425386395,10.0,0.4,-0.03335133223832218,0.4044391801969656,-0.03335133223832218,0.49,0.487372197527395,0.9999999867398115,,,,,2026-01-19,,51.0,49.666666666666664,24.0,64.33333333333333,46.25,47.05,60.0,12.0,/missouri-statistics-for-each-scratcher-game
