gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto,dateexported,extrachances,secondChance,topprizeodds
553,LOOSE CHANGE,1.0,20500,4.79,7,7,Available,2026-04-15,,,https://www.molottery.com/scratchers.do?method=d&game=553,https://www.molottery.com/media/scratchers/tile/553.png,2026-04-18,,,0
538,MONEY,20.0,200000000,3.15,2,2,Available,2026-03-30,,,https://www.molottery.com/scratchers.do?method=d&game=538,https://www.molottery.com/media/scratchers/tile/538.png,2026-04-18,,,0
546,SAPPHIRE 7S,5.0,770777,4.05,5,4,Available,2026-03-30,,,https://www.molottery.com/scratchers.do?method=d&game=546,https://www.molottery.com/media/scratchers/tile/546.png,2026-04-18,,,0
549,"$30,000 DOUBLE MATCH",2.0,300000,4.48,5,4,Available,2026-03-30,,,https://www.molottery.com/scratchers.do?method=d&game=549,https://www.molottery.com/media/scratchers/tile/549.png,2026-04-18,,,0
554,500X PAYOUT,50.0,500000000,3.19,3,3,Available,2026-03-19,,,https://www.molottery.com/scratchers.do?method=d&game=554,https://www.molottery.com/media/scratchers/tile/554.png,2026-04-18,,,0
544,LOTERIA,5.0,1000000,4.01,4,2,Available,2026-02-23,,,https://www.molottery.com/scratchers.do?method=d&game=544,https://www.molottery.com/media/scratchers/tile/544.png,2026-04-18,,,0
526,"$1,000,000* MONEY BLAST",10.0,100000000,4.0,2,1,Available,2026-02-23,,,https://www.molottery.com/scratchers.do?method=d&game=526,https://www.molottery.com/media/scratchers/tile/526.png,2026-04-18,,,0
576,MILLIONAIRE RICHES,50.0,100000000,3.29,15,14,Available,2026-02-05,,,https://www.molottery.com/scratchers.do?method=d&game=576,https://www.molottery.com/media/scratchers/tile/576.png,2026-04-18,,,0
524,$50 & $100 BLOWOUT,10.0,100,7.89,83991,73680,Available,2026-02-02,,,https://www.molottery.com/scratchers.do?method=d&game=524,https://www.molottery.com/media/scratchers/tile/524.png,2026-04-18,,,0
545,10X THE CASH,1.0,50000,4.62,6,4,Available,2026-01-26,,,https://www.molottery.com/scratchers.do?method=d&game=545,https://www.molottery.com/media/scratchers/tile/545.png,2026-04-18,,,0
536,"$100,000 TAXES PAID",5.0,1380889,3.76,5,2,Available,2026-01-26,,,https://www.molottery.com/scratchers.do?method=d&game=536,https://www.molottery.com/media/scratchers/tile/536.png,2026-04-18,,,0
537,20X THE MONEY,2.0,250000,4.46,5,4,Available,2026-01-26,,,https://www.molottery.com/scratchers.do?method=d&game=537,https://www.molottery.com/media/scratchers/tile/537.png,2026-04-18,,,0
539,40TH ANNIVERSARY,20.0,200000000,3.17,2,1,Available,2025-12-29,,,https://www.molottery.com/scratchers.do?method=d&game=539,https://www.molottery.com/media/scratchers/tile/539.png,2026-04-18,,,0
540,"$1,000 FRENZY",10.0,100000000,3.21,2,1,Available,2025-12-29,,,https://www.molottery.com/scratchers.do?method=d&game=540,https://www.molottery.com/media/scratchers/tile/540.png,2026-04-18,,,0
541,$500 FRENZY,5.0,1000000,4.12,4,1,Available,2025-12-29,,,https://www.molottery.com/scratchers.do?method=d&game=541,https://www.molottery.com/media/scratchers/tile/541.png,2026-04-18,,,0
542,$100 FRENZY,2.0,250000,4.55,5,4,Available,2025-12-29,,,https://www.molottery.com/scratchers.do?method=d&game=542,https://www.molottery.com/media/scratchers/tile/542.png,2026-04-18,,,0
543,$50 FRENZY,1.0,20500,4.81,6,3,Available,2025-12-29,,,https://www.molottery.com/scratchers.do?method=d&game=543,https://www.molottery.com/media/scratchers/tile/543.png,2026-04-18,,,0
528,COSMIC CROSSWORD,3.0,500000,3.89,10,5,Available,2025-12-10,,,https://www.molottery.com/scratchers.do?method=d&game=528,https://www.molottery.com/media/scratchers/tile/528.png,2026-04-18,,,0
533,MYSTERY PRIZE CROSSWORD,5.0,1000000,3.82,6,3,Available,2025-12-05,,,https://www.molottery.com/scratchers.do?method=d&game=533,https://www.molottery.com/media/scratchers/tile/533.png,2026-04-18,,,0
527,MONEY MONEY MONEY,5.0,1000000,3.99,6,2,Available,2025-11-24,,,https://www.molottery.com/scratchers.do?method=d&game=527,https://www.molottery.com/media/scratchers/tile/527.png,2026-04-18,,,0
551,SUPER 7S,30.0,300000000,3.34,3,3,Available,2025-10-27,,,https://www.molottery.com/scratchers.do?method=d&game=551,https://www.molottery.com/media/scratchers/tile/551.png,2026-04-18,,,0
534,HOLIDAY CASH DROP,2.0,250000,4.32,5,4,Available,2025-10-13,,,https://www.molottery.com/scratchers.do?method=d&game=534,https://www.molottery.com/media/scratchers/tile/534.png,2026-04-18,,,0
535,FROSTY FUN,1.0,10000,4.54,15,4,Available,2025-10-13,,,https://www.molottery.com/scratchers.do?method=d&game=535,https://www.molottery.com/media/scratchers/tile/535.png,2026-04-18,,,0
529,NUTCRACKER CASH,10.0,2000000,3.24,2,1,Available,2025-10-13,,,https://www.molottery.com/scratchers.do?method=d&game=529,https://www.molottery.com/media/scratchers/tile/529.png,2026-04-18,,,0
531,MERRY MONEY,5.0,1000000,3.84,3,1,Available,2025-10-13,,,https://www.molottery.com/scratchers.do?method=d&game=531,https://www.molottery.com/media/scratchers/tile/531.png,2026-04-18,,,0
530,HOLIDAY LIGHTS,5.0,1000000,3.83,4,2,Available,2025-09-29,,,https://www.molottery.com/scratchers.do?method=d&game=530,https://www.molottery.com/media/scratchers/tile/530.png,2026-04-18,,,0
525,STARRY NIGHTS,20.0,3000000,2.95,2,1,Available,2025-09-29,,,https://www.molottery.com/scratchers.do?method=d&game=525,https://www.molottery.com/media/scratchers/tile/525.png,2026-04-18,,,0
520,TETRIS,5.0,1000000,3.67,4,1,Available,2025-08-25,,,https://www.molottery.com/scratchers.do?method=d&game=520,https://www.molottery.com/media/scratchers/tile/520.png,2026-04-18,,,0
522,LUCKY 7S,1.0,70777,4.73,5,1,Available,2025-08-25,,,https://www.molottery.com/scratchers.do?method=d&game=522,https://www.molottery.com/media/scratchers/tile/522.png,2026-04-18,,,0
