prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,gameNumber,gameName,price,dateexported
20,517099,515922,539,40TH ANNIVERSARY,20.0,2025-12-31
40,299592,298937,539,40TH ANNIVERSARY,20.0,2025-12-31
100,206282,205785,539,40TH ANNIVERSARY,20.0,2025-12-31
200,5444,5432,539,40TH ANNIVERSARY,20.0,2025-12-31
400,2154,2150,539,40TH ANNIVERSARY,20.0,2025-12-31
1000,1116,1116,539,40TH ANNIVERSARY,20.0,2025-12-31
5000,25,25,539,40TH ANNIVERSARY,20.0,2025-12-31
10000,11,11,539,40TH ANNIVERSARY,20.0,2025-12-31
20000,5,5,539,40TH ANNIVERSARY,20.0,2025-12-31
86000,4,4,539,40TH ANNIVERSARY,20.0,2025-12-31
100000,2,2,539,40TH ANNIVERSARY,20.0,2025-12-31
2000000,2,2,539,40TH ANNIVERSARY,20.0,2025-12-31
10,615552,614618,540,"$1,000 FRENZY",10.0,2025-12-31
15,230832,230437,540,"$1,000 FRENZY",10.0,2025-12-31
20,307776,307298,540,"$1,000 FRENZY",10.0,2025-12-31
25,76944,76813,540,"$1,000 FRENZY",10.0,2025-12-31
50,153888,153620,540,"$1,000 FRENZY",10.0,2025-12-31
100,46155,46072,540,"$1,000 FRENZY",10.0,2025-12-31
200,4607,4603,540,"$1,000 FRENZY",10.0,2025-12-31
1000,1595,1595,540,"$1,000 FRENZY",10.0,2025-12-31
5000,50,50,540,"$1,000 FRENZY",10.0,2025-12-31
50000,5,5,540,"$1,000 FRENZY",10.0,2025-12-31
1000000,2,2,540,"$1,000 FRENZY",10.0,2025-12-31
5,409222,408140,541,$500 FRENZY,5.0,2025-12-31
10,267484,266704,541,$500 FRENZY,5.0,2025-12-31
15,125892,125514,541,$500 FRENZY,5.0,2025-12-31
25,62946,62730,541,$500 FRENZY,5.0,2025-12-31
50,37781,37650,541,$500 FRENZY,5.0,2025-12-31
100,10545,10508,541,$500 FRENZY,5.0,2025-12-31
500,2527,2516,541,$500 FRENZY,5.0,2025-12-31
1000,30,30,541,$500 FRENZY,5.0,2025-12-31
10000,6,6,541,$500 FRENZY,5.0,2025-12-31
100000,4,4,541,$500 FRENZY,5.0,2025-12-31
2,587032,586115,542,$100 FRENZY,2.0,2025-12-31
4,285164,284643,542,$100 FRENZY,2.0,2025-12-31
5,100638,100448,542,$100 FRENZY,2.0,2025-12-31
10,67092,66959,542,$100 FRENZY,2.0,2025-12-31
25,33546,33475,542,$100 FRENZY,2.0,2025-12-31
40,19592,19558,542,$100 FRENZY,2.0,2025-12-31
100,13954,13925,542,$100 FRENZY,2.0,2025-12-31
1000,24,24,542,$100 FRENZY,2.0,2025-12-31
2500,5,5,542,$100 FRENZY,2.0,2025-12-31
25000,5,5,542,$100 FRENZY,2.0,2025-12-31
1,621902,620317,543,$50 FRENZY,1.0,2025-12-31
2,270296,269557,543,$50 FRENZY,1.0,2025-12-31
4,126254,125900,543,$50 FRENZY,1.0,2025-12-31
5,36074,35977,543,$50 FRENZY,1.0,2025-12-31
10,31512,31416,543,$50 FRENZY,1.0,2025-12-31
15,18025,17965,543,$50 FRENZY,1.0,2025-12-31
50,19834,19758,543,$50 FRENZY,1.0,2025-12-31
100,1466,1460,543,$50 FRENZY,1.0,2025-12-31
500,12,12,543,$50 FRENZY,1.0,2025-12-31
1000,8,8,543,$50 FRENZY,1.0,2025-12-31
2500,6,6,543,$50 FRENZY,1.0,2025-12-31
5,587321,559680,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
