,gameName,gameNumber,price,gameURL,topprize,startDate,endDate,Total Prize Money at start,Total Prize Money Won,Total Prize Money remaining,Percent of Prize Money Won,gamePhoto
0,"$5,000,000 FORTUNE",464,50,https://www.molottery.com/scratchers/464,"5,000,000","May. 28, 2024",TBD,252564500,14619600,237944900,0.057884619572426056,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_464.gif
1,50X THE WIN,463,5,https://www.molottery.com/scratchers/463,"100,000","May. 28, 2024",TBD,16474195,2851035,13623160,0.17306065637805065,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_463.gif
2,COOL $50S,466,1,https://www.molottery.com/scratchers/466,"2,500","May. 28, 2024",TBD,5547370,926611,4620759,0.1670360909764447,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_466.gif
3,BIG MONEY,469,5,https://www.molottery.com/scratchers/469,"100,000","Jun. 24, 2024",TBD,14312900,305,14312595,2.1309448120227207e-05,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_469.gif
4,TRIPLE 333,470,2,https://www.molottery.com/scratchers/470,"33,333","Jun. 24, 2024",TBD,6952231,375,6951856,5.393951955854171e-05,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_470.gif
5,FUN 5S,472,5,https://www.molottery.com/scratchers/472,"100,000","Jun. 24, 2024",TBD,14853770,120,14853650,8.078757110147794e-06,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_472.gif
6,$50 & $100 EXPLOSION,474,10,https://www.molottery.com/scratchers/474,100,"Jun. 24, 2024",TBD,26399950,450,26399500,1.7045486828573538e-05,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_474.gif
7,50X THE WIN,463,5,https://www.molottery.com/scratchers/463,"100,000","May. 28, 2024",TBD,16474195,2851035,13623160,0.17306065637805065,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_463.gif
8,"$5,000,000 FORTUNE",464,50,https://www.molottery.com/scratchers/464,"5,000,000","May. 28, 2024",TBD,252564500,14619600,237944900,0.057884619572426056,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_464.gif
9,COOL $50S,466,1,https://www.molottery.com/scratchers/466,"2,500","May. 28, 2024",TBD,5547370,926611,4620759,0.1670360909764447,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_466.gif
10,"$2,000,000 EXTREME CASH",468,20,https://www.molottery.com/scratchers/468,"2,000,000","May. 28, 2024",TBD,50711440,3121440,47590000,0.06155297502890866,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_468.gif
11,"$1,000,000 BLACK DIAMOND",467,10,https://www.molottery.com/scratchers/467,"1,000,000","Apr. 29, 2024",TBD,32213825,9501875,22711950,0.2949626441442455,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_467.gif
12,DOUBLE-SIDED DOLLARS,461,5,https://www.molottery.com/scratchers/461,"100,000","Apr. 29, 2024",TBD,19095475,4973635,14121840,0.2604614443997858,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_461.gif
13,WIN IT ALL,462,2,https://www.molottery.com/scratchers/462,"25,000","Apr. 29, 2024",TBD,7325768,2193036,5132732,0.29935919346613216,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_462.gif
14,20X CROSSWORD,465,5,https://www.molottery.com/scratchers/465,"100,000","Apr. 19, 2024",TBD,17119585,2704835,14414750,0.1579965285373448,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_465.gif
15,SILVER 7S,459,5,https://www.molottery.com/scratchers/459,"77,777","Mar. 25, 2024",TBD,14138870,7420648,6718222,0.5248402453661432,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_459.gif
16,10X,460,1,https://www.molottery.com/scratchers/460,"5,000","Mar. 25, 2024",TBD,5026811,2457910,2568901,0.48896009816163766,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_460.gif
17,$100 & $200,456,20,https://www.molottery.com/scratchers/456,200,"Mar. 25, 2024",TBD,33163700,9092500,24071200,0.2741702524145376,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_456.gif
18,FROGGER,457,5,https://www.molottery.com/scratchers/457,"100,000","Feb. 26, 2024",TBD,11155850,8993170,2162680,0.8061393797872864,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_457.gif
19,MONEY MATCH MULTIPLIER,458,2,https://www.molottery.com/scratchers/458,"25,000","Feb. 26, 2024",TBD,7734095,4088881,3645214,0.5286825413962462,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_458.gif
20,100X THE MONEY,434,10,https://www.molottery.com/scratchers/434,"1,000,000","Feb. 26, 2024",TBD,34703280,17417445,17285835,0.5018962184554313,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_434.gif
21,300X,453,30,https://www.molottery.com/scratchers/453,"3,000,000","Jan. 29, 2024",TBD,107223280,24677290,82545990,0.23014862070998016,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_453.gif
22,FULL OF $500S,454,5,https://www.molottery.com/scratchers/454,"100,000","Jan. 29, 2024",TBD,15087580,11993155,3094425,0.7949024959602534,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_454.gif
23,CASH DOUBLER,455,1,https://www.molottery.com/scratchers/455,"3,000","Jan. 29, 2024",TBD,5161087,2742617,2418470,0.531402977706053,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_455.gif
24,200X THE CASH,447,20,https://www.molottery.com/scratchers/447,"2,000,000","Dec. 26, 2023",TBD,50695570,29015210,21680360,0.5723421198341394,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_447.gif
25,"$1,000,000 CASH PAYOUT",448,10,https://www.molottery.com/scratchers/448,"1,000,000","Dec. 26, 2023",TBD,34234530,18161320,16073210,0.5304971325734573,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_448.gif
26,"$100,000 CASH PAYOUT",449,5,https://www.molottery.com/scratchers/449,"100,000","Dec. 26, 2023",TBD,14744455,11117235,3627220,0.7539942981954911,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_449.gif
27,"$25,000 CASH PAYOUT",450,2,https://www.molottery.com/scratchers/450,"25,000","Dec. 26, 2023",TBD,8052427,5145764,2906663,0.6390326792158438,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_450.gif
28,"$5,000 CASH PAYOUT",451,1,https://www.molottery.com/scratchers/451,"5,000","Dec. 26, 2023",TBD,5489570,3148534,2341036,0.5735483835710266,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_451.gif
29,TREASURE HUNT,452,3,https://www.molottery.com/scratchers/452,"50,000","Dec. 26, 2023",TBD,12992343,7219314,5773029,0.5556591293810516,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_452.gif
30,"$100,000 DIAMOND DAZZLER",445,5,https://www.molottery.com/scratchers/445,"100,000","Nov. 27, 2023",TBD,19059265,14367130,4692135,0.7538134340437577,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_445.gif
31,FAST $100S,446,2,https://www.molottery.com/scratchers/446,"30,000","Nov. 27, 2023",TBD,8382845,5804341,2578504,0.6924070527368692,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_446.gif
32,SEASONS GREETINGS,440,10,https://www.molottery.com/scratchers/440,"200,000","Oct. 16, 2023","Mar. 08, 2024",16765485,11534075,5231410,0.6879654838497067,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_440.gif
33,HOLIDAY RICHES,441,5,https://www.molottery.com/scratchers/441,"100,000","Oct. 16, 2023","Mar. 08, 2024",12489265,7596795,4892470,0.6082659788226129,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_441.gif
34,STOCKING STUFFER,442,3,https://www.molottery.com/scratchers/442,"50,000","Oct. 16, 2023","Mar. 08, 2024",7006589,3548807,3457782,0.5064956714315625,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_442.gif
35,TIS THE SEASON,443,2,https://www.molottery.com/scratchers/443,"25,000","Oct. 16, 2023","Mar. 08, 2024",5991575,3236314,2755261,0.54014411903381,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_443.gif
36,HAPPY PAWLIDAYS!,444,1,https://www.molottery.com/scratchers/444,"1,000","Oct. 16, 2023","Mar. 08, 2024",5205950,2860146,2345804,0.5493994371824547,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_444.gif
