price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,gamePhoto,dateexported
30,Millionaire Maker,232,1000000,3.84,10,10,,,2nd Chance,01/06/2026,,,https://www.mslottery.com/wp-content/uploads/2025/12/millionairemaker-website-1024x1024.jpg?x42012,2026-01-01
5,Classic Bingo,231,75000,3.58,2,2,,,2nd Chance,01/06/2026,,,https://www.mslottery.com/wp-content/uploads/2025/12/classicbingo-website-1024x1024.jpg?x42012,2026-01-01
2,Emerald 8s,230,20000,4.54,2,2,,,2nd Chance,01/06/2026,,,https://www.mslottery.com/wp-content/uploads/2025/12/emerald8s-website-1024x1024.jpg?x42012,2026-01-01
5,Double the Money,229,100000,4.92,2,2,,,2nd Chance,12/02/2025,,,https://www.mslottery.com/wp-content/uploads/2025/12/doublethemoney-thumb-1024x1024.jpg?x42012,2026-01-01
2,WINNER$ GALORE,228,25000,4.60,2,2,,,2nd Chance,12/02/2025,,,https://www.mslottery.com/wp-content/uploads/2025/12/winnersgalorethumb-1024x1024.jpg?x42012,2026-01-01
1,Quick 7s,227,7000,4.78,5,3,,,2nd Chance,12/02/2025,,,https://www.mslottery.com/wp-content/uploads/2025/12/quick7s-thumb-1024x1024.jpg?x42012,2026-01-01
20,"Full of $5,000s",225,100000,4.50,3,2,,,2nd Chance,11/04/2025,,,https://www.mslottery.com/wp-content/uploads/2025/10/fullof5000s-thumb-1024x1024.jpg?x42012,2026-01-01
5,Merry Multiplier,224,50000,4.05,2,2,,,2nd Chance,11/04/2025,,,https://www.mslottery.com/wp-content/uploads/2025/10/merrymulti-thumb-1024x1024.jpg?x42012,2026-01-01
2,Candy Cane Cash,223,500,4.40,10,4,,,2nd Chance,11/04/2025,,,https://www.mslottery.com/wp-content/uploads/2025/10/candycanecash-thumb-1024x1024.jpg?x42012,2026-01-01
5,Cash Money,222,100000,4.04,2,1,,,2nd Chance,10/07/2025,,,https://www.mslottery.com/wp-content/uploads/2025/09/cashmoney-thumb-1024x1024.jpg?x42012,2026-01-01
3,Bingo Night,221,30000,4.09,2,2,,,2nd Chance,10/07/2025,,,https://www.mslottery.com/wp-content/uploads/2025/09/bingonight-thumb-1024x1024.jpg?x42012,2026-01-01
1,Lucky Numbers,204,5000,4.82,2,1,,,2nd Chance,10/07/2025,,,https://www.mslottery.com/wp-content/uploads/2025/09/luckynumbersthumb-1024x1024.jpg?x42012,2026-01-01
10,Wild Cherry,226,200000,3.99,4,4,,,2nd Chance,09/10/2025,,,https://www.mslottery.com/wp-content/uploads/2025/09/wildcherry-thumb-1024x1024.jpg?x42012,2026-01-01
5,$500 Loaded,219,500,4.12,1215,186,,,2nd Chance,08/29/2025,,,https://www.mslottery.com/wp-content/uploads/2025/08/500load-thumb.jpg?x42012,2026-01-01
2,$100 Loaded,218,100,4.70,3046,525,,,2nd Chance,08/29/2025,,,https://www.mslottery.com/wp-content/uploads/2025/08/100loadedthumb.jpg?x42012,2026-01-01
5,Break the Bank,217,100000,4.01,2,1,,,2nd Chance,08/05/2025,,,https://www.mslottery.com/wp-content/uploads/2025/07/breakthebank-thumb.jpg?x42012,2026-01-01
