price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
30,Millionaire Maker,232,https://www.mslottery.com/instantgames/millionaire-maker/,https://www.mslottery.com/wp-content/uploads/2025/12/millionairemaker-website-1024x1024.jpg?x42012,1000000,3.84,10,10,,01/06/2026,,,,2nd Chance,2026-01-01
5,Classic Bingo,231,https://www.mslottery.com/instantgames/classic-bingo/,https://www.mslottery.com/wp-content/uploads/2025/12/classicbingo-website-1024x1024.jpg?x42012,75000,3.58,2,2,,01/06/2026,,,,2nd Chance,2026-01-01
2,Emerald 8s,230,https://www.mslottery.com/instantgames/emerald-8s/,https://www.mslottery.com/wp-content/uploads/2025/12/emerald8s-website-1024x1024.jpg?x42012,20000,4.54,2,2,,01/06/2026,,,,2nd Chance,2026-01-01
5,Double the Money,229,https://www.mslottery.com/instantgames/double-the-money/,https://www.mslottery.com/wp-content/uploads/2025/12/doublethemoney-thumb-1024x1024.jpg?x42012,100000,4.92,2,2,,12/02/2025,,,,2nd Chance,2026-01-01
2,WINNER$ GALORE,228,https://www.mslottery.com/instantgames/winner-galore/,https://www.mslottery.com/wp-content/uploads/2025/12/winnersgalorethumb-1024x1024.jpg?x42012,25000,4.60,2,2,,12/02/2025,,,,2nd Chance,2026-01-01
1,Quick 7s,227,https://www.mslottery.com/instantgames/quick-7s/,https://www.mslottery.com/wp-content/uploads/2025/12/quick7s-thumb-1024x1024.jpg?x42012,7000,4.78,5,3,,12/02/2025,,,,2nd Chance,2026-01-01
20,"Full of $5,000s",225,https://www.mslottery.com/instantgames/full-of-5000s/,https://www.mslottery.com/wp-content/uploads/2025/10/fullof5000s-thumb-1024x1024.jpg?x42012,100000,4.50,3,2,,11/04/2025,,,,2nd Chance,2026-01-01
5,Merry Multiplier,224,https://www.mslottery.com/instantgames/merry-multiplier/,https://www.mslottery.com/wp-content/uploads/2025/10/merrymulti-thumb-1024x1024.jpg?x42012,50000,4.05,2,2,,11/04/2025,,,,2nd Chance,2026-01-01
2,Candy Cane Cash,223,https://www.mslottery.com/instantgames/candy-cane-cash/,https://www.mslottery.com/wp-content/uploads/2025/10/candycanecash-thumb-1024x1024.jpg?x42012,500,4.40,10,4,,11/04/2025,,,,2nd Chance,2026-01-01
5,Cash Money,222,https://www.mslottery.com/instantgames/cash-money-2/,https://www.mslottery.com/wp-content/uploads/2025/09/cashmoney-thumb-1024x1024.jpg?x42012,100000,4.04,2,1,,10/07/2025,,,,2nd Chance,2026-01-01
3,Bingo Night,221,https://www.mslottery.com/instantgames/bingo-night/,https://www.mslottery.com/wp-content/uploads/2025/09/bingonight-thumb-1024x1024.jpg?x42012,30000,4.09,2,2,,10/07/2025,,,,2nd Chance,2026-01-01
