,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,10,996,1000000,3.84,,,,"Jun 3, 2025",,,2025-09-02,https://nclottery.com/scratch-off/996/1000000-triple-play,"$1,000,000 Triple Play",1914271,1259931,5.0,4.0,7350800.64,4838135.04,5436529.64,3578204.04,1470160.128,1470160.128,0.0,3.84,-8.2676484871221e-09,6.28,6.231334521820437,0.007018544750492545,0.26041666881970016,0.2604166893399358,2.05202356218237e-08,0.1593607867494396,0.16047926756271427,0.0011184808132746749,0.04045525264842365,0.03296389393810229,8.23950245344453,10.111941332663404,8.0,0.5,0.0017216227909359967,0.49896706065457047,0.0017216227909359967,0.69,0.689803179868003,1.0000001517249217,https://nclottery.com/Content/Images/Instant/nc996_sqr.png,,,,2025-09-02,91.0,28.666666666666668,27.666666666666668,56.0,65.0,51.916666666666664,45.85,69.0,15.0,/north-carolina-statistics-for-each-scratcher-game
1,5,995,200000,4.32,,,,"Jun 3, 2025",,,2025-09-02,https://nclottery.com/scratch-off/995/200000-triple-play,"$200,000 Triple Play",1565317,944507,4.0,3.0,6762169.44,4080270.24,5196852.44,3135763.24,1690542.36,1690542.36,0.0,4.32,-5.881963352597044e-08,6.83,6.746968080913701,0.012186425656282054,0.23148149509713817,0.2314814965434907,1.4463525377372832e-09,0.1464302607425489,0.14821472222891796,0.001784461486369071,0.03262069003528852,0.02643395834844276,10.218353037108061,12.609776178904307,8.0,0.45,-0.0038414820031103794,0.4494315327171977,-0.0038414820031103794,0.6,0.6014479959660984,1.0000000095061434,https://nclottery.com/Content/Images/Instant/nc995_sqr.png,,,,2025-09-02,91.0,40.333333333333336,36.333333333333336,30.0,59.333333333333336,41.916666666666664,41.58333333333333,56.0,15.0,/north-carolina-statistics-for-each-scratcher-game
2,2,994,25000,4.59,,,,"Jun 3, 2025",,,2025-09-02,https://nclottery.com/scratch-off/994/25000-triple-play,"$25,000 Triple Play",1490009,835704,4.0,2.0,6839141.31,3835881.36,5349132.31,3000177.36,1709785.3275,1709785.3275,0.0,4.59,-9.385066067307376e-08,7.76,7.62410344220226,0.018241853737057327,0.21786494419404565,0.21786493362251194,-1.057153370398467e-08,0.1288131722543009,0.13116296330197022,0.0023497910476693307,0.03090992384654769,0.022419695937271684,10.783883961375894,14.867431946201576,9.0,0.42,-0.028059095012861985,0.42042636359157126,-0.028059095012861985,0.56,0.5573849762870681,0.9999999380240977,https://nclottery.com/Content/Images/Instant/nc994_sqr.png,,,,2025-09-02,91.0,44.333333333333336,43.333333333333336,17.0,45.333333333333336,33.583333333333336,36.71666666666667,36.0,4.0,/north-carolina-statistics-for-each-scratcher-game
3,1,993,5000,4.79,,,,"Jun 3, 2025",,,2025-09-02,https://nclottery.com/scratch-off/993/5000-triple-play,"$5,000 Triple Play",1747874,1033560,6.0,6.0,8372316.46,4950752.4,6624442.46,3917192.4000000004,1395386.0766666667,1395386.0766666667,0.0,4.79,-8.079579983482689e-08,7.96,7.97641463595882,-0.0023133219450498775,0.20876828409098255,0.20876827869373302,-5.397249536187587e-09,0.12566030372759532,0.12536961098936064,-0.0002906927382346769,0.03128479972372168,0.024183555066140765,10.654691736351712,13.783165762293756,10.0,0.39,-0.015164800623583703,0.39048512226021426,-0.015164800623583703,0.62,0.6241723811008804,0.9999999625928611,https://nclottery.com/Content/Images/Instant/nc993_sqr.png,,,,2025-09-02,91.0,43.333333333333336,41.0,7.0,53.333333333333336,25.416666666666668,34.016666666666666,24.0,3.0,/north-carolina-statistics-for-each-scratcher-game
4,20,992,2000000,3.35,,,,"May 6, 2025",,,2025-09-02,https://nclottery.com/scratch-off/992/2-million-vault,$2 MILLION VAULT,1547143,904092,3.0,1.0,5182929.05,3028708.2,3635786.05,2124616.2,1727643.0166666666,1727643.0166666666,0.0,3.35,-6.603475378448596e-08,5.28,5.261370776912996,0.003442686757562488,0.2985074823984352,0.298507465566285,-1.6832150229184606e-08,0.1894124491367276,0.1900645368670881,0.00065208773036049,0.03448667605783089,0.02311908345687147,9.665465270556016,14.417740934236619,6.0,0.45,-0.0027579524654985825,0.4481433997598977,-0.0027579524654985825,0.57,0.5709416401284786,0.9999999207222068,https://nclottery.com/Content/Images/Instant/nc992_sqr.png,,,,2025-09-02,119.0,38.0,41.666666666666664,28.0,44.333333333333336,33.916666666666664,37.18333333333333,39.0,5.0,/north-carolina-statistics-for-each-scratcher-game
5,5,991,200000,4.28,,,,"May 6, 2025",,,2025-09-02,https://nclottery.com/scratch-off/991/spicy-hot-riches,SPICY HOT RICHES,1570884,870732,4.0,3.0,6723383.5200000005,3726732.9600000004,5152499.5200000005,2856000.9600000004,1680845.8800000001,1680845.8800000001,0.0,4.28,-2.5759827998617297e-07,7.04,6.960852482438385,0.01117237166142423,0.2336449199996136,0.23364487788364877,-4.211596482672775e-08,0.1420732695562761,0.14366056492691254,0.0015872953706364268,0.03135036128366056,0.02267180808141767,10.632389848059939,14.70213916043003,8.0,0.46,0.00023832604658659973,0.4570744555819951,0.00023832604658659973,0.56,0.5573691199802651,0.999999775827422,https://nclottery.com/Content/Images/Instant/nc991_sqr.png,,,,2025-09-02,119.0,42.666666666666664,42.666666666666664,33.0,35.666666666666664,29.083333333333332,36.61666666666667,35.0,12.0,/north-carolina-statistics-for-each-scratcher-game
6,2,990,20000,4.58,,,,"May 6, 2025",,,2025-09-02,https://nclottery.com/scratch-off/990/lady-luck,LADY LUCK,1427503,807395,4.0,2.0,6537963.74,3697869.1,5110460.74,2890474.1,1634490.935,1634490.935,0.0,4.58,-2.7042601442963527e-08,7.32,7.232788013284155,0.011618034299575796,0.21834061725821008,0.21834063606661586,1.8808405777281934e-08,0.13667141805185634,0.13825927127455448,0.0015878532226981379,0.029273111183711537,0.021604938136385254,11.386853627364001,15.428100538095748,9.0,0.44,-0.011696756601741517,0.43512128201404643,-0.011696756601741517,0.55,0.5442414838210949,1.0000001121595408,https://nclottery.com/Content/Images/Instant/nc990_sqr.png,,,,2025-09-02,119.0,47.666666666666664,45.0,23.0,55.333333333333336,41.25,42.45,58.0,8.0,/north-carolina-statistics-for-each-scratcher-game
7,20,989,2000,9.88,,,,"Apr 1, 2025",,,2025-09-02,https://nclottery.com/scratch-off/989/maximum-money-blowout,Maximum Money Blowout,500563,179056,6166.0,2359.0,4945562.44,1769073.28,4444999.44,1590017.28,802.0698086279599,802.0698086279599,0.0,9.88,-1.582749585914229e-07,9.88,9.879999120989766,-6.930631746335592e-08,0.1012145909185206,0.10121458390371003,-7.014810565753038e-09,0.1012145909185206,0.10121458390371003,-7.014810565753038e-09,0.03762027718943721,0.03762027718943721,8.860031458236067,8.860031458236067,16.0,0.66,0.0005876426615662581,0.6559672777776836,0.0005876426615662581,0.37,0.3654708790877646,0.9999999614014267,https://nclottery.com/Content/Images/Instant/nc989_sqr.png,,,,2025-09-02,154.0,33.0,26.333333333333332,71.0,33.333333333333336,43.75,41.483333333333334,55.0,8.0,/north-carolina-statistics-for-each-scratcher-game
8,10,988,1000000,3.80,,,,"Apr 1, 2025",,,2025-09-02,https://nclottery.com/scratch-off/988/emarld-10s,Emerald 10's,1939243,1054123,5.0,2.0,7369123.399999999,4005667.4,5429880.399999999,2951544.4,1473824.68,1473824.68,0.0,3.8,-9.985851537476864e-08,6.43,6.387515212243299,0.0069103492136593815,0.2631579210154014,0.2631579090211956,-1.1994205795229362e-08,0.155480972332448,0.15655540014734454,0.001074427814896528,0.040289112626350446,0.03076074713887484,8.273468820217426,10.836132561716894,8.0,0.46,-0.004682394547817494,0.46480623576547925,-0.004682394547817494,0.53,0.5233165527758257,0.9999999457194595,https://nclottery.com/Content/Images/Instant/nc988_sqr.png,,,,2025-09-02,154.0,29.0,31.0,39.0,42.666666666666664,37.916666666666664,35.916666666666664,31.0,6.0,/north-carolina-statistics-for-each-scratcher-game
9,5,987,200000,4.31,,,,"Apr 1, 2025",,,2025-09-02,https://nclottery.com/scratch-off/987/prize-link-multiplier,Prize Link Multiplier,1430758,605321,5.0,2.0,6166566.9799999995,2608933.51,4735808.9799999995,2003612.5099999998,1233313.396,1233313.396,0.0,4.31,-1.954821760509024e-07,6.79,6.727043045414828,0.00994142349249385,0.23201860684042097,0.23201859835765967,-8.482761298944652e-09,0.14719044145633484,0.1486537239688994,0.0014632825125645565,0.03389928565601302,0.028216067424139436,9.832889165242387,11.813236552220197,8.0,0.45,-0.003690450058932579,0.4488214147316163,-0.003690450058932579,0.41,0.41283091845788644,0.9999999731888015,https://nclottery.com/Content/Images/Instant/nc987_sqr.png,,,,2025-09-02,154.0,38.666666666666664,33.666666666666664,29.0,40.0,32.75,34.81666666666666,29.0,9.0,/north-carolina-statistics-for-each-scratcher-game
