,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,20,"$2,000,000 Riches",884,2000000,3.20,4.0,3.0,,,,"May 2, 2023",,,2023-05-28,https://nclottery.com/scratch-off/884/2000000-riches
0,5,Super Loteria,883,150000,3.85,6.0,5.0,,,,"May 2, 2023",,,2023-05-28,https://nclottery.com/scratch-off/883/super-loteria
0,2,$100 in a Flash,882,20000,4.63,6.0,6.0,,,,"May 2, 2023",,,2023-05-28,https://nclottery.com/scratch-off/882/100-in-a-flash
0,1,Heads or Tails,881,5000,4.73,5.0,2.0,,,,"May 2, 2023",,,2023-05-28,https://nclottery.com/scratch-off/881/heads-or-tails
0,10,Double Diamond Cashword,880,500000,3.57,4.0,4.0,,,,"Apr 4, 2023",,,2023-05-28,https://nclottery.com/scratch-off/880/double-diamond-cashword
0,5,Living Lucky with Luke Combs,879,200000,4.24,5.0,3.0,,,,"Apr 4, 2023",,,2023-05-28,https://nclottery.com/scratch-off/879/living-lucky-with-luke-combs
0,2,Double Match,878,20000,4.59,6.0,4.0,,,,"Apr 4, 2023",,,2023-05-28,https://nclottery.com/scratch-off/878/double-match
0,1,$50 Loaded,877,5000,4.84,6.0,3.0,,,,"Apr 4, 2023",,,2023-05-28,https://nclottery.com/scratch-off/877/50-loaded
0,30,"$5,000,000 Ultimate",876,5000000,3.01,5.0,5.0,,,,"Mar 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/876/5000000-ultimate
0,10,VIP Platinum,875,1000000,3.63,5.0,3.0,,,,"Mar 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/875/vip-platinum
0,5,Hit $500,874,500,4.37,20432.0,12341.0,,,,"Mar 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/874/hit-500
0,10,50X The Cash,873,1000000,3.75,6.0,3.0,,,,"Feb 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/873/50x-the-cash
