,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,5,677,5000,3.83,,,,01/06/2026,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Fiery 5s,126507,126225,3,3,484521.81,483441.75,358014.81,357216.75,161507.27,161507.27,0.0,3.83,-1.5513761482881608e-06,7.83,7.833174359388893,0.000115457161904278,0.26109701080380027,0.2610970422334636,3.1429663316373535e-08,0.12764742750408012,0.12766216531378413,1.473780970401295e-05,0.04663075370884081,0.02451516565221211,7.147953455616192,13.594030259298995,10.0,0.32,-7.264880157105728e-05,0.3208437017133425,-7.264880157105728e-05,1.0,0.9984186911198879,1.0000538837113069,https://www.nmlottery.com/wp-content/uploads/2026/01/677.jpg,,,,2026-01-09,3,19.0,25.666666666666668,18.5,41.333333333333336,20.583333333333332,25.016666666666666,32.0,8.0,/new-mexico-statistics-for-each-scratcher-game
1,2,670,5000,4.05,,,,01/06/2026,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Betty Boop™,247380,247071,4,4,1001889.0,1000637.5499999999,754509.0,753566.5499999999,250472.25,250472.25,0.0,4.05,-5.496495709607004e-07,5.16,5.16426980886992,5.452850207764708e-05,0.2469137159629316,0.24691358024691357,-1.3571601803485933e-07,0.19362765918110164,0.19363821740731757,1.0558226215928723e-05,0.029619323478249908,0.029920405147162377,11.253401893702494,11.140028557512176,6.0,0.29,-0.0001517200687887835,0.3545886270445726,-0.00011475634454361255,1.0,0.998483802243919,0.9995607028754734,https://www.nmlottery.com/wp-content/uploads/2026/01/670-1.jpg,,,,2026-01-09,3,27.333333333333332,21.333333333333332,17.5,28.333333333333332,20.083333333333332,22.916666666666664,27.0,5.0,/new-mexico-statistics-for-each-scratcher-game
2,10,675,500,2.92,,,,11/17/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,MYSTERY CROSSWORD,128119,113286,100,85,374107.48,330795.12,245988.47999999998,217509.12,3741.0748,3741.0748,0.0,2.92,-3.627623043660762e-07,3.24,3.232947622216269,0.0012225443400432192,0.3424658776583685,0.3424661928271858,3.1516881732196467e-07,0.30893755951571217,0.30931524938052485,0.0003776898648126803,0.04044753852441834,0.04320219525155059,8.240528311938176,7.715074820584828,4.0,0.16,-0.0023499624624540414,0.25842440181985826,-0.0010547874897688754,0.88,0.8710534591011257,1.000007028719862,https://www.nmlottery.com/wp-content/uploads/2025/11/675-1.jpg,,,,2026-01-09,53,22.333333333333332,15.333333333333334,2.0,40.333333333333336,18.583333333333332,19.716666666666665,13.0,4.0,/new-mexico-statistics-for-each-scratcher-game
3,10,672,5000,3.30,,,,11/17/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Más Dinero,112403,91566,3,3,370929.89999999997,302167.8,258526.89999999997,210601.8,123643.29999999999,123643.29999999999,0.0,3.3,-2.6475355746119984e-06,5.92,5.88692091605961,0.0048655155734792215,0.3030311053159346,0.3030310382849548,-6.703097976679118e-08,0.16904559399272587,0.16986808796292552,0.0008224939701996503,0.04962141493388148,0.03217800677296061,6.7170370158746495,10.356941909792198,7.0,0.27,-0.0005228042252968949,0.2749555709260111,-0.0005228042252968949,0.84,0.843161846700955,0.9999990279536218,https://www.nmlottery.com/wp-content/uploads/2025/11/672-1.jpg,,,,2026-01-09,53,17.666666666666668,18.666666666666668,8.0,33.333333333333336,15.916666666666666,18.71666666666667,12.0,3.0,/new-mexico-statistics-for-each-scratcher-game
4,3,646,500,3.97,,,,11/04/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Lucky Numbers,125392,93578,20,14,497806.24000000005,371504.66000000003,372414.24000000005,277926.66000000003,24890.312,24890.312,0.0,3.97,-1.7765591419466417e-06,7.63,7.574765288577124,0.006669786563671197,0.2518896162625436,0.2518892902054214,-3.2605712219080374e-07,0.1311425987337956,0.1320172918767552,0.0008746931429595983,0.04125768034957043,0.023717833780700887,8.078606305057784,14.050069176204614,9.0,0.32,-0.006273000892538203,0.3178189198501227,-0.006273000892538203,0.73,0.7303190799359314,0.9999961925232941,https://www.nmlottery.com/wp-content/uploads/2025/11/646.jpg,,,,2026-01-09,66,22.0,26.333333333333332,17.5,27.0,18.916666666666668,22.35,26.0,5.0,/new-mexico-statistics-for-each-scratcher-game
5,1,647,1000,4.93,,,,11/04/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Tic Tac Multiplier,128751,89607,3,3,634742.4299999999,441762.50999999995,505991.42999999993,352155.50999999995,211580.80999999997,211580.80999999997,0.0,4.93,-1.1544664574325728e-06,6.87,6.8389342010278735,0.004809022854158523,0.20283999076425768,0.20283989400417807,-9.676007961534339e-08,0.14552179680461425,0.14622161445122586,0.0006998176466116168,0.026583346824936713,0.02458695021277752,12.537424161405712,13.554468867852474,8.0,0.3,-0.05148323239035616,0.35543573236267495,-0.04129967988922314,0.7,0.7035832108038618,0.9999989080094112,https://www.nmlottery.com/wp-content/uploads/2025/11/647.jpg,,,,2026-01-09,66,28.0,25.333333333333332,18.5,30.666666666666668,20.916666666666668,24.683333333333334,30.0,4.0,/new-mexico-statistics-for-each-scratcher-game
6,1,661,20,3.93,,,,10/07/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Merry Money,60828,34859,4217,2227,239054.04,136995.87,178226.04,102136.87,56.68817642874081,56.68817642874081,0.0,3.93,-6.350556407346297e-06,3.93,3.9299993424081014,-6.183231259084479e-06,0.2544545421365743,0.2544529687852954,-1.5733512789273263e-06,0.2544545421365743,0.2544529687852954,-1.5733512789273263e-06,0.05661081819580453,0.05661081819580453,5.887161658500004,5.887161658500004,5.0,0.97,-0.05173401684790419,0.9659695609328808,-0.05173401684790419,0.55,0.5519915125056725,0.9999917001243986,https://www.nmlottery.com/wp-content/uploads/2025/10/661-1.jpg,,,,2026-01-09,94,14.666666666666666,14.666666666666666,42.0,19.0,20.416666666666668,22.15,23.0,3.0,/new-mexico-statistics-for-each-scratcher-game
7,3,667,500,3.88,Top Prize Claimed,,,10/07/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Winter Winnings,64091,19040,10,0,248673.08,73875.2,184582.08,54835.2,24867.307999999997,24867.307999999997,0.0,3.88,-2.7072684743485546e-06,8.44,7.832713871739952,0.07777361632184017,0.25773265651438243,0.2577320416772227,-6.148371597403113e-07,0.11845685279187818,0.12766967061160642,0.009212817819728242,0.042974539210481826,0.016981784016211556,7.753372139573708,19.58494614508114,10.0,0.26,-0.06265887261436993,0.258224478285392,-0.06265887261436993,0.22,0.206654939298045,0.9999989917859897,https://www.nmlottery.com/wp-content/uploads/2025/10/667-1.jpg,,,,2026-01-09,94,20.666666666666668,28.333333333333332,3.0,11.0,15.416666666666666,15.683333333333334,6.0,2.0,/new-mexico-statistics-for-each-scratcher-game
8,2,668,500,3.93,,,,10/07/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Merry Money 5X,126633,75880,18,12,497667.69,298208.4,371034.69,222328.40000000002,27648.205,27648.205,0.0,3.93,-1.3413438388282563e-06,6.28,6.208343209291301,0.011315204356801539,0.25445326751797404,0.2544532789998131,1.148183909061018e-08,0.15927138104946884,0.16107356927423358,0.0018021882247647447,0.032941380106205335,0.022817959022452497,10.117635827203243,14.60388464075792,7.0,0.26,-0.04176627510284986,0.30644885449082515,-0.03445297178232221,0.58,0.5745615561070181,1.0000000674635292,https://www.nmlottery.com/wp-content/uploads/2025/10/668-2.jpg,,,,2026-01-09,94,25.666666666666668,27.0,9.0,30.0,19.583333333333332,22.25,25.0,4.0,/new-mexico-statistics-for-each-scratcher-game
9,5,669,1000,3.84,,,,10/07/2025,,,2026-01-09,https://www.nmlottery.com/games/scratchers,Merry Money 10X,64620,18046,9,2,248140.8,69296.64,183520.8,51250.64,27571.199999999997,27571.199999999997,0.0,3.84,-9.235657024569965e-06,8.55,7.878961071950212,0.08460577178857401,0.2604190718078966,0.26041750624647375,-1.5655614228338166e-06,0.11701974139921496,0.12692028693479487,0.00990054553557991,0.05487798722216936,0.03134396893383977,6.072037108066132,10.6207593187614,12.0,0.27,-0.02633679641581707,0.26689852228122835,-0.02633679641581707,0.22,0.21120075869087127,0.9999976706554805,https://www.nmlottery.com/wp-content/uploads/2025/10/669-3.jpg,,,,2026-01-09,94,15.0,19.333333333333332,5.0,7.333333333333333,12.916666666666666,11.916666666666666,1.0,1.0,/new-mexico-statistics-for-each-scratcher-game
