,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,2,$500 4th of July Cash,544,500,3.78,20,14,,,,06/06/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,3,LOTERIA™,557,25000,3.89,4,4,,,,06/06/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,20,"$250,000 Riches",558,250000,2.97,3,3,,,,05/23/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,1,Match 3 Tripler,521,900,4.91,3,1,,,,05/01/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,2,Quick $100s,512,100,3.99,537,370,,,,05/01/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,5,Ca$h Plu$,541,25000,3.60,3,3,,,,05/01/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,2,"$5,000 ORO",545,5000,3.88,3,3,,,,04/03/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,5,ORO Crossword,546,25000,3.57,3,2,,,,04/03/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,10,"$50,000 ORO",547,50000,3.38,3,3,,,,04/03/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,20,"$100,000 ORO",548,100000,2.95,3,2,,,,04/03/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,1,Fast $25s,514,25,4.84,7512,2969,,,,03/06/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,3,Puzzle Payout,537,3000,3.44,3,1,,,,02/06/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,1,3 Times Lucky,513,3000,4.89,3,2,,,,02/06/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,2,Shamrock Gold,543,500,3.88,20,5,,,,02/06/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,1,5X,533,500,4.72,10,1,,,,01/09/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,2,10X™,534,1000,4.04,6,0,Top Prize Claimed,,,01/09/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,5,20X,535,5000,3.60,5,1,,,,01/09/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,10,50X,536,10000,3.07,6,1,,,,01/09/2023,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,10,"$10,000 Crossword Bingo Combo",525,10000,2.95,3,2,,,,12/12/2022,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,2,Happy New Year 2023,542,500,3.88,20,2,,,,12/05/2022,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,5,"$50,000 Money Game",531,50000,3.63,3,2,,,,12/05/2022,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,3,Bingo Doubler,524,5000,3.94,5,2,,,,12/02/2022,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,1,Terrific 10s,520,1000,4.87,5,2,,,,11/01/2022,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,5,Ruby Red 9X / Sapphire Blue 9X,460,1000,3.93,40,17,,,,11/01/2022,,,2023-06-30,https://www.nmlottery.com/games/scratchers
0,10,Bankroll,446,1000,3.69,100,46,,,,11/01/2022,,,2023-06-30,https://www.nmlottery.com/games/scratchers
