,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported
0,601,The Return of the Pink Panther™ Crossword,15000,4,4,2025-08-30
1,601,The Return of the Pink Panther™ Crossword,1000,8,8,2025-08-30
2,601,The Return of the Pink Panther™ Crossword,500,31,31,2025-08-30
3,601,The Return of the Pink Panther™ Crossword,200,250,250,2025-08-30
4,601,The Return of the Pink Panther™ Crossword,100,608,605,2025-08-30
5,601,The Return of the Pink Panther™ Crossword,50,10241,10208,2025-08-30
6,601,The Return of the Pink Panther™ Crossword,30,30266,30179,2025-08-30
7,601,The Return of the Pink Panther™ Crossword,20,30292,30196,2025-08-30
8,601,The Return of the Pink Panther™ Crossword,15,15131,15084,2025-08-30
0,648,Triple Tripler,900,10,9,2025-08-30
1,648,Triple Tripler,90,127,112,2025-08-30
2,648,Triple Tripler,60,253,223,2025-08-30
3,648,Triple Tripler,27,2051,1879,2025-08-30
4,648,Triple Tripler,15,2051,1889,2025-08-30
5,648,Triple Tripler,9,6153,5686,2025-08-30
6,648,Triple Tripler,3,18459,17039,2025-08-30
7,648,Triple Tripler,2,26663,24685,2025-08-30
8,648,Triple Tripler,1,22533,20866,2025-08-30
0,652,10X the Cash,2000,3,3,2025-08-30
1,652,10X the Cash,100,323,296,2025-08-30
2,652,10X the Cash,40,1640,1509,2025-08-30
3,652,10X the Cash,20,3240,2978,2025-08-30
4,652,10X the Cash,10,9703,8962,2025-08-30
5,652,10X the Cash,5,12994,12033,2025-08-30
6,652,10X the Cash,3,38880,36135,2025-08-30
7,652,10X the Cash,2,25920,24138,2025-08-30
8,652,10X the Cash,Ticket,29160,27183,2025-08-30
0,641,Lucky 7s Crossword,10000,4,4,2025-08-30
1,641,Lucky 7s Crossword,200,102,85,2025-08-30
2,641,Lucky 7s Crossword,100,1018,864,2025-08-30
3,641,Lucky 7s Crossword,40,5077,4381,2025-08-30
4,641,Lucky 7s Crossword,20,10171,8763,2025-08-30
5,641,Lucky 7s Crossword,15,30431,26305,2025-08-30
6,641,Lucky 7s Crossword,10,40630,35288,2025-08-30
7,641,Lucky 7s Crossword,5,30495,27015,2025-08-30
0,638,Bags of Money,1000,3,3,2025-08-30
1,638,Bags of Money,500,16,13,2025-08-30
2,638,Bags of Money,100,81,71,2025-08-30
3,638,Bags of Money,50,431,372,2025-08-30
4,638,Bags of Money,30,5017,4401,2025-08-30
5,638,Bags of Money,20,5018,4399,2025-08-30
6,638,Bags of Money,15,5007,4380,2025-08-30
7,638,Bags of Money,10,10019,8797,2025-08-30
8,638,Bags of Money,5,40192,35686,2025-08-30
9,638,Bags of Money,3,60204,53629,2025-08-30
0,664,Winner Winner Chicken Dinner,5000,3,2,2025-08-30
1,664,Winner Winner Chicken Dinner,500,16,13,2025-08-30
2,664,Winner Winner Chicken Dinner,100,672,525,2025-08-30
3,664,Winner Winner Chicken Dinner,50,4200,3333,2025-08-30
4,664,Winner Winner Chicken Dinner,20,8355,6689,2025-08-30
5,664,Winner Winner Chicken Dinner,15,16710,13424,2025-08-30
6,664,Winner Winner Chicken Dinner,10,45954,37070,2025-08-30
7,664,Winner Winner Chicken Dinner,5,58482,48034,2025-08-30
0,642,Wild Cash Multiplier,5000,3,2,2025-08-30
1,642,Wild Cash Multiplier,500,45,39,2025-08-30
2,642,Wild Cash Multiplier,100,378,311,2025-08-30
3,642,Wild Cash Multiplier,80,786,641,2025-08-30
4,642,Wild Cash Multiplier,60,2509,2071,2025-08-30
5,642,Wild Cash Multiplier,40,12168,10087,2025-08-30
6,642,Wild Cash Multiplier,20,24336,20258,2025-08-30
7,642,Wild Cash Multiplier,15,24336,20211,2025-08-30
8,642,Wild Cash Multiplier,10,36504,30314,2025-08-30
0,657,Hit $25,25,4568,3364,2025-08-30
1,657,Hit $25,10,6843,5064,2025-08-30
2,657,Hit $25,5,11436,8496,2025-08-30
3,657,Hit $25,2,34264,26179,2025-08-30
4,657,Hit $25,1,38830,30050,2025-08-30
0,658,Hit $50,50,3360,2565,2025-08-30
1,658,Hit $50,20,3360,2565,2025-08-30
2,658,Hit $50,10,3360,2591,2025-08-30
3,658,Hit $50,5,23520,18194,2025-08-30
4,658,Hit $50,3,30240,23699,2025-08-30
5,658,Hit $50,2,26880,21227,2025-08-30
0,659,Hit $200,200,540,355,2025-08-30
1,659,Hit $200,100,251,168,2025-08-30
2,659,Hit $200,50,940,625,2025-08-30
3,659,Hit $200,20,12368,8174,2025-08-30
4,659,Hit $200,15,12368,8202,2025-08-30
5,659,Hit $200,10,24736,16551,2025-08-30
6,659,Hit $200,5,43288,29413,2025-08-30
0,660,Hit $500,500,300,216,2025-08-30
1,660,Hit $500,250,201,145,2025-08-30
