,price,gameName,gameNumber,topprize,startDate,overallodds,gameURL,gamePhoto
0,1,5X,590,500,05/07/2024,4.72,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/05/590.jpg
1,2,10X,591,1000,05/07/2024,4.02,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/05/591.jpg
2,5,20X,592,5000,05/07/2024,3.59,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/05/592.jpg
3,10,50X,593,10000,05/07/2024,3.09,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/05/593.jpg
4,20,Cash Spectacular,584,100000,04/23/2024,3.42,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/04/584-1.jpg
5,1,Double Doubler,587,400,04/02/2024,4.77,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/04/587.jpg
6,2,Mad Money,484,1000,04/02/2024,4.14,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/04/484.jpg
7,5,Win $500!,580,500,04/02/2024,3.63,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/04/580.jpg
8,1,Match 2 Win,554,2000,03/05/2024,4.97,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/03/554.jpg
9,2,Super 7s,583,5000,03/05/2024,3.99,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/03/583-1.jpg
10,5,Guy Fieri Flavortown Fortune!,572,50000,03/05/2024,3.72,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/03/572-1.jpg
11,10,Wild Cherry Crossword,550,50000,03/05/2024,3.09,https://www.nmlottery.com/games/scratchers,https://www.nmlottery.com/wp-content/uploads/2024/03/550.jpg
