,price,gameNumber,topprize,overallodds,topprizeodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,topprizeodds_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,30,1464,10000000,3.64,3609120.00,Top Prize Claimed,,,2020-09-22,,2026-05-07,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1464,"$10,000,000 BONUS             ",4949938,197439,5,0,inf,18017774.32,718677.9600000001,13067836.32,521238.9600000001,inf,,3.64,-1.3357860591759803e-06,3.64,3.6399999353527255,-1.318025842297454e-06,0.274725641699957,0.2747252796044617,-3.620954953098554e-07,0.274725641699957,0.2747252796044617,-3.620954953098554e-07,0.04636287598857316,0.04636287598857316,7.189398596854487,7.189398596854487,4.0,0.37,-0.006820786230773202,0.3705364162203605,-0.006820786230773202,0.04,0.044664470400904314,0.9999999452436096,https://edit.nylottery.ny.gov/sites/default/files/2020-09/10milBonus_1464.jpg,,,,12/23/2025,1918,44.0,42.0,36.0,21.0,,35.75,8.0,2.0,/new-york-statistics-for-each-scratcher-game
1,2,1453,1000 A Week for Life,3.75,9119000.00,,,,2020-12-02,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1453,WIN FOR LIFE                  ,12158004,1403686,5,1,5263822.5,45592515.0,5263822.5,33434511.0,3860136.5,5263822.5,0.0,3.75,-9.498800537244279e-08,23.73,10.651526011512079,1.2275626611230848,0.2666666919968038,0.26666666666666666,-2.5330137154444543e-08,0.0421461819947559,0.0938832613204163,0.0517370793256604,0.041914534671495994,0.004933608597712628,7.952645721369035,67.5432276203085,27.0,0.38,-0.10305416950900245,0.3836563052474039,-0.10305416950900245,0.08,0.05741962831508841,0.9999999876018794,https://edit.nylottery.ny.gov/sites/default/files/2020-12/WFL_1453.jpg,,,,12/23/2025,1847,47.333333333333336,74.0,50.0,40.0,61.583333333333336,54.583333333333336,53.0,7.0,/new-york-statistics-for-each-scratcher-game
2,30,1489,10000000,3.64,3521600.00,Top Prize Claimed,,,2021-08-03,,2026-11-06,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1489,"$10,000,000 DELUXE            ",4836861,118204,5,0,inf,17606174.04,430262.56,12769313.04,312058.56,inf,,3.64,-1.3015308606203698e-06,3.64,3.639999991730174,-1.2992589333092276e-06,0.27472563228916336,0.2747252753494314,-3.569397319380663e-07,0.27472563228916336,0.2747252753494314,-3.569397319380663e-07,0.04766322949593084,0.04766322949593084,6.993097539517232,6.993097539517232,4.0,0.35,-0.008312649625372063,0.35088542949799584,-0.008312649625372063,0.03,0.025166122315663474,0.9999999674531126,https://edit.nylottery.ny.gov/sites/default/files/2021-07/10milDeluxe_1489.jpg,,,,12/23/2025,1603,43.0,41.333333333333336,27.0,20.666666666666668,,33.0,4.0,1.0,/new-york-statistics-for-each-scratcher-game
3,5,1510,500000,4.01,3271500.00,Top Prize Claimed,,,2022-02-01,,2026-02-27,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1510,LOOSE CHANGE MULTIPLIER       ,3261832,144924,4,0,inf,13079946.319999998,581145.24,9818114.319999998,436221.24,inf,,4.01,-4.1297765761286874e-07,7.31,7.177429196673347,0.018739614593552268,0.24937666159048086,0.24937656470447203,-9.688600882684639e-08,0.136762770048783,0.13932565165024383,0.0025628816014608147,0.04077117741774184,0.02929564799975426,8.17524905858246,11.376625633820938,9.0,0.35,-0.030547200624988474,0.3474313639453149,-0.030547200624988474,0.03,0.032553085101862875,0.9999999819356816,https://edit.nylottery.ny.gov/sites/default/files/2021-12/looseChangeMultiplier_1510.jpg,,,,12/23/2025,1421,50.0,47.333333333333336,24.0,28.666666666666668,,37.5,9.0,5.0,/new-york-statistics-for-each-scratcher-game
4,30,1512,10000000,3.62,4319110.00,,,,2022-03-01,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1512,X SERIES: 200X                ,5958240,790127,5,1,2860259.74,21568828.8,2860259.74,15610588.8,2070132.7400000002,2860259.74,0.0,3.62,-2.58717762498979e-07,3.62,3.6199998657321624,-2.2162720780849542e-07,0.2762431653916656,0.27624310416866416,-6.122300144628667e-08,0.2762431653916656,0.27624310416866416,-6.122300144628667e-08,0.04710212564435511,0.04710212564435511,7.076758071519379,7.076758071519379,4.0,0.5,0.0023918429363921612,0.4997812552406384,0.0023918429363921612,0.13,0.13304092433734424,0.9999999661165236,https://edit.nylottery.ny.gov/sites/default/files/2022-09/200X_1512_P2.jpg,,,,12/23/2025,1393,43.666666666666664,41.666666666666664,85.0,42.666666666666664,48.75,52.35,46.0,4.0,/new-york-statistics-for-each-scratcher-game
5,10,1517,3000000,3.94,4508650.00,Top Prize Claimed,,,2022-04-05,,2026-02-25,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1517,ELECTRIC 10X                  ,4582300,172030,4,0,inf,18054262.0,677798.2,13471962.0,505768.19999999995,inf,,3.94,-2.950730762944388e-07,8.82,8.067854975551903,0.09368060737680776,0.2538071814906506,0.25380710659898476,-7.48916658688259e-08,0.11333170059516257,0.12394868314196393,0.010616982546801365,0.043883237363909054,0.018072683549104785,7.595579446909084,18.43961446284693,10.0,0.34,-0.04067959189386719,0.3374220638007194,-0.04067959189386719,0.04,0.03629133519211835,0.9999999884901786,https://edit.nylottery.ny.gov/sites/default/files/2022-03/electric10X_1517.jpg,,,,12/23/2025,1358,46.0,66.33333333333333,21.0,34.0,,41.83333333333333,21.0,4.0,/new-york-statistics-for-each-scratcher-game
6,2,1531,20000,5.09,2731758.33,,,,2022-07-14,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1531,CASHWORD DOUBLER              ,16099110,1163492,30,1,5922174.28,81944469.89999999,5922174.28,65845359.89999999,4758682.28,5922174.28,0.0,5.09,-4.7279932424944117e-08,13.57,8.301613255678884,0.6351677790362248,0.19646366351275732,0.1964636563817382,-7.131019108541636e-09,0.07366737282626279,0.12045851441175365,0.04679114158549086,0.03430769724468691,0.011916843020656641,9.715911487933198,27.969820730502082,16.0,0.16,-0.31573610778254085,0.16435991242405237,-0.31573610778254085,0.03,0.024686472035953765,0.9999999971724548,https://edit.nylottery.ny.gov/sites/default/files/2022-04/cashwordDoubler_1531_1.jpg,,,,12/23/2025,1258,63.333333333333336,72.33333333333333,4.0,35.333333333333336,51.75,45.35,30.0,3.0,/new-york-statistics-for-each-scratcher-game
7,20,1528,5000000,3.55,5186687.50,,,,2022-07-05,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1528,"$300,000,000 CASH PAYOUT      ",5850825,994923,4,2,1765988.325,20770428.75,3531976.65,14919603.75,2537053.65,1765988.325,0.0,3.55,-1.8403292661302248e-07,5.99,5.888542979949598,0.016733665546646466,0.281690192685341,0.2816901510166281,-4.1668712924547435e-08,0.16702633313476647,0.1698212959309264,0.0027949627961599277,0.0333787457409124,0.020120171146284883,9.986294577076693,16.566656921241123,7.0,0.53,0.009083430658906676,0.525291366645753,0.009083430658906676,0.19,0.18921141640616007,0.9999999696919564,https://edit.nylottery.ny.gov/sites/default/files/2022-05/3milpayout_1528.jpg,,,,12/23/2025,1267,65.33333333333333,61.333333333333336,87.0,55.666666666666664,59.583333333333336,65.78333333333333,87.0,6.0,/new-york-statistics-for-each-scratcher-game
8,20,1540,1000000,3.91,1089650.00,,,,2022-10-04,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1540,MILLIONAIRE MAKER             ,5573263,1243350,20,4,1215374.625,21791458.330000002,4861498.5,16218195.330000002,3618148.5,1215374.625,0.0,3.91,-1.0284894675047108e-07,6.47,6.420660355649552,0.008329623804762402,0.25575450200740596,0.2557544795763551,-2.243105085009134e-08,0.15446062098554808,0.15574721985100767,0.0012865988654595928,0.0369298564111493,0.02716619380934931,9.026054956749322,12.269951726377139,8.0,0.46,-0.0010344407932511908,0.45894372475315226,-0.0010344407932511908,0.22,0.21962311091023928,0.9999999748150814,https://edit.nylottery.ny.gov/sites/default/files/2022-07/millionaireMaker_1540.jpg,,,,12/23/2025,1176,58.666666666666664,52.0,80.0,62.0,59.416666666666664,62.416666666666664,72.0,4.0,/new-york-statistics-for-each-scratcher-game
9,30,1546,5000000,3.59,5481975.00,,,,2022-12-06,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1546,VIP MILLIONS                  ,6109401,2186775,4,2,3925261.125,21932749.59,7850522.25,15823348.59,5663747.25,3925261.125,0.0,3.59,-3.1845015142349015e-08,3.59,3.589999903427521,-4.9446033247755754e-09,0.2785515409039042,0.27855153952657735,-1.3773268636718683e-09,0.2785515409039042,0.27855153952657735,-1.3773268636718683e-09,0.049072290706090885,0.049072290706090885,6.79267857927736,6.79267857927736,4.0,0.48,0.0008770989799305439,0.4750249940916881,0.0008770989799305439,0.38,0.376058030085246,0.9999999972434958,https://edit.nylottery.ny.gov/sites/default/files/2022-08/VIPmillions_1546.jpg,,,,12/23/2025,1113,42.0,40.666666666666664,82.0,84.33333333333333,65.25,62.85,76.0,5.0,/new-york-statistics-for-each-scratcher-game
