,price,gameName,gameNumber,topprize,overallodds,topprizeodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,30,"$10,000,000 BLACK TITANIUM    ",1406,10000000,3.53,3598330.00,10,0,Top Prize Claimed,,,2019-10-01,,2025-02-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1406
0,30,"$10,000,000 BONUS             ",1464,10000000,3.64,3609120.00,5,1,,,,2020-09-22,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1464
0,2,WIN FOR LIFE                  ,1453,1000 A Week for Life,3.75,9119000.00,5,1,,,,2020-12-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1453
0,30,200X                          ,1468,10000000,3.64,3501640.00 ,5,0,Top Prize Claimed,,,2021-02-02,,2025-05-28,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1468
0,2,CASHWORD                      ,1475,10000,5.02,1700656.25,24,1,,,,2021-03-17,,2024-12-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1475
0,1,LOOSE CHANGE                  ,1476,500,4.7,48067.66,3174,58,,,,2021-03-22,,2025-07-26,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1476
0,2,CASHWORD DOUBLER              ,1477,20000,5.09,2732733.33,30,3,,,,2021-04-01,,2025-02-16,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1477
0,20,"$5,000,000 RICHES             ",1483,5000000,3.35,4393200.00,4,1,,,,2021-05-04,,2024-09-29,10/08/2024,https://nylottery.ny.gov/scratch-off-game?game=1483
0,20,"$10,000 A WEEK FOR LIFE       ",1478,10000 A Week For Life,3.39,6123583.33,3,0,Top Prize Claimed,,,2021-07-06,,2024-10-02,10/08/2024,https://nylottery.ny.gov/scratch-off-game?game=1478
0,30,"$10,000,000 DELUXE            ",1489,10000000,3.64,3521600.00,5,1,,,,2021-08-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1489
0,20,X SERIES: 100X                ,1509,5000000,3.68,4408000.00,5,0,Top Prize Claimed,,,2022-02-01,,2024-11-21,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1509
0,5,LOOSE CHANGE MULTIPLIER       ,1510,500000,4.01,3271500.00,4,1,,,,2022-02-01,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1510
0,30,X SERIES: 200X                ,1512,10000000,3.62,4319110.00,5,2,,,,2022-03-01,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1512
0,2,WINNER$ GALORE                ,1514,25000,4.8,1033300.00,10,0,Top Prize Claimed,,,2022-03-01,,2023-11-10,10/08/2024,https://nylottery.ny.gov/scratch-off-game?game=1514
0,10,ELECTRIC 10X                  ,1517,3000000,3.94,4508650.00,4,1,,,,2022-04-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1517
0,5,POWER SPOT                    ,1522,500000,4.27,2652000.00,4,1,,,,2022-05-03,,2025-10-18,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1522
0,1,INSTANT TAKE 5                ,1516,5555,4.69,545778.95 ,95,18,,,,2022-03-31,,2025-09-20,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1516
0,5,"$1,000,000 LUCKY DOG          ",1518,1000000,3.9,2591250,4,1,,,,2022-04-05,,2024-09-29,10/08/2024,https://nylottery.ny.gov/scratch-off-game?game=1518
0,2,CASHWORD DOUBLER              ,1531,20000,5.09,2731758.33,30,1,,,,2022-07-13,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1531
0,10,FAST $500!                    ,1524,500000,4.17,4511137.50,4,0,Top Prize Claimed,,,2022-06-07,,2025-04-10,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1524
0,5,FAST $250!                    ,1525,250000,4.12,3086400.00,4,1,,,,2022-06-07,,2025-09-06,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1525
0,2,FAST $100!                    ,1526,10000,4.9,1233900.00,10,0,Top Prize Claimed,,,2022-06-07,,2025-01-19,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1526
0,2,CASHWORD                      ,1515,10000,5.02,1705729.17,24,0,Top Prize Claimed,,,2022-04-14,,2025-02-12,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1515
0,3,MYSTERY MULTIPLIER CASHWORD   ,1530,60000,4.18,3065966.67,6,0,Top Prize Claimed,,,2022-07-05,,2025-03-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1530
0,5,EXTREME 8S                    ,1533,888888,4.36,3452100,3,1,,,,2022-07-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1533
0,20,"$300,000,000 CASH PAYOUT      ",1528,5000000,3.55,5186687.50,4,2,,,,2022-07-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1528
0,2,$25K CASH BONUS               ,1535,25000,4.8,1025200.00,10,0,Top Prize Claimed,,,2022-08-02,,2024-02-28,10/08/2024,https://nylottery.ny.gov/scratch-off-game?game=1535
0,5,MULTIPLIER MONEY              ,1537,1000000,4.26,3082100.00,4,1,,,,2022-08-02,,2025-09-20,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1537
0,5,CASH TO GO!                   ,1538,500000,4.04,4110933.33,3,1,,,,2022-09-06,,2025-08-23,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1538
0,2,WIN FOR LIFE                  ,1532,1000 a Week for Life ,3.75,9292550.00,5,0,Top Prize Claimed,,,2022-07-19,,2025-09-16,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1532
0,20,MILLIONAIRE MAKER             ,1540,1000000,3.91,1089650.00,20,8,,,,2022-10-04,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1540
0,5,DOUBLE BONUS 7S               ,1529,777777,4.4,2576625.00,4,0,Top Prize Claimed,,,2022-10-04,,2025-05-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1529
0,30,VIP MILLIONS                  ,1546,5000000,3.59,5481975.00,4,2,,,,2022-12-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1546
0,5,"$1,000,000 GOLDEN FORTUNE     ",1547,1000000,4.06,2590025.00,4,2,,,,2022-12-06,,2025-07-26,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1547
0,1,HOLIDAY 7S / LUCKY 7S         ,1550,7000,4.96,1296850.00,20,3,,,,2022-12-06,,2024-12-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1550
0,1,LOOSE CHANGE                  ,1552,500,4.7,49244.13,3128,57,,,,2022-10-20,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1552
0,3,LOTERIA                       ,1541,60000,4.4,2676933.33,6,1,,,,2022-10-04,,2025-11-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1541
0,10,CASH X50                      ,1554,3000000,3.91,5530175.00,4,0,Top Prize Claimed,,,2023-01-03,,2024-12-13,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1554
0,5,CASH X20                      ,1555,1000000,4.11,4513950.00,4,0,Top Prize Claimed,,,2023-01-03,,2025-03-25,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1555
0,2,CASH X10                      ,1556,25000,4.8,1680483.33,15,2,,,,2023-01-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1556
0,1,CASH X5                       ,1557,5000,4.82,1309662.50 ,20,0,Top Prize Claimed,,,2023-01-03,,2025-08-19,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1557
0,10,SET FOR LIFE                  ,1548,5000 a Week for Life,3.96,7061692.86,7,1,,,,2022-11-28,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1548
0,20,CASH X100                     ,1558,5000000,3.68,4498390.00,5,0,Top Prize Claimed,,,2023-02-07,,2025-11-05,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1558
0,5,HIT IT BIG!                   ,1559,1000000,4.55,3804233.33,3,2,,,,2023-02-07,,2025-11-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1559
0,3,CASHWORD X15                  ,1560,60000,4.2,2386383.33,6,0,Top Prize Claimed,,,2023-02-07,,2025-03-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1560
0,5,DOUBLE TRIPLE CASHWORD        ,1549,300000,5.14,4152960.00,10,0,Top Prize Claimed,,,2022-12-22,,2025-07-23,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1549
0,10,INSTANT $500                  ,1561,500,4.19,326.45,56773,20254,,,,2023-03-07,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1561
0,5,BREAK THE BANK                ,1562,500000,4.16,3086525.00,4,1,,,,2023-03-07,,2025-08-09,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1562
0,2,TRIPLE WINNING 7'S            ,1563,25000,4.84,1001300.00,10,0,Top Prize Claimed,,,2023-03-07,,2025-01-19,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1563
0,30,"$100, $200 OR $500            ",1565,500,6.45,99.87,61883,970,,,,2023-04-04,,2025-03-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1565
0,1,MATCH 2 WIN                   ,1566,5000,5.22,672212.50,20,1,,,,2023-04-04,,2025-03-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1566
0,5,HGTV'S MY LOTTERY DREAM HOME  ,1564,1000000,4.09,2470266.67,3,0,Top Prize Claimed,,,2023-04-04,,2024-09-13,10/08/2024,https://nylottery.ny.gov/scratch-off-game?game=1564
0,10,TRIPLE JACKPOT 777            ,1567,3000000,4.23,4632187.50,4,1,,,,2023-05-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1567
