,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1406,"$10,000,000 BLACK TITANIUM    ",10000000,10.0,1.0,2.72178832380027e-07,0.1,2.779256964533128,2.7217801584352985,05/26/2023
1,1406,"$10,000,000 BLACK TITANIUM    ",100000,20.0,2.0,5.44357664760054e-07,0.1,0.05556863045476673,0.054419435746062596,05/26/2023
2,1406,"$10,000,000 BLACK TITANIUM    ",5000,40.0,4.0,1.088715329520108e-06,0.1,0.005525179421030122,0.005410915187714936,05/26/2023
3,1406,"$10,000,000 BLACK TITANIUM    ",2000,1820.0,188.0,5.116962048744507e-05,0.10329670329670329,0.09964777814970524,0.1008041523602668,05/26/2023
4,1406,"$10,000,000 BLACK TITANIUM    ",600,8315.0,797.0,0.0002169265294068815,0.09585087191822009,0.1317246686365358,0.12364812176192246,05/26/2023
5,1406,"$10,000,000 BLACK TITANIUM    ",500,11086.0,1035.0,0.00028170509151332794,0.09336099585062241,0.14481139516561253,0.13240139301126413,05/26/2023
6,1406,"$10,000,000 BLACK TITANIUM    ",400,24149.0,2275.0,0.0006192068436645614,0.09420679945339351,0.24833096780799235,0.2291065321558877,05/26/2023
7,1406,"$10,000,000 BLACK TITANIUM    ",200,72078.0,6863.0,0.0018679633266241251,0.09521629345986293,0.3405506035841628,0.31755376552610126,05/26/2023
8,1406,"$10,000,000 BLACK TITANIUM    ",150,719666.0,68725.0,0.018705490255317352,0.09549568827761767,2.400171291679113,2.244658830638082,05/26/2023
9,1406,"$10,000,000 BLACK TITANIUM    ",100,719666.0,70565.0,0.019206299306896605,0.09805242987719304,1.4000999201461495,1.3444409514827624,05/26/2023
10,1406,"$10,000,000 BLACK TITANIUM    ",75,719666.0,74057.0,0.020156747789567657,0.1029046807824741,0.9000642343796675,0.9070536505305445,05/26/2023
11,1406,"$10,000,000 BLACK TITANIUM    ",60,2878664.0,297267.0,0.08090978496511347,0.10326561210339241,2.400171291679113,2.427293548953404,05/26/2023
12,1406,"$10,000,000 BLACK TITANIUM    ",50,5037662.0,519030.0,0.1412689793702054,0.10302993730027937,2.8001998402922985,2.8253795874041083,05/26/2023
13,1406,"$10,000,000 BLACK TITANIUM    ",0,25787890.259999998,2633246.77,0.7167140312270774,0.10211175646595916,-21.501416585966062,-21.501420936812323,05/26/2023
14,1406,"$10,000,000 BLACK TITANIUM    ",Total,35980732.26,3674055.77,1.000000209577701,0.10211175646595916,,,05/26/2023
0,1439,"$5,000,000 MEGA MULTIPLIER    ",5000000,5.0,0.0,0.0,0.0,1.1226762697485722,0.0,05/26/2023
1,1439,"$5,000,000 MEGA MULTIPLIER    ",50000,58.0,3.0,2.3201945869860284e-06,0.05172413793103448,0.13017887582742133,0.1159633254575617,05/26/2023
2,1439,"$5,000,000 MEGA MULTIPLIER    ",20000,33.0,2.0,1.546796391324019e-06,0.06060606060606061,0.029609133304374157,0.0309049918986539,05/26/2023
3,1439,"$5,000,000 MEGA MULTIPLIER    ",5000,309.0,12.0,9.280778347944114e-06,0.038834951456310676,0.06910414431315716,0.04621827617276168,05/26/2023
4,1439,"$5,000,000 MEGA MULTIPLIER    ",2000,1957.0,113.0,8.739399610980707e-05,0.05774144098109351,0.17400923086084152,0.173040112297418,05/26/2023
5,1439,"$5,000,000 MEGA MULTIPLIER    ",500,60256.0,2976.0,0.00230163303029014,0.04938927243759957,1.2988464365371692,1.1047838545392672,05/26/2023
