,price,gameName,gameNumber,topprize,topprizeremain,startDate,lastdatetoclaim,overallodds,gameURL,gamePhoto
0,5,DOUBLE TRIPLE CASHWORD        ,1549,300000,10,2022-12-22,          ,5.14,https://nylottery.ny.gov/scratch-off-game?game=1549,https://edit.nylottery.ny.gov/sites/default/files/2022-12/doubleTripleCashword_1549.jpg
1,3,CASHWORD X15                  ,1560,60000,6,2023-02-07,          ,4.2,https://nylottery.ny.gov/scratch-off-game?game=1560,https://edit.nylottery.ny.gov/sites/default/files/2022-12/Cashword15X_1560.jpg
2,5,HIT IT BIG!                   ,1559,1000000,3,2023-02-07,          ,4.55,https://nylottery.ny.gov/scratch-off-game?game=1559,https://edit.nylottery.ny.gov/sites/default/files/2022-12/hitItBig_1559.jpg
3,20,CASH X100                     ,1558,5000000,5,2023-02-07,          ,3.68,https://nylottery.ny.gov/scratch-off-game?game=1558,https://edit.nylottery.ny.gov/sites/default/files/2022-12/cashX100_1558.jpg
4,10,SET FOR LIFE                  ,1548,5000 a Week for Life,7,2022-11-28,          ,3.96,https://nylottery.ny.gov/scratch-off-game?game=1548,https://edit.nylottery.ny.gov/sites/default/files/2022-11/SetForLife_1548.jpg
5,1,CASH X5                       ,1557,5000,16,2023-01-03,          ,4.82,https://nylottery.ny.gov/scratch-off-game?game=1557,https://edit.nylottery.ny.gov/sites/default/files/2022-10/cashX5_1557.jpg
6,2,CASH X10                      ,1556,25000,13,2023-01-03,          ,4.8,https://nylottery.ny.gov/scratch-off-game?game=1556,https://edit.nylottery.ny.gov/sites/default/files/2022-10/cashX10_1556.jpg
7,5,CASH X20                      ,1555,1000000,4,2023-01-03,          ,4.11,https://nylottery.ny.gov/scratch-off-game?game=1555,https://edit.nylottery.ny.gov/sites/default/files/2022-10/cashX20_1555.jpg
8,10,CASH X50                      ,1554,3000000,3,2023-01-03,          ,3.91,https://nylottery.ny.gov/scratch-off-game?game=1554,https://edit.nylottery.ny.gov/sites/default/files/2022-10/cashX50_1554.jpg
9,3,LOTERIA                       ,1541,60000,5,2022-10-04,          ,4.4,https://nylottery.ny.gov/scratch-off-game?game=1541,https://edit.nylottery.ny.gov/sites/default/files/2022-10/loteria_1541.jpg
10,1,LOOSE CHANGE                  ,1552,500,1073,2022-10-20,          ,4.7,https://nylottery.ny.gov/scratch-off-game?game=1552,https://edit.nylottery.ny.gov/sites/default/files/2022-09/looseChange_1552.jpg
11,10,"$1,000,000 BONUS WORD CASHWORD",1551,1000000,4,2022-10-19,          ,4.35,https://nylottery.ny.gov/scratch-off-game?game=1551,https://edit.nylottery.ny.gov/sites/default/files/2022-09/1milBonusCashword_1551.jpg
12,1,HOLIDAY 7S / LUCKY 7S         ,1550,7000,14,2022-12-06,          ,4.96,https://nylottery.ny.gov/scratch-off-game?game=1550,https://edit.nylottery.ny.gov/sites/default/files/2022-08/holiday7s_1550.jpg
13,5,"$1,000,000 GOLDEN FORTUNE     ",1547,1000000,2,2022-12-06,          ,4.06,https://nylottery.ny.gov/scratch-off-game?game=1547,https://edit.nylottery.ny.gov/sites/default/files/2022-08/1milGoldenFortune_1547.jpg
14,30,VIP MILLIONS                  ,1546,5000000,4,2022-12-06,          ,3.59,https://nylottery.ny.gov/scratch-off-game?game=1546,https://edit.nylottery.ny.gov/sites/default/files/2022-08/VIPmillions_1546.jpg
15,2,HOLIDAY LUCK                  ,1545,20000,3,2022-11-01,          ,4.51,https://nylottery.ny.gov/scratch-off-game?game=1545,https://edit.nylottery.ny.gov/sites/default/files/2022-08/holidayLuck_1545.jpg
16,5,HOLIDAY FUN!                  ,1544,500000,2,2022-11-01,          ,3.98,https://nylottery.ny.gov/scratch-off-game?game=1544,https://edit.nylottery.ny.gov/sites/default/files/2022-08/holidayFun_1544.jpg
17,10,"HOLIDAY $1,000,000!           ",1543,1000000,1,2022-11-01,          ,3.46,https://nylottery.ny.gov/scratch-off-game?game=1543,https://edit.nylottery.ny.gov/sites/default/files/2022-08/holidayMillion_1543.jpg
18,5,DOUBLE BONUS 7S               ,1529,777777,2,2022-10-04,          ,4.4,https://nylottery.ny.gov/scratch-off-game?game=1529,https://edit.nylottery.ny.gov/sites/default/files/2022-07/doubleBonus7s_1529.jpg
19,20,MILLIONAIRE MAKER             ,1540,1000000,17,2022-10-04,          ,3.91,https://nylottery.ny.gov/scratch-off-game?game=1540,https://edit.nylottery.ny.gov/sites/default/files/2022-07/millionaireMaker_1540.jpg
20,1,"$5,000 CASH!                  ",1539,5000,6,2022-09-06,          ,5.34,https://nylottery.ny.gov/scratch-off-game?game=1539,https://edit.nylottery.ny.gov/sites/default/files/2022-07/5Kcash_1539.jpg
