gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,gameURL,gamePhoto,dateexported,topprizeodds,Winning Tickets Unclaimed,Overall Rank,Rank by Cost,Expected Value of Any Prize (as % of cost)
1008,VIP Millions,50.0,2000000.0,0.0,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$50-games/vip-millions,https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=749561d5-8fec-4679-a239-10085bb3fa73&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=0f0df93a-e733-4cb9-95fb-c5ab385db908&pt=The%20Ohio%20Lottery%20%3A%3A%20VIP%20Millions&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2450-games%2Fvip-millions&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,8921425.0,0,0,0
827,50th Anniversary,50.0,15000000.0,3.97,0,500.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$50-games/50th-anniversary,https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=7955b36a-80c2-4752-a666-df0271affcc0&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=08b164c4-b1c3-48a3-b1e0-8ecab51b361a&pt=The%20Ohio%20Lottery%20%3A%3A%2050th%20Anniversary&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2450-games%2F50th-anniversary&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,9251493.0,0,0,0
762,Billion,50.0,2000000.0,4.1,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$50-games/billion,https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=d32ff10a-f790-4097-96a9-b46c7fdd5e5d&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=17ec8809-cbe7-4a93-8358-1c2c0e3dd5d2&pt=The%20Ohio%20Lottery%20%3A%3A%20Billion&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2450-games%2Fbillion&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,11070690.0,0,0,0
1049,Holiday Millions,30.0,2000000.0,3.21,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$30-games/holiday-millions,https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=9af3d94a-8c6f-4091-a9ce-5a6970a7baf7&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=16bdf184-ad2a-44f7-a980-e3470b780df8&pt=The%20Ohio%20Lottery%20%3A%3A%20Holiday%20Millions&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2430-games%2Fholiday-millions&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,8818160.0,0,0,0
1051,"$2,000,000 Cashword",30.0,2000000.0,3.37,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$30-games/$2,000,000-cashword-2",https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=7d1cfa59-553c-4df6-8d35-b2b84753f475&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=54c99c11-24aa-40a8-a0c5-db5887f4c318&pt=The%20Ohio%20Lottery%20%3A%3A%20%242%2C000%2C000%20Cashword&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2430-games%2F%242%2C000%2C000-cashword-2&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,9559448.0,0,0,0
1024,Royal Riches,30.0,2000000.0,3.95,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$30-games/royal-riches,https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=5a21acdf-e8a3-466b-9a7e-7e709cb82245&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=3ccc07fb-8392-40f6-8200-d8a74a6778e2&pt=The%20Ohio%20Lottery%20%3A%3A%20Royal%20Riches&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2430-games%2Froyal-riches&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,9167068.0,0,0,0
863,"$2,000,000 Cashword",30.0,2000000.0,3.37,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$30-games/$2,000,000-cashword",https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=fe7a7d30-3635-4ba6-aaa8-cea385826dd7&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=5778cda8-2a79-4630-945d-3fe08bc75086&pt=The%20Ohio%20Lottery%20%3A%3A%20%242%2C000%2C000%20Cashword&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2430-games%2F%242%2C000%2C000-cashword&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,8575848.0,0,0,0
853,Money Maker,30.0,2000000.0,2.98,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$30-games/money-maker,https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=8b353581-3ef2-4c63-b97c-0d576c6bceb6&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=f9e9afde-2b39-4921-9404-2987cf625f5c&pt=The%20Ohio%20Lottery%20%3A%3A%20Money%20Maker&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2430-games%2Fmoney-maker&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,9665222.0,0,0,0
785,"$300,000,000 Extreme Cash",30.0,300000000.0,3.4,0,785.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$30-games/$300,000,000-extreme-cash",https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=4dc01fc1-9d9b-4b65-8796-1bebae55c926&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=213f5f39-3d99-4deb-aa30-54288f7a53df&pt=The%20Ohio%20Lottery%20%3A%3A%20%24300%2C000%2C000%20Extreme%20Cash&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2430-games%2F%24300%2C000%2C000-extreme-cash&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,11205468.0,0,0,0
696,Monopoly 200X,30.0,5000000.0,3.35,0,0.0,Claimed,,https://www.ohiolottery.com/games/scratch-offs/$30-games/monopoly-200x,https://t.co/i/adsct?bci=3&dv=America%2FNew_York%26en-US%2Cen%26na%26MacIntel%26127%261366%26768%268%2624%261366%26768%260%26unspecified&eci=2&event_id=fbe6793a-8232-48b3-a5d9-8ad9579d9fb9&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=f0133cd8-4b18-4465-8d5a-7fb345d504f6&pt=The%20Ohio%20Lottery%20%3A%3A%20Monopoly%20200X&tw_document_href=https%3A%2F%2Fwww.ohiolottery.com%2Fgames%2Fscratch-offs%2F%2430-games%2Fmonopoly-200x&tw_iframe_status=0&tw_order_quantity=0&tw_sale_amount=0&txn_id=nzzgd&type=javascript&version=2.3.35,2025-12-31,0,9299652.0,0,0,0
