gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,gameURL,gamePhoto,dateexported,topprizeodds
1008,VIP Millions,50.0,2000000.0,0.0,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$50-games/vip-millions,,2026-01-02,0
827,50th Anniversary,50.0,15000000.0,3.97,0,500.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$50-games/50th-anniversary,,2026-01-02,0
762,Billion,50.0,2000000.0,4.1,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$50-games/billion,,2026-01-02,0
1049,Holiday Millions,30.0,2000000.0,3.21,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$30-games/holiday-millions,,2026-01-02,0
1051,"$2,000,000 Cashword",30.0,2000000.0,3.37,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$30-games/$2,000,000-cashword-2",,2026-01-02,0
1024,Royal Riches,30.0,2000000.0,3.95,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$30-games/royal-riches,,2026-01-02,0
863,"$2,000,000 Cashword",30.0,2000000.0,3.37,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$30-games/$2,000,000-cashword",,2026-01-02,0
853,Money Maker,30.0,2000000.0,2.98,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$30-games/money-maker,,2026-01-02,0
785,"$300,000,000 Extreme Cash",30.0,300000000.0,3.4,0,785.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$30-games/$300,000,000-extreme-cash",,2026-01-02,0
696,Monopoly 200X,30.0,5000000.0,3.35,0,0.0,Claimed,,https://www.ohiolottery.com/games/scratch-offs/$30-games/monopoly-200x,,2026-01-02,0
433,Extreme Millions,30.0,10000000.0,2.87,0,0.0,Claimed,,https://www.ohiolottery.com/games/scratch-offs/$30-games/extreme-millions,,2026-01-02,0
1061,Bonus Play Millions,20.0,2000000.0,3.33,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$20-games/bonus-play-millions,https://www.ohiolottery.com/getattachment/ec0b089a-5fad-4d42-b519-95f601067eff/1574_MobileAppLogo-(1).png,2026-01-02,0
1056,"$1,000,000 Cashword",20.0,2000000.0,3.18,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$20-games/$1,000,000-cashword-2",https://www.ohiolottery.com/getattachment/9d446474-70d4-4dc8-8161-a9c915637301/1579_ThumbnailArt-(1).jpg,2026-01-02,0
1048,"$1,000,000 Holiday Wish",20.0,2000000.0,3.46,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$20-games/1000000-holiday-wish,,2026-01-02,0
1043,Ohio Millionaire's Club,20.0,2000000.0,3.36,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$20-games/ohio-millionaires-club,,2026-01-02,0
1032,"$1,000,000 Cash Payout",20.0,2000000.0,3.05,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$20-games/$1,000,000-cash-payout",,2026-01-02,0
1028,$300 Million Diamond Dazzler,20.0,2000000.0,3.33,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$20-games/$300-million-diamond-dazzler-1,,2026-01-02,0
1019,"$2,000,000 Extreme Cash",20.0,2000000.0,3.18,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$20-games/$2,000,000-extreme-cash",,2026-01-02,0
1013,Monopoly Bonus Spectacular 100X,20.0,2000000.0,3.48,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$20-games/monopoly-bonus-spectacular-100x,,2026-01-02,0
888,"$2,000,000 Cash Blast",20.0,2000000.0,3.67,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$20-games/$2,000,000-cash-blast",,2026-01-02,0
892,"$1,000,000 Cashword",20.0,2000000.0,3.18,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$20-games/$1,000,000-cashword-1",https://www.ohiolottery.com/getattachment/384be16c-e2f6-460d-ae06-8d59b0c00e4b/1579_MobileAppLogo-(1).png,2026-01-02,0
870,"$1,000,000 Cash Is King",20.0,2000000.0,3.21,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$20-games/$1,000,000-cash-is-king",,2026-01-02,0
858,"$1,000 Tax Free",20.0,2000000.0,3.51,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$20-games/$1,000-tax-free",,2026-01-02,0
1060,Winter Green (Gigantix),10.0,2000000.0,3.88,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/winter-green-(gigantix),https://www.ohiolottery.com/getattachment/779167ef-fe6f-40b3-bbae-63290d689392/1573_MobileAppLogo.png,2026-01-02,0
1053,"$500,000 Cashword",10.0,2000000.0,3.69,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$10-games/$500,000-cashword-9dce7897af4414f914fcc8ca7cb9f8b2",https://www.ohiolottery.com/getattachment/edb50f7a-fdfe-4ad3-964f-6b12a8bb910c/1576_MobileAppLogo-(2).png,2026-01-02,0
1055,"$50, $100 or $500",10.0,2000000.0,8.29,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$10-games/$50,-$100-or-$500-4",https://www.ohiolottery.com/getattachment/794fb6e7-1fc0-4c82-b20d-37d4ad8afac4/1578_MobileAppLogo.png,2026-01-02,0
1047,Holiday Cash Vault,10.0,2000000.0,3.5,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/holiday-cash-vault,,2026-01-02,0
1042,Mystery Multiplier,10.0,2000000.0,3.06,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/mystery-multiplier,,2026-01-02,0
1036,White Diamonds,10.0,2000000.0,4.01,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/white-diamonds,,2026-01-02,0
1031,"$500,000 Bankroll",10.0,2000000.0,3.9,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$10-games/$500,000-bankroll",,2026-01-02,0
