prizeamount,Winning Tickets Unclaimed,Winning Tickets At Start,gameNumber,gameName,price,dateexported
1.0,100.0,100.0,1008,VIP Millions,50.0,2026-01-02
1.0,2.0,2.0,1008,VIP Millions,50.0,2026-01-02
2.0,2.0,2.0,1008,VIP Millions,50.0,2026-01-02
2.0,5.0,5.0,1008,VIP Millions,50.0,2026-01-02
5.0,5.0,5.0,1008,VIP Millions,50.0,2026-01-02
5.0,5.0,5.0,1008,VIP Millions,50.0,2026-01-02
10.0,10.0,10.0,1008,VIP Millions,50.0,2026-01-02
10.0,20.0,20.0,1008,VIP Millions,50.0,2026-01-02
30.0,2000000.0,2000000.0,1008,VIP Millions,50.0,2026-01-02
20.0,1000000.0,1000000.0,1008,VIP Millions,50.0,2026-01-02
1000000.0,1000000.0,1000000.0,1008,VIP Millions,50.0,2026-01-02
300.0,2000000.0,2000000.0,1008,VIP Millions,50.0,2026-01-02
2000000.0,1000000.0,1000000.0,1008,VIP Millions,50.0,2026-01-02
1000000.0,1000.0,1000.0,1008,VIP Millions,50.0,2026-01-02
10.0,500000.0,500000.0,1008,VIP Millions,50.0,2026-01-02
50.0,100.0,100.0,1008,VIP Millions,50.0,2026-01-02
500.0,500000.0,500000.0,1008,VIP Millions,50.0,2026-01-02
500.0,0.0,0.0,1008,VIP Millions,50.0,2026-01-02
50.0,100.0,100.0,1008,VIP Millions,50.0,2026-01-02
500.0,500000.0,500000.0,1008,VIP Millions,50.0,2026-01-02
5.0,10.0,10.0,1008,VIP Millions,50.0,2026-01-02
25.0,50.0,50.0,1008,VIP Millions,50.0,2026-01-02
250.0,25.0,25.0,1008,VIP Millions,50.0,2026-01-02
25.0,50.0,50.0,1008,VIP Millions,50.0,2026-01-02
5.0,20.0,20.0,1008,VIP Millions,50.0,2026-01-02
500.0,1000.0,1000.0,1008,VIP Millions,50.0,2026-01-02
50000.0,8.0,8.0,1008,VIP Millions,50.0,2026-01-02
40.0,25.0,25.0,1008,VIP Millions,50.0,2026-01-02
20000.0,162.0,162.0,1008,VIP Millions,50.0,2026-01-02
5000.0,328.0,328.0,1008,VIP Millions,50.0,2026-01-02
1000.0,4215.0,4215.0,1008,VIP Millions,50.0,2026-01-02
500.0,20968.0,20968.0,1008,VIP Millions,50.0,2026-01-02
100.0,390002.0,390002.0,1008,VIP Millions,50.0,2026-01-02
1.0,100.0,100.0,827,50th Anniversary,50.0,2026-01-02
1.0,2.0,2.0,827,50th Anniversary,50.0,2026-01-02
2.0,2.0,2.0,827,50th Anniversary,50.0,2026-01-02
2.0,5.0,5.0,827,50th Anniversary,50.0,2026-01-02
5.0,5.0,5.0,827,50th Anniversary,50.0,2026-01-02
5.0,5.0,5.0,827,50th Anniversary,50.0,2026-01-02
10.0,10.0,10.0,827,50th Anniversary,50.0,2026-01-02
10.0,20.0,20.0,827,50th Anniversary,50.0,2026-01-02
30.0,2000000.0,2000000.0,827,50th Anniversary,50.0,2026-01-02
20.0,1000000.0,1000000.0,827,50th Anniversary,50.0,2026-01-02
1000000.0,1000000.0,1000000.0,827,50th Anniversary,50.0,2026-01-02
300.0,2000000.0,2000000.0,827,50th Anniversary,50.0,2026-01-02
