,price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,extrachances,secondChance,dateexported,lastdatetoclaim
0,1.0,"$1,000 Win It All",774,"https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/$1,000-Win-It-All",https://www.ohiolottery.com/getattachment/6b8eb906-a4f6-4016-899b-31aea7ba8d0a/attachment.aspx,1000.0,4.91,6.0,6.0,,,,,,2023-11-18,
1,1.0,"$365,000 Make My Day",763,"https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/$365,000-Make-My-Day",https://www.ohiolottery.com/getattachment/95879d2b-de05-48ef-8083-414952c76143/attachment.aspx,365000.0,4.78,2.0,2.0,,,,,,2023-11-18,
2,1.0,Cash Explosion 5X,780,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Cash-Explosion-5X,https://www.ohiolottery.com/getattachment/28c40762-4801-43d5-bb6a-92ac2503c02f/attachment.aspx,500.0,4.53,136.0,136.0,,,,,,2023-11-18,
3,1.0,Electric 8s,788,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Electric-8s,https://www.ohiolottery.com/getattachment/b719412d-d349-4a46-91c8-a27bd3668658/attachment.aspx,1888.0,4.74,16.0,16.0,,,,,,2023-11-18,
4,1.0,Fast $50s,796,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Fast-$50s-2,https://www.ohiolottery.com/getattachment/be029c79-6490-42ef-984d-3c2e4ed99508/attachment.aspx,1000.0,4.85,12.0,12.0,,,,,,2023-11-18,
5,1.0,Holiday Cash,810,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Holiday-Cash-8,https://www.ohiolottery.com/getattachment/26b378c2-d217-489f-a1bf-e86f31a8d345/attachment.aspx,500.0,3.99,681.0,681.0,,,,,,2023-11-18,
6,1.0,Luck of the Irish Tripler,757,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Luck-of-the-Irish-Tripler-6,https://www.ohiolottery.com/getattachment/756d921e-426f-42ac-8ebb-d0338904a581/attachment.aspx,5000.0,4.92,5.0,5.0,,,,,,2023-11-18,
7,1.0,Spooky Loot,804,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Spooky-Loot,https://www.ohiolottery.com/getattachment/4048eaac-3b8d-41f2-9b1f-ad4b8ef20f3e/attachment.aspx,500.0,4.87,14.0,14.0,,,,,,2023-11-18,
8,1.0,Match 2 Win,718,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Match-2-Win,https://www.ohiolottery.com/getattachment/d39299d5-6b3f-4778-a355-5e914fb408e1/attachment.aspx,1000.0,4.74,12.0,12.0,,,,,,2023-11-18,
9,1.0,Triple Tripler,717,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Triple-Tripler-8,https://www.ohiolottery.com/getattachment/b80fc94e-8cbc-4067-a492-cd8dbf095721/attachment.aspx,1800.0,4.81,9.0,9.0,,,,,,2023-11-18,
10,1.0,Triple Tripler,809,https://www.ohiolottery.com/Games/ScratchOffs/$1-Games/Triple-Tripler-9,https://www.ohiolottery.com/getattachment/e66cdf4e-5883-42ae-a066-b70f3d67c275/attachment.aspx,1800.0,4.81,35.0,35.0,,,,,,2023-11-18,
11,2.0,Gnome for the Holidays,811,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Gnome-for-the-Holidays,https://www.ohiolottery.com/getattachment/bd38e533-7c33-4e80-a643-5a9f7aeb478d/attachment.aspx,10000.0,3.89,7.0,7.0,,,,,,2023-11-18,
12,2.0,"$520,000 Make My Week",764,"https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/$520,000-Make-My-Week",https://www.ohiolottery.com/getattachment/2f7f5461-19aa-40d0-8b75-2bf1bdcebf6d/attachment.aspx,520000.0,4.41,2.0,2.0,,,,,,2023-11-18,
13,2.0,10X the Money ,805,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/10X-the-Money,https://www.ohiolottery.com/getattachment/bcaf34ba-c902-4e35-87ff-3c3504005fef/attachment.aspx,10000.0,4.71,6.0,6.0,,,,,,2023-11-18,
14,2.0,Bingo Multiplier,733,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Bingo-Multiplier,https://www.ohiolottery.com/getattachment/a00e54eb-8b19-4f2b-94b9-e3704fc4720f/attachment.aspx,10000.0,4.03,4.0,4.0,,,,,,2023-11-18,
15,2.0,Cash Explosion,734,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Cash-Explosion-3,https://www.ohiolottery.com/getattachment/64cea0cb-a39b-4dc1-b8b3-16c4ac1882be/attachment.aspx,5000.0,4.45,32.0,32.0,,,,,,2023-11-18,
16,2.0,Cash Explosion 10X,781,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Cash-Explosion-10X,https://www.ohiolottery.com/getattachment/d3b82655-d1d2-491d-bcfc-fbe942ef08fe/attachment.aspx,10000.0,4.19,10.0,10.0,,,,,,2023-11-18,
17,2.0,Cash Explosion Cashword,670,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Cash-Explosion-Cashword,https://www.ohiolottery.com/getattachment/6b3589a7-8a9e-4868-9cc9-a788c8cec88e/attachment.aspx,20000.0,4.22,4.0,4.0,,,,,,2023-11-18,
18,2.0,Level Up 10X,789,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Level-Up-10X,https://www.ohiolottery.com/getattachment/d337569c-ac99-4b90-964e-1fcb70962868/attachment.aspx,20000.0,4.57,5.0,5.0,,,,,,2023-11-18,
19,2.0,Mega Money Multiplier,775,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Mega-Money-Multiplier,https://www.ohiolottery.com/getattachment/e89e512f-f317-4b31-bab3-96ff6fdef3e5/attachment.aspx,10000.0,4.49,3.0,3.0,,,,,,2023-11-18,
20,2.0,Monopoly Cashword 10X,786,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Monopoly-Cashword-10X,https://www.ohiolottery.com/getattachment/eb80ff64-0ae1-4e84-9e33-138742a193f0/attachment.aspx,20000.0,4.53,1.0,1.0,,,,,,2023-11-18,
21,2.0,Space Invaders ,797,https://www.ohiolottery.com/Games/ScratchOffs/$2-Games/Space-Invaders,https://www.ohiolottery.com/getattachment/e60ca9d1-df67-4823-9776-922ff8e3020a/attachment.aspx,10000.0,4.50,5.0,5.0,,,,,,2023-11-18,
22,5.0,"$1,000,000 Make My Month",765,"https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/$1,000,000-Make-My-Month",https://www.ohiolottery.com/getattachment/f4a16235-c588-495d-8e5a-44cfd9560868/attachment.aspx,1000000.0,4.13,1.0,1.0,,,,,,2023-11-18,
23,5.0,Holiday Lucky Times 10,812,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Holiday-Lucky-Times-10-7,https://www.ohiolottery.com/getattachment/93677778-a535-4618-a8d8-781a61536b7e/attachment.aspx,100000.0,3.58,6.0,6.0,,,,,,2023-11-18,
24,5.0,"$25, $50 or $250",627,"https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/$25,-$50-or-$250",https://www.ohiolottery.com/getattachment/0834d0a1-cc20-45ce-935e-f2550d1de53e/attachment.aspx,250.0,8.29,1409.0,1409.0,,,,,,2023-11-18,
25,5.0,$500 Frenzy,727,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/$500-Frenzy,https://www.ohiolottery.com/getattachment/2890231a-d1ef-4450-8f44-2da57b6ea542/attachment.aspx,500.0,3.92,993.0,993.0,,,,,,2023-11-18,
26,5.0,Bingo Times 25,741,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Bingo-Times-25,https://www.ohiolottery.com/getattachment/d16be044-8e24-4afb-bb75-b4dd8b9ef45f/attachment.aspx,100000.0,3.52,3.0,3.0,,,,,,2023-11-18,
27,5.0,Cash Explosion 25X,782,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Cash-Explosion-25X,https://www.ohiolottery.com/getattachment/e16b6eda-2614-4ed5-9537-09b61b6b871e/attachment.aspx,150000.0,3.77,4.0,4.0,,,,,,2023-11-18,
28,5.0,Emerald 7s,760,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Emerald-7s,https://www.ohiolottery.com/getattachment/b49264e6-b7a1-465d-82b3-36d4a7db5893/attachment.aspx,100000.0,3.72,2.0,2.0,,,,,,2023-11-18,
29,5.0,Fistful of $500,798,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Fistful-of-$500,https://www.ohiolottery.com/getattachment/408097cd-668c-491f-8623-fca4ede8b004/attachment.aspx,100000.0,4.20,3.0,3.0,,,,,,2023-11-18,
30,5.0,Go for the Green,769,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Go-for-the-Green-1,https://www.ohiolottery.com/getattachment/b8a30f4e-41db-4566-9460-938d890e6925/attachment.aspx,150000.0,3.93,1.0,1.0,,,,,,2023-11-18,
31,5.0,Lots of $500s,771,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Lots-of-$500s-3,https://www.ohiolottery.com/getattachment/07aae47d-dcd3-4120-94f2-7b403e95c56c/attachment.aspx,150000.0,4.21,3.0,3.0,,,,,,2023-11-18,
32,5.0,Lucky $500s,776,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Lucky-$500s,https://www.ohiolottery.com/getattachment/36bf61c1-929f-4e08-8620-5fc67fca10a3/attachment.aspx,150000.0,4.21,1.0,1.0,,,,,,2023-11-18,
33,5.0,Lucky 7s,790,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Lucky-7s,https://www.ohiolottery.com/getattachment/b12a7052-61bb-4b54-ba01-cdd371af3763/attachment.aspx,177000.0,3.94,2.0,2.0,,,,,,2023-11-18,
34,5.0,Plus the Money,720,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Plus-the-Money,https://www.ohiolottery.com/getattachment/82e6c79d-bad6-43b0-8fcc-5b1212599f84/attachment.aspx,100000.0,3.86,0.0,0.0,Top Prize Claimed,,,,,2023-11-18,
35,5.0,Power 25X,713,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Power-25X,https://www.ohiolottery.com/getattachment/41d4d115-e6a6-4ca9-9495-6b0e7b54d738/attachment.aspx,250000.0,3.81,3.0,3.0,,,,,,2023-11-18,
36,5.0,Special Edition Cashword,802,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Special-Edition-Cashword-10,https://www.ohiolottery.com/getattachment/a187281a-f55b-4156-8d96-c3f4d3176bdf/attachment.aspx,300000.0,4.11,3.0,3.0,,,,,,2023-11-18,
37,5.0,Wheel of Fortune,806,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Wheel-of-Fortune-1,https://www.ohiolottery.com/getattachment/a94fa02b-cf57-431c-83c1-f60a82282567/attachment.aspx,100000.0,4,3.0,3.0,,,,,,2023-11-18,
