,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,3,WINNING COMBINATION,793,25000.0,3.29,3.0,3.0,,,,05/08/2025,01/01/2099,04/01/2099,2025-05-09
0,5,PAYOUT DOUBLER,794,55000.0,3.11,3.0,3.0,,,,05/08/2025,01/01/2099,04/01/2099,2025-05-09
0,10,STROKE OF LUCK,795,125000.0,3.00,3.0,3.0,,,,05/08/2025,01/01/2099,04/01/2099,2025-05-09
0,1,ATOMIC 8S,803,4000.0,4.17,3.0,3.0,,,,05/08/2025,01/01/2099,04/01/2099,2025-05-09
0,3,BINGO,783,30000.0,3.28,8.0,8.0,,,,04/10/2025,01/01/2099,04/01/2099,2025-05-09
0,1,"$5,000 JACKPOT",790,5000.0,4.33,3.0,3.0,,,,03/27/2025,01/01/2099,04/01/2099,2025-05-09
0,5,STATE OF PLAY,791,50000.0,3.46,3.0,3.0,,,,03/27/2025,01/01/2099,04/01/2099,2025-05-09
0,10,"$1,000 LOADED",792,1000.0,3.57,1006.0,865.0,,,,03/27/2025,01/01/2099,04/01/2099,2025-05-09
0,2,MONEY BAGS,787,10000.0,4.34,3.0,3.0,,,,02/27/2025,01/01/2099,04/01/2099,2025-05-09
0,5,EMERALD 8S,788,50000.0,3.94,3.0,2.0,,,,02/27/2025,01/01/2099,04/01/2099,2025-05-09
0,20,100X THE CASH,789,250000.0,3.03,3.0,2.0,,,,02/27/2025,01/01/2099,04/01/2099,2025-05-09
0,1,PAY ME!,780,5000.0,4.42,3.0,1.0,,,,01/30/2025,01/01/2099,06/30/2099,2025-05-09
0,5,MULTIPLIER RUSH,781,55000.0,3.83,3.0,2.0,,,,01/30/2025,01/01/2099,06/30/2099,2025-05-09
0,10,NEON 10S,782,100000.0,3.29,3.0,2.0,,,,01/30/2025,01/01/2099,06/30/2099,2025-05-09
0,2,HIT $100,776,100.0,4.08,2565.0,822.0,,,,12/19/2024,01/01/2099,06/30/2099,2025-05-09
0,3,LOTERIA,777,25000.0,3.79,3.0,1.0,,,,12/19/2024,01/01/2099,06/30/2099,2025-05-09
0,5,CRUISIN` FOR CASH,778,60000.0,4.00,3.0,1.0,,,,12/19/2024,01/01/2099,06/30/2099,2025-05-09
0,50,WIN BIG,779,3000000.0,2.93,2.0,2.0,,,,12/19/2024,01/01/2099,06/30/2099,2025-05-09
0,3,CROSSWORD,771,30000.0,3.67,8.0,7.0,,,,12/17/2024,01/01/2099,06/30/2099,2025-05-09
0,1,LUCKY GEMS,772,4000.0,4.23,3.0,1.0,,,,11/26/2024,01/01/2099,06/30/2099,2025-05-09
0,5,WINNING STREAK,773,50000.0,3.73,3.0,2.0,,,,11/26/2024,01/01/2099,06/30/2099,2025-05-09
0,10,CROSSWORD SUPREME,774,100000.0,3.26,3.0,3.0,,,,11/26/2024,01/01/2099,06/30/2099,2025-05-09
0,20,DOUBLE UP,775,250000.0,3.12,3.0,2.0,,,,11/26/2024,01/01/2099,06/30/2099,2025-05-09
0,2,REINDEER RICHES,767,10000.0,3.83,3.0,2.0,,,,10/31/2024,01/01/2099,06/30/2099,2025-05-09
0,5,MERRY MULTIPLIER,768,50000.0,3.22,3.0,1.0,,,,10/31/2024,01/01/2099,06/30/2099,2025-05-09
0,30,MONEY MAKER,769,1000000.0,2.83,3.0,2.0,,,,10/31/2024,01/01/2099,06/30/2099,2025-05-09
